类型,ID/标题,发布日期,字数/点赞,浏览量/文章ID,详细内容摘要
万字研报,巨鲸算法：为什么极限交易经常发生在Hyperliquid，而不是Binance和OKX,Wed Jul 02,6967 字,1940044118752964608,加密衍生品格局导航：为何 Hyperliquid 能促成巨额交易，而中心化交易所则施加更严格的限制？自由与秩序之间的冲突，从不是监管与技术的问题，而是交易体系的价值回归问题 概述 极限交易（即“超高杠杆 + 超大头寸”）在去中心化平台 Hyperliquid 上频繁出现，并非偶然。这是由于其底层设计...
万字研报,CEX与DEX的合约算法之战：Hyperliquid之盾 vs Binance与OKX之矛,Fri Jun 27,6642 字,1938438900277776385,CEX的资产沉淀规模是DEX的百倍，交易量是DEX的十倍，Hyperliquid是怎么保证自己不被Binance牵着鼻子走？是去中心化的结构吗？是算法吗？ 当我们在说“去中心化”交易所，我们指的是什么？到底哪些部分才是需要“去中心化”的？资产？撮合？价格？清算？ 引言：一次合约风暴，揭开中心化和去中...
实盘推文,1939532768964485247,Mon Jun 30,点赞 126,浏览 188585,接上文，不知道大家是否会对为什么老有巨鲸，比如 @JamesWynnReal 能在 @HyperliquidX 上开出天量的仓位单子感到好奇？为什么在 @binance 和 @okx 基本就没有传出这类的新闻？  难道是因为Cex不想做生意？还是说 Dex为了手续费豁出去了？  其实这是各大交易所的底层算法和规则所决定的 —— 极限交易者（超大仓位+高杠杆）天然地就适合Hyperliquid的模式  归纳起来，主要有以下几点： 1. 订单规模限制：Hyperliquid 从机制上是允许用户直接开出上亿美元的头寸，而 CEX 通常设有限制或会主动限制此类订单 —— 从下单机制上 @binance @okx @bitgetglobal @Bybit_Official 等交易所就做不到“极限交易”  这是为什么呢？  2. 管理哲学：Hyperliquid追求波动性（因为主动做市的特性，越波动越能赚钱）；CEX更追求系统的稳定性（不崩塌为原则）  3. 风险偏好：HLP vault是Hyperliquid的核心，相当于是一个“主动做市商”，去承接流动性和清算的头寸—— 它是欢迎巨额头寸冲击 HLP Vault （随之而来的就是资金费率算法上对HLP Vault的倾斜）；而 CEX的保险基金更多的是一个被动的“保护层”，避免cex的利益受损，所以会尽可能避免此类冲击。  4. 盈利能力：中心化交易所保险基金不足时会触发 ADL，削弱极限交易者的盈利空间；Hyperliquid 用 HLP Vault 吸收清算，交易者收益不被“社会化”。  5. 成本考量：Hyperliquid 上开巨额单子所需保证金通常比 CEX 更少，资金使用效率更高。更符合极限交易“以小搏大”的理念  6. 账户安全与自由：Hyperliquid 上资金可随时充值、提现，没有中心化交易所常见的风控或冻结账户风险，赚了钱之后可以“安心”提现；margin不足，可以随时充值到账补保证金  小结 Hyperliquid 通过其高性能 Layer 1 区块链、去中心化风险互助金库（HLP）、以及无 KYC 的设计，实现了对巨额交易者友好的架构。这一体系允许更高风险敞口，同时吸收个体失败的潜在冲击，从而建立了一个鼓励流动性与大胆策略并存的生态。  相比之下，币安与 OKX 则采取了更为保守的风险防控路径。通过不断提升大额头寸的维护保证金率、设立保险基金和自动去杠杆机制，它们有效地限制了个别交易者可能带来的系统性冲击。这种“强监管 + 强对冲”的模式，虽然限制了个人极端杠杆的发挥，却换来了更高的系统稳定性和合规信任度。  以上都是一些精简的概述，想看完（精）整（彩）版论述长文的，记得打开小铃铛🔔 ，不日就会发表啦  ps： 1.这个版本足够简单明了了吧....   2.为了适应不同的读者群体，老登我也算是操碎了心啊 🤣  3. 信息量这么大的长文（https://t.co/NYEb5ynX56），居然连个10w+都没有，太可惜了
实盘推文,2053022998878093431,Sat May 09,点赞 19,浏览 9218,"揭秘：为什么撮合的价格与实际的成交价有时会不一样？ 你的爆仓价格为什么跟市场的盘口价也不一样？  mark price 决定""应该以什么价格清算""（触发条件），但 last price（场内深度）决定""实际能以什么价格清算""。当订单簿薄、深度跑光，强平 IOC 沿簿吃下来的实际成交价远差于破产价，这个 gap 就是保险基金的“盈亏来源”。保险基金本质是吸收""mark 给出的理论清算价""与""场内执行的实际成交价""之间的偏差。如果两者总是一致，保险基金根本不需要存在。  有些交易所更激进一些，据闻有些直接干脆在订单簿前面加一层""给清算路径独立的对手方通道""——让backstop vault或者白名单的清算人优先接走整个仓位，绕开订单簿这条慢路径。这本质是把""强平执行""从场内撮合中完全独立出来，给清算路径自己的撮合通道。  回到 perp 撮合复杂性的核心：撮合主循环本身可以保持简洁，但它周围的状态机——风控、清算、保险基金、ADL、可能还有 backstop liquidator 网络——构成了一个比订单簿本身复杂得多的系统。""order book 长得和现货一样""的视觉错觉背后，实际上有两条独立的入口管道和四种不同的退出路径。这就是 perp 撮合""难""的真实形状。（据闻有些交易所还做了b book）  看到这里是不是觉得自己之前亏了这么多钱在永续合约上是有原因的？  🤣"
实盘推文,1999750896599867554,Sat Dec 13,点赞 81,浏览 24752,"为什么说 @HyperliquidX 推出 Portfolio margin （PM)功能是个重大的升级和迭代  我就不写长文了，直接写成7个知识点  1. 背景：机构交易员的刚需：如何做到资金效率最大化 如果一个基金在 Binance 持有 1 亿美元的 BTC 现货，并在合约市场做空 1 亿美元的 BTC 进行套保，在组合保证金模式下，交易所识别出其净风险极低，可能只需要几百万美元的保证金即可维持该组合。  而在 DeFi 中，由于缺乏这种机制，同样的策略需要数千万美元的抵押品，导致链上套利的ROE显著低于CEX。这就是所谓的“链上资本效率折价”。  Hyperliquid 的组合保证金Portfolio Margin 功能，将 DeFi 的Permissionless与 CEX 的Capital Efficiency融合在一起  2. 现货与合约的深度融合 Hyperliquid 将其底层架构允许现货资产直接作为合约抵押品。在大多数 DeFi 协议中，现货交易和合约交易往往发生在不同的流动性池或甚至不同的 L2 网络上，状态无法互通。  Hyperliquid 基于其定制的 L1 链，将 Clearinghouse逻辑直接写入链共识层。这意味着：  a 用户持有的 HYPE 或 HIP-1 标准代币，可以直接被风险引擎识别。  b 当用户做空 HYPE-USD 永续合约时，系统会自动检测到用户钱包中的 HYPE 现货，判定为“兑现对冲”（Covered Short），从而大幅降低保证金要求 。  3, 自动化Portfolio内的借贷与收益 相当于 PM 账户内嵌了一个“借贷市场”。  供给侧：如果 PM 账户中有闲置的资产（例如用户存入了 BTC 但只开了一倍杠杆），系统会将这些资产视为“可借贷库存”提供给市场 。  需求侧：其他用户如果需要进行杠杆现货交易（例如做空现货），会自动借入这些资产。  收益：借贷产生的利息将直接分配给 PM 账户持有人。  这一机制将 Hyperliquid 从单纯的交易场所转变为一个具备生息能力的资产管理平台。对于持有大量现货的大户而言，具有很大的吸引力：他们可以在持有资产待涨的同时+进行套利（比如资金费率）获得借贷利息，实现单个系统内的一鱼多吃  4. 对套利（Arbitrageurs）：释放资金枷锁 这是 PM 功能最大的受益群体，也是市场流动性的主要提供者。  场景：期现套利（Cash and Carry） 旧模式：假设资金费率为年化 20%。交易员持有 $100,000 的 BTC 现货，需要在合约账户存入 $100,000 USDC 才能安全地开设 $100,000 的空单进行套利。总资金占用 $200,000，收益率被分母稀释了一半。  PM 模式：交易员存入 $100,000 BTC 现货。系统识别出 BTC 现货与 BTC 空单的对冲关系。交易员可能只需额外锁定极少量的资金（甚至由 BTC 现货本身的折算价值覆盖）即可开设空单。总资金占用接近 $100,000，资金效率提升 100%，收益率翻倍。  结果：这将吸引大量寻求“低风险高收益”的机构资金进入 Hyperliquid，因为这里的套利效率将与 Binance 持平，但没有中心化托管风险 。  5. 对做市商（MM）：库存管理的革命 做市商需要在现货和合约市场同时提供双边报价。库存风险是MM头疼的地方之一。  旧模式：做市商在现货市场接了买单，变成了多头。为了避险，他需要去合约市场做空。如果没有 PM，他需要从现货账户提币、兑换成稳定币、转入合约账户、开空单。这个过程繁琐且资金分散。  PM 模式：现货成交的瞬间，该资产立即成为账户的有效抵押品。做市商可以直接在合约端开空单进行对冲，且因为风险对冲，保证金占用极低。  结果：做市商敢于提供更窄的Spread和更厚的深度Depth，因为对冲成本大幅降低。  6. 硬币的另一面 在 PM 模式下，用户的杠杆倍数可能极高。一旦市场出现极端黑天鹅（例如现货价格暴跌导致流动性枯竭，而合约价格尚未反应），基差瞬间脱锚，可能导致连环强平。   HLP Vault 充当了系统的最终对手方和清算兜底者 。如果 PM 账户发生大规模穿仓，亏损将由 HLP 承担。这要求 HLP 必须有足够的深度来吸收极端波动。如果 HLP 规模增长跟不上 PM 带来的杠杆规模增长，系统的安全性将受到挑战。  7. 其他dex跟了有意义吗？ 其他的perp dex也做PM? （可能目前也就aster做了，才有点意义吧？）   现阶段可能还是看看就好，看看就好 🤣"
实盘推文,2017260075019374655,Fri Jan 30,点赞 32,浏览 6909,我居然遇到跟你一样的问题，有小伙伴问我为什么之前不是一直帮币安说话的，怎么今天反过来说币安在1011的时候有问题？  🤣😂😂我都要笑晕了。。我一直觉得是有问题的啊，只是不是像市面上大家说的什么恶意当机，插针，抽走流动性，故意清算大家的仓位等等这种阴谋论，他们的问题主要是在比如风控监测不到位（就这个流动性还给人家质押这么多币来开仓），清算算法，质押算法的设计、忽略了双重变量、僵尸单子未及时撤销等等  反正从我的角度，币安在1011存在主观故意的概率太小了，根本不makes sense  至于为啥我这么说？因为我是项目方，同时我自己也在币安交易  我太知道币安在极端情况下是会“压榨”项目方来护用户的周全的，对，你没看错，就是这么毫无人性（当前这个版本的项目方是真的很难的） - 当有大额充值的时候，交易所会来问这是咋回事？你的mm能接得住吗？不够的话，赶紧打钱  所以我倾向于从机制上找原因 -就像是一把刀，平时看着好好的，结果地震一来，这把刀就划伤人了，那你总不能说是这把刀蓄谋已久了吧？🤣  就比如你问我Hyperliquid插针，我也是从这个角度出发去看哪个环节出了问题的 （看过我合约算法镰刀系列的老粉都应该知道）  币安确实要负一定的责任，但是他罪不至死吧～ 这种级别的崩塌谁来都一样，说句不好听的，上了法庭，辩护律师也会说成是“这只是币安没做好，但不是犯错了”  Benson提到了一个点，就是作为“抽水机构”，币安也对每个项目“抽水”来充实BNB holder，这对项目方来说无疑是雪上加霜的（fyi，所有的离所都是这样，数量多少的问题，相较之下韩所和cb基本可以忽略不计）  作为一个项目方来说，我确实很反感，尤其是那些靠着融资撑起估值的新项目，因为估值高，所以给出去的%少，或者meme，直接就能上了，凭啥？！上了之后，表现还不如我们，凭啥不能给草根builder一个机会？  但我后来一想，要是他们不这么做，他们又要如何赋能 $bnb ? 难道要像SBF一样挪用资金去炒币，然后再反哺给FTX用户吗？  两者的经营理念是不一样的，一个是托管，一个是银行  而且从币安的角度，看的项目多了，估计都一个样 - 矮子堆里拔将军，索性就赋能 bnb好了 （从这个角度，binance没亏欠bnb holder）  说到底，币安是一家商业机构，出了安全、流动性、服务，我们老希望他能做得更多，但是却没办法给他创造更高的收益，如果是你，你会怎么办？  说句题外话，为啥英语CT（到现在）还有人崇尚SBF，就是因为他敢于“对抗”，朝圈外对抗，朝政治对抗（这点Brian确实可以），crypto的底色就是要对抗旧的机制，coinbase为啥能扛起大旗，因为他们真敢干（虽然是因为利益相关），告sec，告doj   中文/东方普遍还是崇尚“融合”，最好能以平和、渐近、不冲突的方式介入，但是革命/对抗就是敢起冲突  比起什么拿10b 买btc ，对于我这种老灯来说，为行业尝试争取前进的可能才更让人肃然起敬  直接去告美国/英国政府释放xx，或者资助xx组织推动xx法案  带领行业对抗旧约，这个才是中本村夫希望看到的吧～   以上
实盘推文,1943608092685643924,Fri Jul 11,点赞 75,浏览 21794,我猜90%合约交易员都不知道自己的仓位是怎么被“破产清算的”？甚至不知道为什么有时候清算之后还会返钱？  各位可以盲猜一下，为什么各大交易所dex/cex都要疯狂推合约交易？  或者大家是否会觉得奇怪为什么各大交易所推出的“保险基金”都越滚越大？  难道赚的是手续费？客损（😂）？返点  其实，是破产仓位的清算费用及其差额  我这里就不深入说为什么会触发强制平仓（强平）维持保证金（MMR）等术语和条件了（各大平台都有点差异），直接上机制差异：  1. Binance采用面向市场的清算模型 (Market-Facing Liquidation Model) （因为流动性更好） 用户的头寸被清算引擎转化为市价单在订单簿上执行。这意味着用户直接承担清算过程中的市场滑点风险。保险基金主要用于弥补穿仓损失，并可能在极端情况下通过“优化订单价格”来辅助清算，以维持市场稳定。  你可能会问“优化订单价格”是什么鬼？ 在市场流动性不足，保险基金可能会被用来补贴成交价格，（比破产价格更优），鼓励其他交易员来交易。Binance的保险基金是一个补充型的资金池，而不是一个执行清算的场所  2.Bybit，Bitget，甚至Hyperliquid）采用系统性吸收的清算模型 (Systemic Absorption Liquidation Model)。  强平条件触发后，用户的头寸被清算引擎接管，并以“破产价格”进行内部结算。这意味着用户的最大损失在理论上被锁定，无需承担后续的市场滑点风险。（听起来还不错哈 🤣）  清算引擎持有了这个被内部化的头寸，并承担了必须在真实市场上将其平仓的任务。如果引擎平仓的实际价格劣于它与用户结算的破产价格，差额由保险基金来弥补。反之，如果成交价更优，则盈余部分注入保险基金 。  聪明的你，是不是注意到了“破产价格”就是保险基金的盈亏来源 - 而这个破产价格来自哪里呢？  是的，就是我之前帖子说到过的指数价格、标记价格的算法以及MMR维持保证金的额度(ps：MMR 要求越低，越容易被清算、破产价格越差）  所以为什么有些平台在指数价格的计算上可以容忍+/- 2%，甚至到5%；甚至不以场内价格做计算，就是因为场外和场内价格是有“差价“的，这样就有“利润”  有时候不是破产清算后，用户看到自己还有剩余价值还沾沾自喜，觉得平台大气... 殊不知只是因为平台“赚的太多”，不太好意思而已....  我之前一直强调的“交易不是一个环节，是一个体系”，它们是一环扣一环的，是不是在这个瞬间具像化了！！ 是不是amazing  最后，ADL的触发 当保险基金耗尽之后就会触发ADL （自动减仓，社会化仓位）这里面的坑也不少 🤣，值得一提的是，Bitget有个比较神奇的规定，就是当保险基金从峰值下降30%的时候也会触发ADL （而不是耗尽），所以这可能也可以稍微解释一下Bitget近期ADL频发的现象。  最后，合约交易的算法是一套环环相扣的棋盘（这里不得不赞一下 @Bybit_Official 的UTA账户体系，这特么复杂，建议给设计师加个鸡腿），每一步都是几个亿美金的教训。  最后想看细节长文的小伙伴们，多点赞支持一下，超过100点赞的，我周末加班写一个出来 🤣
实盘推文,1949850437148086517,Mon Jul 28,点赞 26,浏览 5461,强制平仓是对于交易所来说是一件”费力不讨好“的事情，得罪用户不说，一个不小心还容易把自己搭进去，而且把自己搭进去之时可是没人会怜悯自己的。所以怎么做到一寸长半寸强，半寸深一寸浅就是真功夫。  多说一句，别看什么造富效应——清算机制，才是一个交易所的良心和担当。  今天，我们只谈结构和算法。强平发生的真正逻辑是什么？清算模型如何保护市场整体安全？为什么仓位遭遇自动减仓 (ADL)？
实盘推文,2053231160093024545,Sat May 09,点赞 15,浏览 4581,撮合机制应该是交易环节其中一个很重要，但是基本没有人讨论的事情  除了永续合约之外，期权和event contract （aka polymarket）的撮合其实是很少人关注的，这里面有好多坑，很多的算法和机制与传统的机制的差异也好大的  即使是永续合约，其实各家交易所都有自己的差异～ 有些交易所的撮合引擎说是专门为了“清算”而生的都不过分 🤣 所以不要说清算数据不能公开，甚至连历史仓位的pnl都查不到。。  之前看到好多有人要做期权和event contract的mm，建议感兴趣的朋友都先看一下再去送钱吧～
实盘推文,1937698765068206257,Wed Jun 25,点赞 4,浏览 2084,"原来原文在这里 😂 我参考 @dov_wo 的post，写了另一则寓言故事——  狗庄如何用永续合约与现货联动收割散户——【潮汕橄榄金融寓言】   免责声明：本文纯属虚构，如有雷同，纯属活该。  免责声明：知识无罪，操作自负。  免责声明：狗庄无罪，贪婪有理    序章：狗庄与潮汕橄榄村 在遥远的潮汕，有一个村子以吃橄榄为荣，含一粒橄榄、喝一口功夫茶，是日常仪式感的顶峰。  某天，一只狗庄来了。他既掌握了村外山头上的橄榄果园，又通过橄榄果实的高交易量让隔壁村的合约交易所上架橄榄果合约  村民们不懂金融，只听说这个橄榄过合约可以对冲，可以杠杆，炒橄榄可以翻身做富户。狗庄笑了笑，开局了。  第一幕：假装自己是“高买者”，制造价格锚点  狗庄用自己的现货橄榄，在市场上互相倒手： 第一天10元买一斤自己家的橄榄  第二天11元再买回来  第三天挂12元单成交，引起“潮汕日报财经版”小报道  一条漂亮的日K线出来了，深度薄的市场就像潮州牛肉丸汤，滚一下就沸。  广播里传来：  “橄榄是AI味觉训练的核心数据资产！” “下一代大模型，将以橄榄作为载体！”  村民看着微信群疯传的“橄榄涨疯了”，虽然心痒痒，但是还是观望态度。  底价就跟乳沟一样，就看庄家想怎么挤  第二幕：用现货抬盘，引导合约开多  狗庄知道，“预期+情绪”才是合约收割的源泉。  他用几万元小资金，把橄榄从5元拉到10、18、22元： 现货连阳  这时候第一波村民，看着涨势很好，于是开始买入一些现货试试看。结果都赚到钱了  这个时候总会有些人借钱买现货，幻想靠炒橄榄买下汕头CBD电梯房，但是他们苦于没有准备只能看着好机会错失。（狗庄在这个阶段也不会让村民有机会开杠杆）  交易是道数学题，是不会让你看到希望的 - 你小时候做数学题的时候会预感自己成为奥特曼吗？  第三幕：制造FOMO高潮，让先信的人赚到钱  此时狗庄悄悄做三件事： 1.狗庄仍然继续将橄榄的价格抬到25，28，30元  2.说服隔壁村的合约交易所开“橄榄”的永续合约交易 ，毕竟橄榄的现货交易量大，不可能放着手续费不挣  3. 狗庄同时在合约挂空单，即是给散户多仓的成交机会，同时也是埋伏  先信的散户开始从现货中赚到钱了，落袋为安。没进场的散户纷纷感慨。  你以为你在抄底未来，实际上你在接狗庄的货。  第四幕：横盘是打窝，引君入瓮 狗庄随即将橄榄的价格维持到20元左右，并且横盘一段时间  同时还要放出xxx 因为在合约开个10x的多仓，轻松赚取cbd豪宅一栋的消息  那些之前在25元高位套现的散户，又看到了机会  这次第一波赚到钱的散户要的不是现货，而是合约  而且他们还会顺带吧还没上车的邻居喊上车  当你不知道鱼是哪里来的？你吃的就是鱼饵  第五幕：突袭插针，回调只是更好地上涨 狗庄在看到交易量，换手率上来后，慢慢把现货从20涨到了26，与此同时在合约出不断的放出空单  26是一个神奇的数字 —— 他让第一波先信的散户，找到了自信——以为自己就是那个幸运儿，那个天选之子  26元只会让他继续加仓，而不是撤离 —— 一夜暴富近在眼前  某个凌晨，狗庄突然用几笔大空单砸穿价格防线：  橄榄从26元瞬间插针到17元，村民的10x合约仓位没有爆炸，亏损了40%，对于村民来说，这只是一种痛感，一直持续加仓的痛感  而狗庄趁机出货也积蓄更大的能量  痛是身体发出的危险信号；但痛，在交易里是一种瘾  第六幕：V型反弹，重建信仰 狗庄不急，几小时内又把橄榄价格拉回到23元，并让KOL统一发言：  “只是洗盘，主力没走。” “潮汕人讲义气，橄榄终将上100元。” 村民信了。  这种是一种“肯定式”的嘉奖，对那些忠诚散户“犀利眼光”的回敬，“你看看，我就说嘛，橄榄一定会杀回来的” “橄榄会上etf，届时外部资金一定进来的” “你看我2天前推文就分析过了xxxx""  “橄榄是下一个btc杀手。。。“   之后呢？狗庄就找隔壁村的defi协议，说我给你一点橄榄，你就让村民们来你这里做交易，每交易100个橄榄，你就给他们1个橄榄作为交易激励，但是产生的手续费要归我所有  defi协议一听，这好啊，何乐而不为，免费导有用户；村民一听好啊，可以多得橄榄；于是乎，狗庄就让橄榄会在18-22元震荡，虽然村民偶有怨言，但是毕竟亏的人少，还算ok   你的仓位就如同放大镜，会自发地放大任何一个利好  第七幕：制造资金费率狂热，反手吃空头手续费 狗庄这时已经通过第2-6幕的操作累计了大量的空单，虽然现货也出去了不少，但是大部分的现货还在手上  他做的事很简单： 首先用第3和5幕赚到的利润，将合约的价格推上来，同时把现货的价格压低，创造出一个期差，就是现货和合约价格之间有个差价，做完之后放一个超厚的maker单子压阵  这样就把资金费率推到+0.2% /每小时  自己握着空单持续收资金费率  这时村民持有的多单就像个血吸虫，满满的让村民留血，但是他们却浑然不知  当然也有聪明的村民意识资金费率的问题 —— 狗庄就会想办法安抚他们，比如把橄榄从村里运到隔壁村，大大方方地让村民知道，村里“没货”啦，在坚持一会儿，橄榄就要涨了啊  温水其实煮不了青蛙，但回本的希望会  第八幕：控制深度，双杀多空 眼见日常热度下降，村民开始怀疑自己的决定时，甚至有kol带头质疑，交易所决定缩减仓位逐步ADL，狗庄决定出手了  由于村民的仓位被资金费率消耗，所谓的爆仓价格其实与村民当初的爆仓价格已经大不相同了  首先先把之前压舱的maker order撤出，这时候的order book就是平原；之后开始砸现货，但是狗庄不会一马平川，他会分阶段，因为要时刻看着交易所的穿仓保证金（不能让交易所亏欠是底线）以及迅速提现——以防被交易所冻结资金，  猎杀时刻虽然分阶段的，但是开弓没有回头箭，随着现货越砸越多，合约这里也响起此起彼伏的爆仓声，布置n天的空仓终于拿到了结果  分阶段猎杀并不是因为仁慈，而是怕动静太大打扰到赌场老板  第九幕：撕逼大战 橄榄的狗庄会把怒火迁怒于交易所、defi、项目、隔壁村、七大姑八大姨、隔壁村的小黄等等  完  尾声：一颗橄榄的命运  后来，村里有个小孩问爷爷：  “爷爷，为什么我们家以前很有钱，现在只剩下一个账号密码？”  爷爷叹了口气，抬头看着天上的云，说：  “因为我们把该含在嘴里的橄榄，放进了合约里。”  那小孩不太懂，但他记住了一句话：  “真正的风险，不在价格涨跌，而在你连自己在玩什么都不知道。”  再后来，潮汕村出了本新书，火遍大江南北，书名就叫：  《我炒的是橄榄，赔的是人生》"
