Tweet ID,发布时间,点赞数,转发数,回复数,浏览量,含金量评分,是否长文研报,推文正文
1767097209601110220,Mon Mar 11 07:56:20 +0000 2024,405,45,83,352151,9.8,否,《一个臭炒币的k线回忆》 ​这跟k线承载了我的记忆，每一天我都注视着他，我能背出他每一天的走势，和关键节点发生的事儿。 ​17年12月18日，btc登顶后暴跌，我遇见了后来的师父。他云淡风轻的和我说:“这里的反弹是最后的逃命机会，暴跌即将到来。” ​18年5月5日，eos浪潮开始下跌，韭菜群里哀嚎遍野，民不聊生，开始自我欺骗。我只是注视着这些人，和我手里暴跌的币，告诉自己绝不能成为他们。 ​18年12月15日，北京，大雾霾。btc跌到谷底，没有项目方了，没有钱了，一切的一切都好像这个行业真的完蛋了。我的兄弟脊柱神经疼，我哭着带他去医院。迷茫和无力感席卷而来。 ​19年3月22日附近，几位大佬喊抄底，上涨即将到来。杀不死你的，终将使你更加强大。 ​19年5月1日，群里在欢庆btc的上涨，可是我被狗庄骗下车没有了多单。我告诉自己要更加努力。朋友给了我一千usdt，这成为我日后唯一的本金。 ​19年10月24日，我在海南，最上面那位大领导喊了学习区块链，登上了cctv，第二天朋友的婚礼上，我和好多老板们亲眼看着那根大阳线暴涨，一转身，新郎掀起了新娘的红布盖头。 ​20年3月12日，我在家里吃着火锅，看着币圈最惨烈的一天来临了。不知多少高手一夜之间输光了自己的筹码，我愣愣的看着我的账户里，btc无影无踪。 ​20年9月defi之夏，uni空投！我刚刚找到工作，我的产品经理激动的拉着我的手说:“我从没有想过，有一天，一个从未谋面的人能给我空投好几万块钱。币圈真的太有意思了。” ​21年5月19日，明牌带着一众老板做空btc，顶住了非常大的压力，终于做空成功。晚上吃完饭朋友说要抄底，我说了一句再等等。刚刚把他送上车，关车门的那一秒，defi连环清算一秒暴跌40%。躲过一劫的众多朋友激动的给我打钱。我瘫坐在花坛边上想起312，笑了很久。 ​22年12月11日，无聊的搞第一次交易课。最后一节课的时候，某vc突然问了一句:“现在是底么？”我犹豫了一会告诉了他“几乎就是底了，可以买了”。我一转身，看见了黑板上的sol。我们成功抄底了15800的btc，还有不到9块钱的sol。 ​23年3月中，在海南和家人度假，师父问知不知道ordi这东西。一听完叙事我就明白这如果做出来，可能是个大alpha，这是rsk的叙事翻版。赶紧打电话给朋友让他们立刻去研究立刻去买ordi。后来我才知道，那天只有我一个人响应了我师父，别人都没有买ordi。 ​23年6月9日，父母车祸，我身体特别不好，几乎一天没睡觉，14日那天btc大跌，基金的lp疯狂给我打电话，我在手术室外面冰冷的椅子上看研报，ordi赚的钱正好救了父亲。 11月21日，朋友求婚现场，我看着那天的掠过教堂顶端的夕阳余晖，感慨时间匆匆，思索着新的牛市布局。晚上，很多人就热烈的问我关于铭文的一切。 ​1月11日，etf通过。群里的老家伙们纷纷冒泡庆祝。过去人家叫我们臭炒币的。现在，我们是真正的先驱者了。过去我的妈妈出门都不知道怎么介绍我的工作，我们自己都要说自己一句“臭炒币的”，其中多少辛酸，只有自己能懂。而现在出门介绍自己工作时，别人全都高看我一等，纷纷要求加微信咨询。 ​3月11日，btc币安现货破70000，来到了新高。欢迎来到，新的时代。欢迎来到区块链，这是生我养我的地方。  ​我有明珠一颗，久被尘埃关锁。 ​今日尘尽光生，照破山河万朵！ ​ ​来吧，让我们继续这场Party！
1869819060474802303,Thu Dec 19 18:56:18 +0000 2024,162,26,17,80677,9.8,否,在我睡觉前，发点随笔。如果得罪了某些KOL，那就得罪吧。 1，BTC以后和山寨币是两个东西了。BTC由USDT和美元两个一般等价物驱动。山寨币只有USDT驱动。山寨的造富神话将会进一步下降，相对应的，这对社区好的项目方是天大的机会。  2，我短期不看好ORDI和铭文，我有且只有两个地推项目铭文在身上了。币安下架那难用的钱包，你们非要说币安和铭文对着干，今天下跌过程中，不少人抄ORDI，在我看来是幼稚的赌气行为。  3，那个什么白痴大V李老师从传统行业过来发个披着MEME皮的狗屁项目，出货出的飞起。这是MEME出圈和到顶的标志。PUMP的MEME要暂缓。  4，我也不理解为什么要喷币安的VC币，喷的原因无非是没有造富神话。那MEME你们都富了？ 我今天在MOVE用现货赚翻了，全程实盘公开喊单，很早就说了，这些VC币其实是非常容易赚钱的项目。  6，MEME做空其实是非常简单的事情。时间维度上有非常简单的策略。所以NEIGO和PNUT这种币，收敛到最后，算一下时间维度就知道应该博方向，往下博。  7，这两天的推特氛围极其诡异，反正就是两个字：浮躁。 或者说，币安的SPACE像是点燃了整个推特的焦虑气氛。  我建议老板们，可以整理一下KOL列表了。整理方法参考我以前的文章。  8，本来想写一下MOVE这波操作的简单复盘的，但是太困了，算了。我觉得如果气氛正常，MOVE这种难度的二级币，肯定有很多人能抓到。  9，美联储的终极目的，是篡夺币圈的自由发币权。以后，币圈发的野生项目，涨幅都有限。但是过美联储任何的币，或者进ETF的币，都会暴涨。 没错，这个事情已经在灰度BTC预演过了。 他们会用各种“钦点”的山寨币，去消除美国的资产泡沫。  最TM让我生气的是，如果当年不出那些政策，不把矿场清退，这些，本可以都是我们的。  最后，我要再说一次，我每次熊市都会说的那句话：欢迎来到山寨的熊市，娇贵的小多头们。  这里磨牙吮血，杀人如麻。  这里是生我养我的地方。
1813925741727490421,Thu Jul 18 13:16:12 +0000 2024,144,26,25,78845,9.8,否,这几天开始恢复更新推特，不摸鱼了。 前两天冲了8个土狗，把1.5个ETH变成了10个。 今天中午在小群里给大家讲土狗MEME，聊到了建立冲土狗方法论的重要一环是尝试。  币圈的很多产品，你一定要第一时间尝试尝试，不要怕亏钱，冲土狗更是这样。  比如你ETH每次用100U一次，SOL你用50U一次，各20次，共3000U。用一个完善的笔记本去记录你自己的每一次冲土狗的心路历程，比如当时为什么买，是追踪了某个大户钱包，还是看好这个题材，二级切入的买点是多少，最后为什么卖掉，收益多少，中间犯了什么错误，有什么额外的思考。 这里要补充一点，不可以 因为100U和50U钱少就不去认真对待。 每一次交易都要当做这3000U是你所有的钱去弄。 你把这笔钱花掉，你会发现你绝对入门了冲土狗。 你舍弃了40次“可能暴富”的土狗机会，用来换取你培养出土狗方法论。就盈亏比而言是绝对划算的。 这就是“慢就是快”！  绝大多数时候，人是不能凝练出方法论的。尤其是币圈，周围有无数的暴富神话，在一直围绕着你，让你变得浮躁。 其实选择性的舍弃掉一些机会，把这些机会专注的用在学习上，反而能帮助你锻炼自己的主观思考能力，凝练出自己的方法论。  很多情况下，我们是知道自己是错误的，自己是没有方法论，是需要学习的。但我们为什么还在盲目的乱冲，去博运气呢？是因为我们由着我们的人性去支配自己的思维，由着自己的性子来做事情。有时候短暂的努力一下，却无法获得正反馈，便很快放弃了。这种情况永远常见于一些散户韭菜身上。  有时候你需要逆着自己的性子，去试一试，才能开启正确的正反馈循环。 要通过一个周密的计划，从感性和理性上，都进入一个不是自己的“超我”状态。这样才能去愿意自我否定。 第一步是愿意自我否定 第二步是懂得如何自我否定 第三步是从正确的自我否定中提炼经验 然后才能战胜人性，逐步诞生自己的方法论。 很多时候，我们就是差了“周密的计划”，以及“一点点尝试的实验精神” 纸上得来终觉浅，绝知此事要躬行。世界上最遥远的距离，是从“知道”，到达“懂得”。
1948608341611352403,Fri Jul 25 04:56:46 +0000 2025,106,21,30,33941,9.8,否,"作为中文币圈唯一的XRP头子，XRP的看法大致如下： 1，XRP的叙事非常专一：跨境支付。 不同于公链等叙事讲究“叙事延展性”，可以不断蹭各种新叙事和利好，给自己的代币赋能。XRP的叙事：跨境支付。是加密货币最原始最本质的功能。 在19年的深熊市场里，我在华尔街见闻的同事远赴美国，采访了XRP的老板，他们真的在全球各地推广XRP支付。 我的朋友在泰国搞灰产，XRP是第一个找上门要求他们网站支持的加密货币。 今年年初我去新西兰旅游，在一个荒郊野岭的加油站里，看见了加密货币兑换机，里面只有5个货币：BTC,ETH,XRP,DOGE,LTC。 就是说，XRP从17年至今，几乎下沉到了能下沉的任何一个和支付相关的角落。 简单的叙事，极致的推广  2，XRP的K线非常简单。你哪怕是个交易新手都能很好掌握。XRP通常会进行长时间洗盘和短时间快速拉升，并借此不断阶梯式抬高币价。这是传统优质企业长期发展时抬高K线价格的走法。 交易的本质是：寻找市场里错付的赔率。 整个XRP的官方推特，根据XHUNT插件显示，全中文区只有四个KOL关注了。分别是，我、@qiqileyuan   @shuchu101  @joakja    整个中文区没有任何XRP社区，唯一喊单XRP的只有我一个。他们的中文CX口号是我在2017年写的，到现在已经销声匿迹。 甚至几乎所有中文区交易员都忽视了这个东西。而这个东西在美国，在韩国，推广的热火朝天，几乎无人不知无人不晓。 就连ETH和XRP同时暴涨，XRP涨的简单迅速还比ETH高，大家目光还都集中在ETH上。很简单，ETH套了太多人了。 这不是错付的赔率，还有什么是？  3，这波美国那边的三个叙事是：RWA，合规，币股。 说个冷知识：XRP是第一个被美国政府严打的加密货币，第二个是泰达USDT。 这句话换一个角度来说就是：XRP是第一个开始被迫走合规路线的加密货币。 他的合规进度绝对是稳定的前三名。自2023年末我就等待着XRP合规过审。当时我带着@thecryptoskanda  蹲了2个月XRP过审，最后没能等来。  币股叙事也是绝对前列，在很少有人关注的角落，有一只美股叫VVPR。 他们6月11号宣告1亿美金的XRP代币收购，当时2.12美金。  再说一个不为人知的事件：RWA和稳定币，XRP也借着自己跨境支付的优势，在疯狂推广自己给出的稳定币解决方案。 正是因为有极度下沉的支付渠道，才适合推广稳定币。才让他的稳定币解决方案能独树一帜。 现在，XRP把这波能占的叙事全占了。 他的高度是否对得起他的市值？！  在2017-18年的市场里，诞生了大量FDV极高，流通盘也很广的币圈项目。这类的项目如果经过长时间洗盘和吸筹，在此轮牛市里都有机会联合股票领域换发第二春。各位可以关注一下。  最后，我的朋友前天给我发了一个视频。他来到了每一个交易员心中的圣地美联储，对面的墙上，是XRP的宣传广告。 @XRP_Alerts   @bgarlinghouse    Your one and only Chinese fan sends you the most sincere blessings. Let’s restore the great glory of cryptocurrency！"
1802698821996343590,Mon Jun 17 13:44:26 +0000 2024,153,41,11,74366,9.3,否,本来想今天写点有意思的事情的，结果大盘来这么一下。 我前两天买的ETH系，今天触发了我的自动止损。从2020年至今，我极其罕见的本月出现了亏损1.6个点。 BTC已经完全是美联储的玩物了，这个时间段，除了短线合约玩家，几乎赚不到钱，算是半个垃圾时间了。 告诉你们一个鬼故事：今天BTC日线EMA15死叉EMA30了。如果不能再下一周迅速修复，那么我们大概率要看见60000附近的BTC。 我觉得这里就化繁为简： 1，65000 2，59600-61000（有可能在下跌过程中偏离，要看） 3，前低56700 这三个位置分别买入一点现货仓位。不要用合约。合约是在趋势里用的。 然后就是，现在BTC高位横盘，一些弱势山寨已经跌回熊市水平，市场情绪很差，这种情况下的拉升，反而容易造成踏空。就看BTC在这里是怎么个操作，到123的哪一条线。  千万记得，确认跌破56700那个位置，必须全部跑路，上面三个月的BTC全变成套牢盘，滚回4W不成问题。  顺便一提，我在最近的推特里，都在反复叮嘱大家，不要玩山寨，不要玩山寨。 我给你们从MM角度讲一个做市商的重要准则： 牛市里关键拉升位置不能跌破，这个位置没有什么叫法，我们定义叫：牛初支撑位。  为什么一些地方涨起来快，后来跌起来也快呢，是因为这里没有筹码堆砌，没有支撑位。 MM在牛市里，往往会采用简单且有效的策略，比如反复确认抛压后，极速拉升。 先拉个20%，卸掉一些底部获利，再连续快速拉N个20-30%的涨幅。形成FOMO效应后，等待K线自然下跌，自然构筑新的支撑位。再基于此支撑位做出下一步的做市策略。 为什么之前在SPACE里反复叮嘱大家，下跌过程里先抄BNB，SOL等价值币，就是因为他们有MM。下跌的本质是风险，无论是黑天鹅还是真的自然下跌，有MM的价值币，会在关键支撑位进行护盘。确保他们前期拉升构筑的关键位置，在牛市里不跌破。 这些位置要破，必须要在熊市里顺势跌破。  而这一轮的BTC和山寨币脱钩情况已经非常明显，导致很多MM非常难做，他们的币在缺乏买盘的状况下，已经跌到了这个关键位置。 绝大多数MM选择了护盘。 MM现在也是在算一笔账： 我在这里护盘，要花掉我多少资金，BTC如果再次下跌，我应该如何对付。 这里讲深一点，其实是有解的。应该在前一段时间，让币价迅速拉升，确保币价远离牛初支撑位，让此位置的容错率更高。这之中做的最漂亮的MM，必须是BNB！ 但实际上，这一轮对很多MM现在也是地狱难度，因为拉盘要么用利好，要么用真金白银，可是很多不争气的项目方，压根给不到利好，MM和项目甚至没有协同性。 很多MM也无法高瞻远瞩的在关键位置拉盘，确保容错率。 不是每一个MM手里的项目都是BNB！  那当MM算完自己的账时，护盘护不住了，就会选择砸盘——你不砸，有人替你砸。 牛初支撑位的另一个说法是：熊初阻力位。很多人说的牛熊转换点的位置，就是这里。只是他们不知道，这个转换点，从庄家角度，是如何构筑的。  我已经明显观测到，一些山寨币在失去买盘，托盘无力的情况下，选择含泪跌破自己花心力构筑的关键支撑位，向下寻求新位置。这也是为什么开头说：一些币，已经跌倒熊市里的水平。结合我之前文章里说的，本轮牛市初期BTC突然拉升，以及高FDV项目，导致很多山寨币没有稳固的社区，也不能造成造富效应的情况。本就薄弱的买盘，终究不能维系此支撑位。  MM一直在寻求：计划内的变化。 现在的行情，已经打破了他们的计划，只能等行情出现明确方向后，设立新的计划方案。
2101545046592065857,Sun Sep 20 05:32:38 +0000 2026,224,25,124,36833,9.1,否,由于最近问我的人太多，我反复解释。所以现在郑重回复: 这不是牛市。 这里是牛市开启的概率，只有5%。 一个熊市的组成，是由下跌趋势和震荡两者组成的。分别代表了空间纬度的恐慌逼筹，时间纬度的缓慢逼筹。 这里，95%不是牛市的开始。 如果这真的是牛市开启，那我们整个1011之后到57000点的这一段标准下跌趋势，都可以看做是一个下跌中继，则这轮牛市的高点我不敢想象。而且市场里根本没有这么多资金进来。 解释完毕。 啊？你问我为什么外面一群kol都喊牛来了？ 额，那是假的交易员。就这么简单。
1895762683619864795,Sat Mar 01 09:06:59 +0000 2025,90,10,12,19175,8.7,否,看好图，我这可是三分钟线右侧现价买入！ 我分享一下我的账户仓位管理经验。 我严格意义上来说有四个账户，其中一个是切割隔离的btc钱包。  另外三个，一个是大账户，只做btc现货和低杠杆合约，完全左侧挂单交易。属于中长期账户。 第二个账户是中账户，是我操作最多的账户，12月move那次就是。这个账户山寨币比比特币的极限比例是4比6。会大量进行合约操作。 第三个账户是小账户。这个账户属于完全右侧交易，随身携带的币安账户。完全右侧交易会保证我的盘感不退步，对市场有敏感性。  另外，我还有很多钱包和期权。 钱包里面的账户我管理的其实不是很好，比较乱。期权账户大概是中账户总仓位的15%。 钱包账户，期权账户，小账户的收益会定期往中账户提。中账户的收益半年挪一次去大账户。  细节上，我会尽量保证小账户和中账户的合约账户金额是某几个数值，这样紧急时候我需要右侧交易，非常方便计算。 至于大账户，每一步操作都有详细的，落在纸上的策略制定。  金额越大，越左侧，越长线，越有详细策略。 越小的账户越去博更有盈亏比的大收益。 资金不断从小账户往中大账户提取，最后部分提现，部分购买btc进入切割隔离的btc钱包。  这套策略我从做基金的时候开始用，一直用到今天。他可以极其有效的控制你躁动不安想开单的手，或者帮助你贯彻中长线策略的落实。对紧急情况下，你上头做出临时决策时能动用的资金也有限制。  账户的合理分配设置，本身就是仓位管理的一环。本身就能对你在市场里的行为起到规范作用。 这点我没有在任何书或者任何交易kol的文章里见人讲过，我自己用下来的确很有帮助。分享给你们。
1973680594401006006,Thu Oct 02 09:24:57 +0000 2025,78,11,14,23614,8.7,否,这里可能真是BTC这两年内最关键的位置了。 就看这个日线级别反弹的尽头，能维持现在的价格多久，已经回踩的深度。是真动作，还是受到宏观影响后的死蛙跳，一试便知道！ 这里最正确的做法应该是在即将到来的回踩里加仓，博日线级别向上突破盈亏比最高。同时止损点也很好找。 所谓的庄，就是出手的那一刻，对想达到的目标已经有了百分之百的把握。别管时间维度空间维度怎么走，目标一定到。庄只要保证中间的时间维度上有容错值就行了。 我的师父曾经做过一个非常生动的比喻： 庄的动作就好像打篮球，他中间的实时动作是可以即兴发挥的，比如带球虚晃、投篮上篮，球还没离开脚、手之前的假动作。但是他做这些动作的时候，他的眼睛，是一定瞄准篮筐的。 美联储花了这么久把BTC的坐庄权篡夺过去，指望BTC大涨消掉自己的泡沫。那这个地方发生1-2年的深度回调是不符合他们的逻辑的。 来吧，请出牌，请上篮。
2007436373482189164,Sat Jan 03 12:58:22 +0000 2026,70,6,13,10103,8.7,否,简单有用的财富密码： 1，行情类似于2022年3月行情。暂时当做下跌行情中的反弹来做。时间维度约66天。 2，预计主流反弹幅度不大，但小山寨有机会。很多山寨项目方急着退出流动性。会呈现暴涨暴跌行情。 3，由2可知，建议大仓位在主流上，小仓位在山寨快进快出。 4，MEME即将启动。请关注两类东西：A，老的MEME自然反弹，如PEPE已经启动。这一类当做2级交易去做就行。 B，节前大概率会有一波MEME行情，国人的习惯是过年手里有钱就赌点啥。建议观察这段时间有没有出圈的MEME，比如马斯克CZ懂王，核心是传播事件。P小将请亮剑。 财富密码讲完 。 剩下的是你们自己的事情了。  有点干货的题外话： 1，MEME现在的问题是坐庄集团对他的兴趣不大。很多现在还在发MEME的坐庄集团是23年链上出身的打狗行家转职做的小庄，不会做别的，讲究一个究极PVP，割场内流动性。大坐庄集团要等行情回暖后下场。  2，建议你如果玩MEME打土狗，就别做太深度的交易了。要二级交易就只交易BTC/BNB/ETH/SOL那几个深度好的。打土狗讲究一个快准狠，而且容易让你情绪上头。这其实和二级交易的很多地方是相悖的。 又打土狗又做山寨币的人，需要消耗相当大的精力，我反正做不来。这个经验你们自取吧。
1724651416701284664,Wed Nov 15 04:51:54 +0000 2023,158,6,36,56843,8.6,否,今天清掉了自己的基金，10个月，1100w，纯现货176.6%，以1942w结束了。终于不用再看lp脸色了。熊市做基金太难了。 我永远也不会忘记，6月中旬btc大跌，父亲在重症监护室里抢救，lp们一个个打电话问我有没有亏损。我当时手里没有现金支付住院费，只能斩仓自己的btc时的无奈。 都过去了，日子会越来越好 https://t.co/jFCnlI56ph
