id,date,jev_domain,jev_domain_name,jev_depth,jev_is_substantive,jev_has_rule,is_mental_model,is_featured,likes,retweets,replies,views,text,images_count,local_images,url
1965941085752144285,2025-09-11 00:50:54,meme_pvp,Meme PVP,2.01,0.88,0.03,🧠 核心思维,⭐ JEV精选,113,10,31,66855,一个月前写Pump这篇帖子的时候，Pump刚从Bonk手里抢回市场份额并开始回购，那会儿回购了1%不到，到今天已经回购了6.15%了，不到30天时间从市场上收回来了超过5%的流通筹码（这还是最近链上很枯的时候），一共就33%在外面，下一次解锁要等到26年年中，按这种收法，流通盘会越来越少，价格到后面越容易螺 https://t.co/HlKgrDlc3W,2,images/1965941085752144285_0.jpg;images/1965941085752144285_1.jpg,https://x.com/Michael_Liu93/status/1965941085752144285
2094282053781164082,2026-08-31 04:32:06,meme_pvp,Meme PVP,2.0,0.9,0.03,🧠 核心思维,⭐ JEV精选,201,12,59,142392,"这轮我们很难再看到纯meme的市值能达到上一轮的高度了，哪怕是之前的20%。上轮周期的meme上了cex之后，二级的大户和机构提供了非常大的买盘，所以我们看到了pnut neiro act这些meme在上了币安之后仍然有着不错的涨幅，而最终筹码从链上几乎全部转移到了二级的机构和散户手里。但苦了这些二级机构，上轮敢在二级收筹坐庄的都亏肿了，也有被直接献祭的。

meme控筹永远是核心问题，链上的meme在二级控筹太贵了，控的好的有个80%就不错了，不可能让二级庄控到95%以上去做妖币操盘的，而且现在还在币圈玩的大资金都是聪明钱了，看你控筹控的差不多了就不跟你玩了，之前的大Neiro，控完筹就被下架，还有最近的币安人生，越拉OI越低，我都想不到他们怎么收回成本。",0,,https://x.com/Michael_Liu93/status/2094282053781164082
1976431341291110797,2025-10-09 23:35:26,meme_pvp,Meme PVP,1.99,0.86,0.03,,⭐ JEV精选,277,30,90,95290,感觉Bsc meme又有要走上brocolli那会儿老路的意思。市场里流动性一共就这么多，链上一部分，alpha一部分，二级一部分，上一个alpha的币，能去1亿，上5个就是各2千万，二级上一个能去5个亿，上5个就各1个亿，上的越多天花板就会越来越低，上一层的天花板低了以后也会挤压下一层的。,0,,https://x.com/Michael_Liu93/status/1976431341291110797
1947610064933863430,2025-07-22 10:49:58,meme_pvp,Meme PVP,1.98,0.85,0.04,,⭐ JEV精选,95,9,33,58909,不到四天，pump/bonk的汇率对又跌了30%，pump 36亿，bonk30亿了，pump还有继续向下的空间，但一旦pump跌破了bonk的价格，短期反倒会对bonk的估值施压，因为bonk不再有估值的“锚”了。,0,,https://x.com/Michael_Liu93/status/1947610064933863430
2094826533903106189,2026-09-01 16:35:40,meme_pvp,Meme PVP,1.97,0.89,0.06,,⭐ JEV精选,240,28,28,44059,"今天除了牛来浇了，robinhood链上也能明显感觉比前两天p多了，流水和诈骗盘也多了，rabbit当天怎么上去怎么下来，boner也开始回调，目前只有龙头的AI和Pons还坚挺。

再重温下：
炒作时传播路径：龙头 → 龙二 → 龙三 → 杂毛补涨 
见顶时：杂毛先死 → 龙三崩 → 龙二崩 → 龙头调整",0,,https://x.com/Michael_Liu93/status/2094826533903106189
2024910234050003398,2026-02-20 18:13:15,meme_pvp,Meme PVP,1.97,0.85,0.07,🧠 核心思维,⭐ JEV精选,99,7,40,57567,同感，pepe抄了一些，bes没建仓，博个反弹。逻辑是如果是赌山寨反弹，都得盯着eth，pepe就是eth alpha增强版，过去几波反弹你如果盯过，你应该知道pepe前几天都是领涨，而且可以观察对比下11月至今pepe和eth的价格，明显已经跌不动了。,0,,https://x.com/Michael_Liu93/status/2024910234050003398
1859209605638762797,2024-11-20 12:18:07,meme_pvp,Meme PVP,1.96,0.87,0.11,🧠 核心思维,⭐ JEV精选,55,3,5,6645,@web3foxcn @gmgnai @haze0x 细说一下，早期pump有庄的盘子会尽量低调然后洗degen和bot，你看到线非常平，然后爆砸爆拉就是在洗，你这时候去抢筹码直接rug或者让你觉得rug了，等你走了再接回来。你看到什么时候线开始有做市商的机器人进来去上下波动，同一个地址买买然后卖卖的就是机器人的囤货和洗量钱包。,0,,https://x.com/Michael_Liu93/status/1859209605638762797
1905345544828190919,2025-03-27 19:45:52,meme_pvp,Meme PVP,1.95,0.74,0.05,🧠 核心思维,⭐ JEV精选,15,1,2,4563,@thecryptoskanda 关键一次性上四个，流动性分散，龙头压着，很难拉出大涨幅的。比如刚才我看到这个公告出来，先看了下，龙头mubarak被砸下去了，tut也拉起来到40m了，其他两个70m市值被mubarak压着，进而也压着tut的市值，几个都没赔率，我想买都不知道该买哪个🤣。如果想cex拉出造富效应，我觉得当时neiro和act那个玩,0,,https://x.com/Michael_Liu93/status/1905345544828190919
1874497916506919238,2025-01-01 16:48:24,meme_pvp,Meme PVP,1.94,0.73,0.01,,⭐ JEV精选,200,28,43,127474,"刚看到阿奶哥吐槽Luce和Lester的帖子有感，想看看到底这轮AI meme是怎么吸血其他meme的，快速算了一笔账给大家。

今天（2025年1月1日）的总Meme市值$967亿，如果咱们去掉doge、shib、pepe这三个标的，仅看其他所有meme是$289亿。

其中Ai Meme占了$94亿，非AI的Meme占了$195亿，目前非AI的meme是AI https://t.co/uOBxd2xOGv",1,images/1874497916506919238_0.png,https://x.com/Michael_Liu93/status/1874497916506919238
1883650532038037914,2025-01-26 22:57:38,meme_pvp,Meme PVP,1.93,0.66,0.03,,⭐ JEV精选,40,3,22,27911,体验了下Tribe run，感觉是个很有意思的收费群的模式，可以直接让市场给你的群定价，给群费定价的也更理所应当。但从“盘子”炒作的角度有点一般，问题是如果不开收费，对于dev来说没法获利（总不能群主明着砸筹码吧），如果开了收费，相当于是开了税，然后手续费磨损也比较大。,0,,https://x.com/Michael_Liu93/status/1883650532038037914
