推文ID,发布日期,点赞数,浏览量,综合评分,是否长文,推文正文
1939532768964485247,Mon Jun 30 03:53:41 +0000 2025,126,188585,0.543,否,"接上文，不知道大家是否会对为什么老有巨鲸，比如 @JamesWynnReal 能在 @HyperliquidX 上开出天量的仓位单子感到好奇？为什么在 @binance 和 @okx 基本就没有传出这类的新闻？

难道是因为Cex不想做生意？还是说 Dex为了手续费豁出去了？

其实这是各大交易所的底层算法和规则所决定的 —— 极限交易者（超大仓位+高杠杆）天然地就适合Hyperliquid的模式

归纳起来，主要有以下几点：
1. 订单规模限制：Hyperliquid 从机制上是允许用户直接开出上亿美元的头寸，而 CEX 通常设有限制或会主动限制此类订单 —— 从下单机制上 @binance @okx @bitgetglobal @Bybit_Official 等交易所就做不到“极限交易”

这是为什么呢？

2. 管理哲学：Hyperliquid追求波动性（因为主动做市的特性，越波动越能赚钱）；CEX更追求系统的稳定性（不崩塌为原则）

3. 风险偏好：HLP vault是Hyperliquid的核心，相当于是一个“主动做市商”，去承接流动性和清算的头寸—— 它是欢迎巨额头寸冲击 HLP Vault （随之而来的就是资金费率算法上对HLP Vault的倾斜）；而 CEX的保险基金更多的是一个被动的“保护层”，避免cex的利益受损，所以会尽可能避免此类冲击。

4. 盈利能力：中心化交易所保险基金不足时会触发 ADL，削弱极限交易者的盈利空间；Hyperliquid 用 HLP Vault 吸收清算，交易者收益不被“社会化”。

5. 成本考量：Hyperliquid 上开巨额单子所需保证金通常比 CEX 更少，资金使用效率更高。更符合极限交易“以小搏大”的理念

6. 账户安全与自由：Hyperliquid 上资金可随时充值、提现，没有中心化交易所常见的风控或冻结账户风险，赚了钱之后可以“安心”提现；margin不足，可以随时充值到账补保证金

小结
Hyperliquid 通过其高性能 Layer 1 区块链、去中心化风险互助金库（HLP）、以及无 KYC 的设计，实现了对巨额交易者友好的架构。这一体系允许更高风险敞口，同时吸收个体失败的潜在冲击，从而建立了一个鼓励流动性与大胆策略并存的生态。

相比之下，币安与 OKX 则采取了更为保守的风险防控路径。通过不断提升大额头寸的维护保证金率、设立保险基金和自动去杠杆机制，它们有效地限制了个别交易者可能带来的系统性冲击。这种“强监管 + 强对冲”的模式，虽然限制了个人极端杠杆的发挥，却换来了更高的系统稳定性和合规信任度。

以上都是一些精简的概述，想看完（精）整（彩）版论述长文的，记得打开小铃铛🔔 ，不日就会发表啦

ps：
1.这个版本足够简单明了了吧.... 

2.为了适应不同的读者群体，老登我也算是操碎了心啊 🤣

3. 信息量这么大的长文（https://t.co/NYEb5ynX56），居然连个10w+都没有，太可惜了"
1993954867413659757,Thu Nov 27 08:07:40 +0000 2025,45,21950,0.505,否,"来，乘着今天孙哥开媒体发布会的风🌬️，我也来蹲下 @HTX_Global 的高持仓 OI， 低交易量 vol的瓜

一、背景/前情提要
昨晚留了个作业，问：为啥 @HTX_Global 的oi/24h vol是4.1x ，（是 @binance 的10x） @Bybit_Official  @okx @bitget 这些都是 < 1，难道是HTX 天赋异禀？有什么大招？   
有兴趣的去看： https://t.co/m8iO389JyR
https://t.co/rBoDokc2RR

oi/vol的比值越高，意味着大量的资金沉淀在合约里，却几乎不怎么交易。这是一个极度反常的“死水”状态。毕竟一般散户有钱放在oi里，倒不如去打新？

二、各种不靠谱的假设
第一种观点是：HTX内有大量的大户对冲交易，以及理财交易（HTX的oi主要集中在eth和btc），好多大户都在htx建仓吃费率。这点我是持怀疑态度的，因为深度不足。假设要清仓的话，这点深度根本挡不住，连清算都来不及。所以这些“大户”是谁？ —— 我猜是交易所自己推出的理财产品

HTX（以及tron生态）提供了大量高收益的理财产品，比如 USDT 存币生息，或者各类 stUSDT 等衍生品。

交易所或做市商如何支付这些利息？他们不能凭空印钱，最稳健的方式是做 期现套利或资金费率套利，比如：
买入现货（Spot）： 比如买入 BTC；然后做空合约： 在合约市场开等量的空单。（HTX在98%都是多仓付资金费）

第二种观点是：Tron系的内部循环
结合 stUSDT 和 TRON 生态的玩法来看。
质押逻辑： 孙宇晨大力推广 stUSDT（号称投资RWA），这些资金在链上或交易所内部流转。

抵押品： 如果用户抵押了 BTC/ETH 去借 USDT，或者交易所为了维持 stUSDT 的锚定和流动性，需要在合约市场进行大规模的对冲操作。

第三种观点：数据美化
以前交易所喜欢刷量，但现在链上侦探和数据网站查得严，刷量容易导致比值异常。现在的逻辑反过来了。交易所希望展示自己“流动性深厚”、“大户多”。

双向开仓（Wash Positions）： 交易所的内部账户可以左手开多，右手开空。不产生亏损，不产生交易量（因为开了就不动），但OI 数据会变得非常好看（看着资产沉淀很高）。

三、小小地分析一下
我们看下HTX的oi趋势图（24年1月到现在），这个曲线该怎么说呢？无惧市场牛熊，一路向前？！不管市场好坏，美联储是否降息？trump是否当选？cz是否出狱？（结合 @bitget 的对比，你就知道区别了）

更要命的是10.11的市场大地震，oi居然没有什么变化，都不带停歇的就提高了？！

再结合昨天推文的关于各交易所的平均杠杆的假设（https://t.co/m8iO389JyR） HTX的平均杠杆是10x，在10.11不出现大规模多仓爆仓的概率是多少？oi不减少反升的概率是多少？ 补充一点：我更愿意相信实际的杠杆率在2x 左右（其他的数据看看就好） 

我不敢随意猜测（怕被公关），所以问了AI，AI给出了以下几个可能性：

1. 抵押品特别足，虽然POR的稳定币就只有14～15亿，但是多头仓位用的是trx，btc，eth等来做抵押物 （你能想象一下：14亿的稳定币维持了一个近70亿的oi是啥情况？应该有其他抵押品）

2. 这些就是数据盘OI，起到数据美化作用，而且是同一个账户开的全仓，多仓亏钱+空仓赚钱弥补，而且期间还不触发adl

3. HTX是一个大机构活跃的交易所。在暴跌后，oi下跌后没多久，巨鲸们开始在HTX疯狂建仓（或者做对冲，而且还要有人来做对手方？），所以日线看起来还是一个上升趋势

4. 在其他所开的对冲仓位，在其他交易所也有钱，只是不体现在账面上

5. HTX的自营做市商有个无限钱buff，永不爆仓（类alameda在FTX的权限）

四、随便唠唠
well，我觉得1-4的原因或多或少都有点，5应该不会，毕竟假设5有的话，真的是太可怕了

我更愿意相信，或者希望，这主要就是HTX的OI的数据美化盘，要不然后座力真的是太强了

最后给大家布置个作业，为什么deribit和bitfinex的oi/vol 也有点异常？ 

最后的最后，你要是觉得这篇推文写的还有点意思，想当冤大头的可以去bn alpha 看下 $pundiai 然后转到 0x0000000000000000000000000000000000000000 烧掉 🤣"
2053022998878093431,Sat May 09 08:03:20 +0000 2026,19,9218,0.505,否,"揭秘：为什么撮合的价格与实际的成交价有时会不一样？
你的爆仓价格为什么跟市场的盘口价也不一样？

mark price 决定""应该以什么价格清算""（触发条件），但 last price（场内深度）决定""实际能以什么价格清算""。当订单簿薄、深度跑光，强平 IOC 沿簿吃下来的实际成交价远差于破产价，这个 gap 就是保险基金的“盈亏来源”。保险基金本质是吸收""mark 给出的理论清算价""与""场内执行的实际成交价""之间的偏差。如果两者总是一致，保险基金根本不需要存在。

有些交易所更激进一些，据闻有些直接干脆在订单簿前面加一层""给清算路径独立的对手方通道""——让backstop vault或者白名单的清算人优先接走整个仓位，绕开订单簿这条慢路径。这本质是把""强平执行""从场内撮合中完全独立出来，给清算路径自己的撮合通道。

回到 perp 撮合复杂性的核心：撮合主循环本身可以保持简洁，但它周围的状态机——风控、清算、保险基金、ADL、可能还有 backstop liquidator 网络——构成了一个比订单簿本身复杂得多的系统。""order book 长得和现货一样""的视觉错觉背后，实际上有两条独立的入口管道和四种不同的退出路径。这就是 perp 撮合""难""的真实形状。（据闻有些交易所还做了b book）

看到这里是不是觉得自己之前亏了这么多钱在永续合约上是有原因的？  🤣"
1977694626904752590,Mon Oct 13 11:15:17 +0000 2025,24,11154,0.505,否,"今天刚好在跟bn的朋友抱怨我的wbeth的赔偿问题，这波的损失差不多1m（按照3900+赔，现在是4400+）疼的我啊…. ）我现在还在维权ing

然后就聊到今天bn都在被全网喷/骂/黑- 说是因为 @binance 的关系带崩了整个市场，他们现在也很苦恼….

我看了一下：理由不外乎是usde/bnsol/wbeth在交易所内脱锚导致的崩盘 —》
进而传导其他的山寨币崩盘，—》
因为bn的价格权重高传导到其他交易所，和dex —〉
进而导致整个市场崩盘

所以得出：binance是带崩整个市场的坏银

我以被害者的身份说句废话：
如果是发生在binance场内的交易行为，那么这个怪bn无可厚非，就我所知 @cz_binance 和 @heyibinance 也不姓赖

但是如果你说因为bn的喂价权重高，进而影响到其他的交易所，然后导致你在其他交易所的仓位被爆，那这个逻辑就不对了

每个交易所的合约的标记价格（指数价格）都是按照不同的权重从不同的来源取价格，并且“应当”还会自动剔除异常值/降权，而且还会取MA，如果该交易所在异常期间还取bn的喂价（或者不降权），这特么就是那个交易所的算法的问题嘛（我看 @okx @bitgetglobal 就没啥影响）

那些在其他cex/ perp dex爆仓就要客户去怪bn带崩市场的客服，就是纯纯的误导好不好？

我猜这些交易所可能的数据就是直接照搬bn/或者没按照文档的算法来，所以才会这种情况

不论是合约/质押贷款在出事的时候，每一个参数都是关键，不考虑自身的条件，就照搬一切，一定出事！这不，已经在路上了

有一说一，bn将清算抵押物的机器人放在同一个现货盘口清算真的是一定改啊…. 也幸好是bn，其他的就只能关提现了

我不站队，我只是比较理性地维权"
1947296732876067010,Mon Jul 21 14:04:54 +0000 2025,214,29235,0.459,否,"如果说币圈有什么深层次的金融创新，AMM算一个，永续合约交易也算一个

永续合约的核心之一就是“资金费率”的设计

就是这个简单直接的公式让多少交易大神折戟、早就多少个暴富神话、甚至还给大家贡献了精彩的盘面攻防战

这个机制体现了一种巧妙的治理思想：交易所并不直接干预市场价格，而是建立了一套激励规则，让市场参与者（尤其是套利者）通过自身的逐利行为来主动修正价格偏差。这使得整个系统更具弹性、且具有自我调节能力

因为资金费率的机制，让永续合约不再是一个“赌大小”的游戏（近战肉搏），而是一个充满博弈、策略的交易战场，因为这些特性衍生出各式各样的交易策略，有些真的是让人叹为观止。

以这篇长文为起点（https://t.co/SeHCOYVz38），让大家先看点基础的背景知识。如果反应热烈的话，我再解构几个案例和操盘手法。 🤣  

如果大家觉得这篇文章对大家有帮助的话，还希望大家多多转发，点赞哈"
1988928210428653827,Thu Nov 13 11:13:32 +0000 2025,34,19587,0.423,否,"今天说一下 @Backpack Exchange ——生息永续合约 (IBP)，应该算是BP的产品创新之一，质押 BTC/SOL 作为抵押品——允许用户自动借入 USDC 来支付盈亏或结算款项，从而避免强制出售非美元抵押品 ——随后使用借到的 USDC 开立永续合约头寸

通过借贷模块获取稳定币（USDC），然后利用这些稳定币作为保证金来开立永续合约头寸，赚取资金费率，从而实现理论上的“中性收益” 

这个model一般会衍生出有两种玩法（利用了 Backpack 的 IBP）

经典基差交易 (Basis Trading): 交易者持有现货 BTC/SOL（作为抵押品），同时开立等量的 BTC/SOL 永续合约空头头寸。在牛市中，资金费率通常为正，空头头寸会持续获得资金费率收益。

借贷套利 (Borrow & Trade): 质押 BTC/SOL，借入 USDC，然后利用 USDC 保证金开立针对其他资产的永续合约头寸（例如，如果认为 ETH 资金费率极高，开立 ETH 永续合约空头）

一切都相安无事，很多用户都拿这个model来刷积分，一直到10.11 （就是抵押品 + 仓位的双重暴击）

1. 在市场暴跌期间（ 10/11 闪崩 ），作为抵押品的 BTC/SOL 价格急剧下跌，导致其市场价值蒸发。加上当时后的仓位价值也在下跌

2. 抵押品清算的估值折扣 ： Backpack 对抵押品的市场价值应用折扣率 (Haircut) 来计算其有效抵押品价值 - 进一步压缩抵押品的价值

3. 非线性清算：当市场恐慌和波动性急剧飙升时，交易所的风险引擎很可能会动态提高波动性资产（如 SOL/BTC）的折扣率。这意味着，即使在市场价格下跌的基础上，作为抵押品的 SOL/BTC 的可用价值也会被非线性地削减 （orderbook订单簿变薄）

4. 仓位价值减少：仓位价值随着市场崩塌进一步下跌，接近强平价格

5. 清算触发： 抵押品的价值可下降，导致保证金水平降低和清算风险 这种复合式的抵押品价值衰减（价格下跌 + 折扣率提高）会快速消耗账户的维持保证金缓冲，导致动态清算价格 迅速逼近标记价格，从而在理论对冲尚未完全失效之前，账户就因保证金不足而被强制清算 。

因此，这种“中性策略”的本质风险在于：当市场恐慌时，策略的对冲头寸（永续合约）或许是稳定的，但账户的抵押品基础（BTC/SOL）却在崩塌，更甚者，抵押品与仓位价值一起崩塌。

清算并非源于资金费率对冲的失败（理论上永续合约的空头应该对冲现货多头的下跌损失），而是源于抵押品价值的降低

知其然，且知其所以然"
1973980026300477948,Fri Oct 03 05:14:47 +0000 2025,33,17374,0.421,否,"说说稳定币里的不稳定因素  
这几天除了各种perp dex就是各种“新型稳定币”的讨论，撑着稳定币公叙事回落，侃侃一下。  

具体是什么不重要，大家看个逻辑就好  

机制分步解析 ： 
1. 抵押品存入：用户将一种波动性加密资产（例如 ETH）存入协议。  
2.多头现货头寸：协议持有这些 ETH，从而创建了一个“多头”头寸。该头寸的价值会随着 ETH 价格的涨跌而变化。
  
3. 空头对冲：与此同时，协议在衍生品交易所上开立一个等值美元的该资产的“空头”头寸（例如，ETH/USD 永续合约）。该空头头寸的价值与 ETH 价格的变动方向相反。 

4.风险中和：一个头寸的利润被设计用来完美抵消另一个头寸的亏损。如果 ETH 价格上涨，多头现货头寸价值增加，而空头期货头寸价值减少；如果 ETH 价格下跌，则情况相反。最终结果是，抵押品的总美元价值保持稳定 。 
 
5. 铸造 USD代币：基于这个价值稳定的抵押品基础，协议以 1:1 的比例铸造 USD 代币，对应于该头寸的美元价值。  

资金费率：永续合约有一种名为“资金费率”的机制。为了使期货价格与现货价格保持一致，市场一侧的交易者（通常是多头）会定期向另一侧的交易者（通常是空头）支付费用。从历史上看，空头头寸是这些资金费用的净接收方，这为协议创造了额外的收益来源 。  

风险/局限性： 
1. 资金费率风险：空头是资金费率净接收方的假设并非总是成立。如果市场情绪逆转，资金费率持续为负，协议的价值将不断“流失”，侵蚀其抵押品基础，并可能威胁到锚定 。
  2. 清算风险：空头期货头寸需要保证金。在市场极端波动（价格“跳空”）期间，协议的保证金可能不足，导致头寸被强制清算。  
3. 交易对手与中心化风险：该模型严重依赖于中心化衍生品交易所的正常运行、流动性和偿付能力，因为对冲头寸正是在这些交易所上进行的。交易所的失败、宕机或监管行动都可能冻结协议的资产，破坏其稳定机制 。。
  4. 可扩展性天花板：可铸造的 USD稳定币 总量受到底层永续期货市场的可用流动性和未平仓合约量的限制。它无法无限扩展，其规模受限于其所依赖的衍生品市场的大小 。 

 现在问题来了？  
1. 这波操作用了几次杠杆？或者说，能用极限情况能用多少次杠杆？

2. 这种类型的稳定币会不会再次刺激perp dex？"
1946235266920022090,Fri Jul 18 15:47:01 +0000 2025,42,7876,0.421,否,"为什么说合约交易是交易所的印钞机？为什么有的交易所就敢跟用户对赌？

其实跟赌场类似，因为它们自带庄家优势

每过一局（每走一手）总会有一方要为另一方付出点什么？久而久之，一方的筹码（保证金）就会慢慢减少，而且往往就是这么巧的，就在你保证金见底之时，就会有一根“针”把你的仓位带走

而且交易所是光明正大地把你的钱一点一点的“挪走” ——而这就是资金费率算法

《合约算法镰刀（四）：0.01%的均衡——合约资金费率的机制与你百思不得解的爆仓残念》将在下周一晚上七点与大家见面啦

且看交易所你是如何一步一步落入交易所为你设下的必杀“圈套”。

敬请期待 🤣

0.01%的均衡，在永续交易眼里，就神似0.618的斐波那契数列，那样的精致动人"
2088656165898977525,Sat Aug 15 15:56:49 +0000 2026,48,13928,0.419,否,"看到评论区，有人说nasdaq要开始上7*23 ，5*23了，那么是不是意味着binance这波“休市”后的红利快要结束了？！ 

我原来想说是不是你们没有认真读文章，（连标题都没看么？）后来一想，应该也是文章写的太长，信息太多，所以模糊了重点。。是我的锅

我要说的是：binance或者说币圈的交易所，会用perp 逐步获得股票的定价权，至少是短期的定价权

我在这里“用人话”说一下原因：

1. 一般来说，衍生品的交易量是现货的n倍 - 但这不是说期货的价格决定了现货，只能期货起到了引导/驱动/博弈作用，尤其是在短期内（什么squeeze，逼空之类的）

现在短期的热门股，大多是期货驱动，因为现货流通不多

2.为什么这篇文的标题：用perp做出一条定价权之路
因为perp太好用了，要是放在股票市场真的就是大杀器了（下面会解释原因），而perp恰恰是币圈交易所，或者说binance的舒适区

3.首先 perp能做什么呢？ 
各位还记得 $alpaca 吗？ 不知道的小伙伴可以去重温：https://t.co/7ENIn8g5tq 
这杀伤力太可怕了

4. 如果放在股票，perp有什么优势
就说一点：信息披露

如果在股票市场，你想要买卖股票都是有限制的，比如创始团队减持，要发公告；要回购，发公告；连散户不小心买到了x %也要披露。。 

但是你要是转换成合约的oi 就不同啦，想怎么样搞都可以 （参考3）

5. 接着4，最有意思的是，除了隐蔽，操作perp可以在你不需要稀释控制权的情况下赚到钱（不需要怎么卖现货，发个公告就可以了），这在股市就很好玩了。。（有些市场连卖空都需要你手里现有现货，而perp？ 呵呵）

6. 后续的优势还有不少，比如操作更为隐蔽，免税。手续费更低，不用t+1 等等，我就不细说了

7.  那你说这得等到猴年马月才有人进来？ 
no no no - 你知道有多少华尔街的mm也同时在币圈活跃吗？ 你知道多少妖币的mm也同时是股票市场的金融巨鳄吗？ 

8. 你再瞅瞅图表2.。 这个方向性的准确率，你还觉得远吗？ （ps 这篇文的每个图表都很有深意，值得大家去思考）

9. 管你nasdaq 是5*23，7*23，还是7*24 - 这个跟营业时间无关，这个是产品形态的事情
我自己认为：perp就是比spot正股好玩

直白一点：bstocks是服务perp用的，文章说的borrow，PUNDI X BASKET 等等都是围绕着这个事情

10.  现在回来最初的问题，如果perp真的能起来？ 你说最大的收益方是谁？ 

11. 最后吐槽一下，这篇文的含金量其实真的很高，尤其是里面的逻辑和数据

你要是认真看的话，这篇文让binance 给我100个bnb的奖励其实都不过分 （如果你仔细看图表2，这个对于量化团队来说就是钱啊） - 你知道这篇文能吸引多少团队进驻 bstocks 吗？ 赚多少钱吗？

结果好多人放着这些信息，去冲meme？！我也是醉了。。。"
1949850437148086517,Mon Jul 28 15:12:25 +0000 2025,26,5461,0.411,否,"强制平仓是对于交易所来说是一件”费力不讨好“的事情，得罪用户不说，一个不小心还容易把自己搭进去，而且把自己搭进去之时可是没人会怜悯自己的。所以怎么做到一寸长半寸强，半寸深一寸浅就是真功夫。

多说一句，别看什么造富效应——清算机制，才是一个交易所的良心和担当。

今天，我们只谈结构和算法。强平发生的真正逻辑是什么？清算模型如何保护市场整体安全？为什么仓位遭遇自动减仓 (ADL)？"
