推文ID,发布时间,JEV评级,JEV得分,点赞量,转推量,浏览量,推文正文,原推链接
2071110343636779062,2026-06-28 05:55:59,S,93,1262,176,202916,"今天也算是半年过去，对自己上半年的惨痛交易也做个总结，
1.尽量买标品生意能流水线生产的或者互联网能直接复制产品的公司。
诺基亚这一俩个月俩回没啥起色，可能就跟它非标品的生意模式有关，基站啥的只能靠人力一点点干，搞土地搞关系搞人力搞供应链，苦力生意。
2.尽量买护城河极高，能参与公司极少的垄断公司垄断行业，湖南裕能这些就是对手多，无脑扩产的太疯狂，很难形成自己稳固的定价权。
3.自己没法掌控它实时仓过往业绩也不是特别好的etf或者lof少碰。当时5月初选港美互联网lof这个标是因为它持有美光和闪迪。如果基金经理完全按照一季度持仓加仓，则后续理论上表现会非常夸张，毕竟美光和闪迪在6月都涨了快50%，但真想不通这个傻逼经理在秀什么几把操作，后续价格走势完全跟美光和闪迪无关联。简直是盲盒交易。远不及中韩半导体这种etf持仓稳固，几个季度过去一直高比例持有三星海力士。
4.最重要最严重的错误，融资上杠杆。
差点在3月份爆仓死掉，2x海力士和ewy都暴跌差点没熬过去。以后再不去买超过自己本金的资产，顶多在自己本金范围内购买2x扩大上升周期的收益。
最沉痛的教训，当时3月的暴跌不仅吞噬了我1/2月份的收益，还直接巨亏打到了接近失去上桌的机会。
后续市场肯定还会有类似的波动，
比如真的加息来临，
比如市场承受不住大把的AI公司发债融资，
比如存储高价可能大幅抑制消费端需求，造成需求减弱，或者存储后期大幅度扩产引发降价等等。
总之市场会在我们意想不到的方式来一个黑天鹅来摧毁杠杆投资者，一俩个月风声过去，股市继续歌舞升平，全场新高，但与你无关。",https://x.com/xiaomustock/status/2071110343636779062
2069799662413115734,2026-06-24 15:07:49,S,70,152,21,439465,"小仓位1/7追了一下日月光半导体 $ASX 和康宁 $GLW 
日月光是市占率最高的封测厂最近又提价。
康宁是玻璃基板和光纤俩个炒作概念的龙头，之所以买这俩是因为日月光营收利润增速跟康宁一样，市值日月光是康宁的一半，我想看看拿一段时间在业绩增速一样的情况下到底哪个会更强。
市值差异也可能跟康宁没啥竞争对手，康宁的市值包含了一部分“技术溢价”和“垄断性护城河溢价”，市场愿意为这种可预期的、低竞争性的增长支付更高倍数。",https://x.com/xiaomustock/status/2069799662413115734
2071097639148683490,2026-06-28 05:05:30,S,64,327,41,120926,"这是年初写的对去年的交易体会总结，
能未来替代目前全AI行业抽水机存储地位的，可能就是康宁的这个集成了光纤光通信的玻璃基板。
不过没有发生百亿美金规模级的利润前人们还很难确定，我也是。
只是从黄仁勋让康宁扩产10倍，那么肯定对应着未来英伟达十倍以上的需求。
说明在投产放量后会发生10倍以上的需求暴增，这跟存储发生的事情有点点像。

如果未来某一天发生AI的某细分行业数倍增速百亿美金级别的规模利润，如果还拥有极高护城河极少竞争对手，那值得瞬间梭哈 。
现在阶段只能猜，但最终会百分之一万有这么一天，至于哪个细分则不可知。",https://x.com/xiaomustock/status/2071097639148683490
1940255531920478321,2025-07-02 03:45:41,S,60,1232,265,476637,"美股有一个神仙养老股股，月月分红.
代码 $O  Realty Income，股息率5.47%.
毛利五年92%+，五年营业收入增长3倍.
这公司简介称Realty Income 拥有约15,600处物业，其中大部分是独立的、单租户的、三网租赁的零售物业。公司的房产分布在美国49个州和波多黎各，租给了来自47个行业的250个租户。公司最近的收购增加了工业、游戏、办公、制造和分销业务，约占收入的20%。
从表中看，股息虽然增长不大，但五年间股息也增长了10%.",https://x.com/xiaomustock/status/1940255531920478321
1887710218940989905,2025-02-07 03:49:22,A,58,1448,192,477329,"deepseek说的太好了.为什么搞出deepseek的是初创公司而不是互联网巨头.

国内互联网巨头早他妈不是科技公司了，全是穿着互联网外衣的放贷集团+广告贩子+游戏作坊。指望他们搞AI突破?不如等贾跃亭下周回国! https://t.co/lCsLbYUK43",https://x.com/xiaomustock/status/1887710218940989905
1802904365768036485,2024-06-18 03:21:11,A,58,526,109,405666,"币安这套打法很难被突破。
币安联合自己派系的机构和项目方一起组局炮制新币收割，自己以投资人入局拿筹码。
再分一部分筹码给bnb大户形成利益共同体。
上币前送免费额度给大大小小的kol负责宣传。
一旦出现不利于币安的舆论方向，受益于新币发工资一样养活的bnb大户和kol就会集体出动，扭转舆论风向。

要么出现一个新的有领导力的技术大牛自带流量建一个新交易，免手续费，交易和挂单挖矿挖平台币挖个一年。
否则这一切很难变了，完全没有破局之人，现在散户都是猪仔，谁让人家垄断，交易量和用户基数最多，只能处于被收割状态。",https://x.com/xiaomustock/status/1802904365768036485
2078861372805501074,2026-07-19 15:15:49,A,57,182,12,228314,"明天又要搏命了，感觉soxl没skhynix稳，怕他娘的美股再跌个10%亏个大的我人没了直接换成了韩股sk。
这俩天kimi这个太热了，导致老外认识到大模型公司没有任何护城河，没几天就被别人干掉，今天gpt干gemini，明天claude干gpt。
市场可能会重新思考什么类型的公司是真正有稳固的护城河的。

能被kimi竞争登顶出现，很可能会被华尔街觉得长期利好谷歌，因为目前任何一家大模型公司谁能熬得过谷歌？稳固的现金流稳固的业务作为护城河，现在不管哪个模型领先，最终可能都是谷歌领先，它可以慢慢追，追到所有ai军备竞赛的大模型都耗尽家财，谷歌还有源源不断的血液继续干gemini。",https://x.com/xiaomustock/status/2078861372805501074
2056955557601313210,2026-05-20 04:29:55,A,54,221,21,136915,"这股票这俩天又火起来了。 #五一视界
还有一家比较有意思的小公司，#中山公用
它长期是靠作为广发证券第三大股东吃分红，把分红的大部分钱又跟广发合资搞了一个投资基金，它占50%，利用广发证券的资源投资各个即将上市的公司股票。
每个几乎都能获得数倍回报，最近要上市的长鑫也是他投资的，

净资产0.95，基本上也不存在腰斩啥情况，假如持有亏可能20%，收益可能100%。
这种股票不适合买特别多，热度存在感太低。",https://x.com/xiaomustock/status/2056955557601313210
2084304840700920281,2026-08-03 15:46:13,A,51,303,6,115213,"我觉得如果韩老板真打算赔，
警方调查到黑客不是受害者本人自导自演，确有黑客在没有受害者邮箱密码，谷歌验证，手机短信和受害者本人人脸的情况下对gate的风控实施了一连串的突破，
那证据十分充足的指向了你们gate的风控人工审核人员的过错导致资产被盗。
就大大方方直接赔偿。
如果等官方定责，那gate保管用户资金属于民事，虚拟币在国内不受理民事案件，没法定责，韩老板你这不就成了啥流氓了么，只开一个空头支票。",https://x.com/xiaomustock/status/2084304840700920281
1722602877385089382,2023-11-09 13:11:45,A,48,445,26,769519,说实话我自己都感觉不真实了，500u小号现在不算抹茶冻掉的3万美金，现在24万美金了，币安里面正式突破20万美金，这才2个月😂我尼玛，艹，干到100万美金先 #感谢ordi和badger https://t.co/NtTewrbtqT,https://x.com/xiaomustock/status/1722602877385089382
1936614340930797703,2025-06-22 02:36:54,A,46,360,40,135867,"兄弟们赚到钱了一定要想千方百计把钱守住，千万别都放币圈，这里一冲动可能一股脑就都没了.
买点高息股票，买点标普，
给自己的爸爸妈妈哥哥姐姐分点，
给自己老婆孩子换个新房子，
买个自己年少的梦中情车，
把钱花出去，
真有困难的时候才能千金散尽还复来. https://t.co/wtgAgAF3QZ",https://x.com/xiaomustock/status/1936614340930797703
1941817985976672415,2025-07-06 11:14:19,A,44,285,44,200814,"今天发现的一只养老好票.#中国电力
股息率7.5%，市盈率10，股价3块，国资控股
售电业务92%，年增长20%；
储能业务7.2%，年增长50%（这增速潜力巨大）我打算下周配置上. https://t.co/Jvjr65OJCt",https://x.com/xiaomustock/status/1941817985976672415
1939618007971401803,2025-06-30 09:32:24,A,44,89,11,265806,"swarms为数不多项目方一直在更新研发AI应用的品种. 
今天异动放量了，底部放量涨 市值太低了才2000万市值，官推space说有重大更新，这个市值太低估了，如果启动的话涨个翻倍才4000万 涨到一个亿对标A16Z啥的 5倍空间 想象力空间有，老meme板块都在异动上涨！丝袜做AI的MEME币 搞了5万U 买了0.25个点的筹码放着了.",https://x.com/xiaomustock/status/1939618007971401803
2074796670551031899,2026-07-08 10:04:08,B,37,254,14,418104,"这是正主@Gate  @jheioff 
查一下这个盗币怎么做到的，
我本以为有了谷歌验证已经是天下无敌，
查查是不是内部人作案，不然不可能突破这么多安全项拿到这么多资料信息。 https://t.co/mZMS1ygDHT",https://x.com/xiaomustock/status/2074796670551031899
1918337545437626427,2025-05-02 16:11:26,B,37,180,25,89397,"70%的套现资金我是这样规划的.

1.其中80%搞a股港股美股中的5%+长期每年稳定分红的高股息股票，分红必须每年都有增长.
2.分开账户20%搞a股港股美股中的未来十年有潜力的科技股.

保持让长期稳定的财富增长的同时，
也不会错过时代赋予的想象力，
还能拥有每年稳健的现金流.

保持自己永远在牌桌上，不返贫.",https://x.com/xiaomustock/status/1918337545437626427
2075554820401037509,2026-07-10 12:16:45,B,37,133,5,306290,"gate的人脸能被突破就是@Gate 的问题，
一定要小心自己的高清素颜视频音频外泄了，
现在AI换脸真可以实现以假乱真，
隐私在这个AI时代异常重要，
再发展下去基本上一套操作下来能突破你所有安全防线。太吓人了这次这事。

被盗资金已经被转移到洗钱地址。 https://t.co/8yoqO3PNOE",https://x.com/xiaomustock/status/2075554820401037509
2081183424342270321,2026-07-26 01:02:49,B,34,219,17,384415,"只有存储是真缺，负现金流问题几个月后再看谷歌营收就有答案了。ds拿着低效的华为烂卡用低价策略的回报速度都只有10个月，
谷歌这些云厂和claude他们投资回报的转化速度可以更快。",https://x.com/xiaomustock/status/2081183424342270321
2084522592044724542,2026-08-04 06:11:29,B,34,133,6,283272,"今天选择买有三个原因，
1.adr规则要求下，8.4号刚好是股东回报分红计划可以公布的最早时间点。
2.前几天反弹后大幅回撤回来，刚好今天价格比较理想。
3.大模型公司被ds 百万token 0.02人民币远低于1美分的定价打得集体降价，势必增加更大规模的存储需求。",https://x.com/xiaomustock/status/2084522592044724542
1918974962582372696,2025-05-04 10:24:18,B,34,43,14,118528,"今天看了很多巴老爷子的观点，打算下周，先第一笔加仓中远海控，中国制造业能卷死全球.
关税不会导致全球几十亿人不吃不喝了.
中国的出口规模只会更庞大.
同时原油价格下跌应该能补偿降低一部分运输成本.
希望几年后会有一个好回报，如果没有那时候继续股息加仓.
长期做同一件事看看结果. https://t.co/bGK4ix1QFe",https://x.com/xiaomustock/status/1918974962582372696
