推文ID,发布时间,JEV评级,JEV综合分,细分赛道,点赞量,转推量,回复量,浏览量,配图数,推文正文,核心干货提要,原推链接
2102476128644641052,2026-09-22 19:12:25,C,0,现货期货微观与庄家博弈,1,0,2,1077,0,@Ronin_Bitcoin 你没有ai吗？不会找ai问？找我问？,@Ronin_Bitcoin 你没有ai吗？不会找ai问？找我问？,https://x.com/xiaomustock/status/2102476128644641052
2102310574378136056,2026-09-22 08:14:34,C,17,美股硬科技与AI算力基建,30,0,8,48716,0,muse的这个问题可以关注一下，对带病毒的后门程序没有筛查和安全提醒。@alexandr_wang,muse的这个问题可以关注一下，对带病毒的后门程序没有筛查和安全提醒。@alexandr_wang,https://x.com/xiaomustock/status/2102310574378136056
2102306755137225205,2026-09-22 07:59:24,A,59,加密大周期与流动性配置,400,38,40,107885,1,"币圈唯一良心项目方就是HYPE，
程序化链上执行手续费和回购销毁，不玩猫腻，
所以才有了现在不仅在1011后没有一蹶不振，而是不断刷新币价最高纪录，
其他的所有这些所谓回购的平台币都是爸散户当傻逼糊弄，所以他们的币价跟回购毫无关联，全部在造假玩数据玩文字游戏。
想到俩个公司可以解释这种现象，
一个美国的好市多costco，
一个大陆的胖东来。
坚持只赚自己该赚的一部分钱，坚守很低的利润比例红线给客户选优质好货，坚决不拿自己不该拿的钱，生意反而越做越大。

人们自身追逐于更多利益，但怕跟自己合作的或产生关联的人跟自己一样，那么很可能自己会变成自己这种用谎言换取更大利益的趋利性受害者，当人人都如此的时候，costco和胖东来居然看起来强的耀眼，
hype也一样，
我就喜欢每次btc回调或者暴跌的时候，
反而不买btc只抄hype，
言行一致的真诚真是太可贵。",币圈唯一良心项目方就是HYPE，,https://x.com/xiaomustock/status/2102306755137225205
2102293054019514542,2026-09-22 07:04:57,C,7,交易心法复盘与知行合一进化,4,0,0,2903,0,@xiexieyixin 那太夸张了，实际上一年有那么几个月赚点都很不错，因为肯定有那么几个月亏钱,@xiexieyixin 那太夸张了，实际上一年有那么几个月赚点都很不错，因为肯定有那么几个月亏钱,https://x.com/xiaomustock/status/2102293054019514542
2102284301471756735,2026-09-22 06:30:10,C,0,交易心法复盘与知行合一进化,17,1,1,8427,0,@niuniu255431 经典,@niuniu255431 经典,https://x.com/xiaomustock/status/2102284301471756735
2102284054322459022,2026-09-22 06:29:11,C,4,美股硬科技与AI算力基建,3,0,0,3487,0,@kuchazi731 ram相当于有1/3muu，买了muu就重复了,@kuchazi731 ram相当于有1/3muu，买了muu就重复了,https://x.com/xiaomustock/status/2102284054322459022
2102280132585271319,2026-09-22 06:13:36,A,44,美股硬科技与AI算力基建,301,38,17,100599,0,"美股暴跌买snxx，ram，intw，soxl还能加一个metu，基本上够多了。
关注的信息和标的越杂反而狗屁赚不到，
每月赚个总资产10%那都是顶级操作。
这次最大的问题就是没想到能拉这么多，没见着跌的时候就涨了赚了个芝麻钱跑了。
唯一庆幸的是昨天meta698要破700的时候29梭哈了一波metu，32.6跑了，对应meta744。
下次抄底改改习惯，等真开始跌的时候再走。",美股暴跌买snxx，ram，intw，soxl还能加一个metu，基本上够多了。,https://x.com/xiaomustock/status/2102280132585271319
2102247872481910818,2026-09-22 04:05:25,C,4,现货期货微观与庄家博弈,1,0,0,6511,0,@alexandr_wang @bubbleboi 老实说这个图标是不是拿笔随手乱画了波浪线,@alexandr_wang @bubbleboi 老实说这个图标是不是拿笔随手乱画了波浪线,https://x.com/xiaomustock/status/2102247872481910818
2102233613287014700,2026-09-22 03:08:45,A,45,交易心法复盘与知行合一进化,158,14,15,136135,0,"$META 和腾讯暴涨本质都是因为agent，
但是真要找一家纯粹的agent公司非常难，市场里基本上没有，之前meta公司收购的manus如果香港上市可能是唯一纯度100%的agent智能体公司。
不过神奇的点是腾讯居然又是manus最大股东….. https://t.co/KiQNELotGe",$META 和腾讯暴涨本质都是因为agent，,https://x.com/xiaomustock/status/2102233613287014700
2102225074690588917,2026-09-22 02:34:49,C,17,交易心法复盘与知行合一进化,123,4,5,85402,0,"佩洛西的胜率夸张的高，
不过她的账户是由她老公代为操作",佩洛西的胜率夸张的高，,https://x.com/xiaomustock/status/2102225074690588917
2102063935658827966,2026-09-21 15:54:31,B,35,交易心法复盘与知行合一进化,242,4,35,256268,0,老表得发大财，一条 $CRCL 推特给我发了5000u卧槽。@dotyyds1234 https://t.co/YbhlUBqgw7,老表得发大财，一条 $CRCL 推特给我发了5000u卧槽。@dotyyds1234,https://x.com/xiaomustock/status/2102063935658827966
2102029893207007405,2026-09-21 13:39:15,C,14,交易心法复盘与知行合一进化,0,0,0,0,0,"meta上个月还是540这个月就要700了。
最被低估的奶头乐产品，
现在ai普通人都失业了，必须沉迷奶头乐维持社会稳定。",meta上个月还是540这个月就要700了。,https://x.com/xiaomustock/status/2102029893207007405
2101660487457124448,2026-09-20 13:11:21,C,14,加密大周期与流动性配置,0,0,0,0,0,下周的每一天都有美联储的出来讲话,下周的每一天都有美联储的出来讲话,https://x.com/xiaomustock/status/2101660487457124448
