推文ID,发布日期,点赞数,浏览量,综合评分,是否长文,推文正文
1908724782553571441,Sun Apr 06 03:33:45 +0000 2025,2,1971,0.385,否,"清明，扫的是谁的墓？《破·地狱》破的是谁的结？

《破·地狱》这部影片，所破的，远不止是死者的地狱。它以一种巧妙的方式，探索了生者的地狱，那些我们无法言说的愧疚、不甘、遗憾，沉淀在每个人心底的枷锁。

电影的开端便设定了一个特定的时代背景——香港的后疫情时代。人们在疫情后感到无所适从，生存成为一种接近本能的挣扎。道生，作为婚礼策划师，在这种氛围中生存，身陷生死夹缝。他为了按时偿还银行贷款，从喜事转战丧事，他的生活由此转变为一个不断面对“死”的过程。他自己也说，“从喜事到丧事，一样都是为人办事”。这句话不仅体现了他工作的无奈，更隐含了活人与死者之间，难以挣脱的命运纠缠。

影片中的“破地狱”仪式，是道教中的一种法事，通过超渡亡灵，帮助亡者从九层地狱的束缚中解脱，进入轮回。这一仪式的象征意义非常深刻：九层地狱的每一层都有不同的惩罚，亡者需要经过层层审判，面对自己一生的过错，最终才能获得超生。而在这过程中，喃呒师傅使用桃木剑，破瓦、穿步等动作，象征着引导亡者走出地狱，走向安宁的净土。

然而，影片的真正核心并非亡者的解脱，而是生者的解救。生者同样被困在自己的“地狱”中，这些地狱并不总是与死亡直接相关，而是与未完成的事情、未说的悔恨、与死者未了的情感有着千丝万缕的联系。生者的地狱，往往是无法释怀的遗憾、难以弥补的愧疚，或者是无法逃避的命运和传统的枷锁。

电影中的角色都有各自的地狱（束缚），道生服务的客户们/道生/文哥/志斌/文玥…. 我们在这里就不谈这些显而易见的桥段和细节。 我们聊聊电影不敢明说的： 活下来的人地狱，能不能破？

在电影中的多个情节中，我们看到了生者的“地狱”是如何形成的，以及他们如何在这种痛苦的束缚中挣扎。

1.道生在为客户准备葬礼时，准备了一辆玛莎拉蒂作为墓车，意图满足客户对死者形象的需求。然而，这辆车却让客户愤怒至极，因为死者正是因这款车而死去。葬礼成为一场彻底的失败，勾起了家属深埋的痛苦回忆。但在这场混乱中，有一个细节十分值得注意：死者的父亲，在情绪最激烈的时刻，却陷入了沉思，他似乎在思索着什么，反而没有表现出其他家属的愤怒和激动。这一瞬间，父亲的眼神透露出了某种深沉的理解与释然，这让人不得不思考，死者是否真正得到了解脱，生者是否能够从这一切中找到一丝平静。

2.单亲妈妈要求道生为她已经死去半年多的儿子进行防腐处理。在道生用酒精擦拭遗体的过程中，母亲的眼泪从抽搐到啼哭，最终变为崩溃的平静。她的眼神从最初的无助，到最后在道生完成工作后的释然和希望，展示了她在丧子之痛中的挣扎与逐步接受。这一过程中，文哥的出现扮演了至关重要的角色，他用小孩的衣服为亡魂做超度

3. 影片中还有一场复杂的葬礼戏，涉及一对疑似女同的葬礼。丈夫百般阻挠女友前来悼念，表面上是出于对亡妻的悼念，实则是为了应付世俗的眼光和传统的规矩。这种情节的存在，揭示了社会传统对生者的压迫，死者成为了这些规矩下的牺牲品，而生者则在这种矛盾中不断纠结，无法逃脱。

4.文哥的葬礼中，围绕着一场激烈的权力争斗展开，喃呒师傅们的争斗显得荒诞且充满暗涌。表面上，他们是在为文哥举行葬礼，实际上却是在争夺一个失去领导者后的权力空缺。若从座次安排来看，这场葬礼更像是一场社团内部的权力斗争。最令人深思的是，明叔，作为与文哥同一辈的元老，为什么没有站出来。这里埋藏着对传统、对责任的深刻反思——那些身处权力漩涡中的人，最终会选择怎样的立场，是否真心悼念，抑或只是履行世俗的仪式？

最后，影片通过志斌和文玥共同为父亲呈上“最后一舞”的高潮，完成了一次情感的解脱。志斌的目光从最初的疑虑、焦虑，到最后的释然与认可，体现了他对于父亲深藏心底的愧疚和未竟的亲情的最终解脱。3. 这对于大半辈子都活在男尊女卑的家庭里是一件多么困难的事情。

所以说了这么多，活人的地狱是什么？

道生在电影里说了一些，“活人也有很多地狱，比如遗憾、不甘、愧疚… ”，还有世俗的目光、传统的礼节、对命运的唏嘘等等。我们也看到对于破生人的地狱其实是以一个新的问题来慰籍当下的情绪而衍生出的新问题，比如小孩的棺拱日后该如何存放？文玥日后该如何面对其他喃唔师傅？志斌的老婆孩子日后该怎么面对文玥等等。

电影谈的是“当下”生人破地狱的情绪滋养和疗愈 ——破活人的地狱的目的就是要让生者在那一刻感到心安，如释重负，或者说对于情绪的一种宣泄，认为我们按照老祖宗的1234，我们就尽到了应尽的义务。

教育教会了我们知识和技能，职场教会了我们生存和甩锅，爱情教会了我们珍惜和包容，但遗憾的是，没有一部心灵鸡汤教我们怎么面对死亡，尤其是亲人间毫无征兆，突如其来的死亡，这个时候懵逼的我们只能遵循老祖宗留下的范本，与自己当初做的傻事、不甘和未尽的孝道与自己做一次告解。

是的，破地狱就是一个仪式，每个人都需要一个仪式与过去的自己、破碎的家庭、对不住的故人做道别而已。

这就是一次不尝试解决任何实际问题、也没有受益者的解题公式 —— 在这一刻不需要逻辑，也不考虑后续产生的问题，人们只需要一个情绪的导流管。

在电影的最后，道生说了一句，“死亡不是终点，遗忘才是”；这句话对于生人的地狱而言，恰恰相反，“遗忘不是终点，死亡才是”。

--- 仔细一看，清明扫墓、破地狱与对等关税的出发点好像也差不多 🤣 不尝试解决任何实际问题、也没有受益者的仪式感"
1930148326495924655,Wed Jun 04 06:23:16 +0000 2025,7,1853,0.354,否,"向上社交只是表象，卡bug才是真相

只要在上升期的产业/行业/人，总会有几个“bug”的

只要卡bug卡的好，多的可以实现阶级跃升，少的可以得到好多时代红利

举个例子，想靠裸考高考上清华北大确实难度很大，但是你换个身份就简单了好多；比如考公很难，你换个岳父就简单很多了；再比如之前上币条件苛刻，你换个链或者换个交易对，这事情就很简单很多了

很多时候很多事情，能力和素质只是准入门槛，更多的是timing（时机）

卡bug就是从这个人/事/物从开始到成熟过程中的信息差和结构差中寻找时间/空间的套利机会

什么向上社交，预期管理的技巧和胆识根本不是关键，主要看时机

你在已经成熟的体系里向上社交就是事倍功半，你现在去蹭cz和一姐，估计理都不理你，但是你要是在刚他们刚活跃的时候去蹭/互动，那么估计就有戏，你在他们已经被伤害过/妥协过/经历后才去，边际效用已经大大递减了，他们已经祛魅了

企业的大额期权只给早期员工是一个道理，除了是画饼，因为老板自己也不懂会干成啥样，因为不成熟，所以接纳程度高

历史也说了，起义之后的第一场胜仗的饼是最大最香

细细品尝每一个bug，它们可能都是一个个改变格局的feature哦

Be a 潮汕人 卡准每一个bug"
2017810547904061597,Sun Feb 01 04:01:38 +0000 2026,11,1556,0.354,否,"我自己归类起来是两个不同的模式
一个是过路费模式 pvp ；一个是增值模式 pve

一个是你来交易
没有外部资金持续流入的情况下，交易所赚的每一分钱手续费，本质上都是场内交易者的本金损耗
这就是典型的“赌场模型”——赌客之间互有胜负，但整体资金池因为抽水而不断减少。

这解释了为什么Crypto行业如此依赖“新叙事”和“新韭菜”。因为如果不拉新人进来（吸引外部流动性），场内的存量资金会被交易所、矿工、项目方慢慢抽干。

另一个是购买显卡是为了创造了全新的商业价值赚取外界的钱，这种模式下，Nvidia赚了钱，客户也赚了钱（或节省了成本），整个蛋糕做大了。

目前web3/crypto就是缺乏“外部性”。大多数Web3项目不仅没帮用户赚到圈外的钱，反而因为高昂的Gas费、上币费用等等，增加了开发者的生产成本。

当然，也不能说问题出在于“收过路费”本身，更多的是在于过了这么多年Web3只有收费站（能赚到钱）"
1897206242315268557,Wed Mar 05 08:43:11 +0000 2025,2,669,0.345,否,"为什么说黑道寿司外卖是东京最隐秘的味道？

2020年3月，东京涉谷某个柏青哥厅，山口组的传奇大佬——渡边清隆，做出了一个震撼地下世界的决定。那天，比特币闪崩，他毫不犹豫地 ALL IN。不容置疑的信仰，高傲至极的姿态，他无视一切噪音，甚至无惧整个世界与他为敌。

他的目标很明确——社团储备资金 ALL IN 后，剩余的流动资金，他选择开一家外卖寿司店。将虔诚的信仰交给时间，将旺盛的精力赋予食物。

曾经，他是90年代统治东京地下世界的枭雄，如今，他将对 极致 的执着投注到寿司的每一寸刀工之中，同时，也把这家店变成了一场 更精妙的资本清洗。

在黑道世界，食物不仅仅是食物，它是地位、规则，更是权力的象征。 渡边清隆与得力干将佐藤龙一深谙此道，他们特意请来了银座米其林寿司大师——村上信二，并要求他用武士道的标准去对待每一块鱼肉。

村上的刀法，近乎病态的精准。每一片金枪鱼都被切得 薄如蝉翼，误差不超过发丝的十分之一。寻常寿司师傅见了，只能自愧不如。渡边清隆的原则很简单：

“做寿司，和做‘武士’是一个道理，必须精准，半点含糊不得。”

但这家寿司店的高明之处，绝不止于寿司本身，而在于背后的资本运作。

没人知道渡边清隆和那家 疯狂囤积比特币的日本上市公司 究竟有什么关系。只知道，在寿司店促膝长谈的某个夜晚后，这家公司开始疯狂扫货，仿佛早已洞察了市场的风向。

还有一个令人叹服的，是这家店的 外卖系统——或者说，这是一支 黑道级的特种部队。

迟到？不可能！ 那是对组织的羞辱。佐藤龙一以黑道管理战斗小组的方式，训练着每一个送餐员。

每一单都必须在精准时间内送达，快递员穿梭在东京街头，比 GPS 还精准。每次送单都像是在执行一次任务，确保地下世界的荣耀不被玷污。

最神秘的，是那一滴酱油

传言，这酱料 不仅仅是味道，更是一种黑道兄弟情谊的象征，一种地下世界的默契。只有真正的“自己人”，才懂得其中的韵味。（谣传是因为加入了x血）

这一切是真是假？没人能说得清。但在东京这座充满矛盾与隐秘规则的城市，现实与传说往往只有一线之隔。

就如顶级的味道，往往隐藏在不被主流社会触及的角落里；真正的财富，往往沉睡在时间与信仰之中。无需过度关注，只需静待。"
2100181229815648566,Wed Sep 16 11:13:19 +0000 2026,3,5251,0.341,否,"不同的视角看待不同角度的“上币费”（不谈什么腐败/undertable/中间人）

我感觉就有点类似之前西贝的预制菜风波… 角度和定义的不同

对于西贝来说，提前卤好的牛肉，冷冻的西兰花是前置处理，不是预制菜；但对大众来说，只要不是当场做的就是预制菜

其实两边都有道理的，但就是没办法调和

对于交易所来说，合同里确实没有上币费这一明目；

但对项目方来说不管明细是什么…营销费用，空投，管理费用，流动性，抵押金bla bla bla 只要是从我口袋出去的（尤其交易所还规定币的floor price限制，所以发出去的币还得买回来，就是费用），所以对项目方来说这其实就是上币费 

这个是基本没办法调和的角度问题 - 技术/合规上，确实没有上币费这一栏，但你上币难道不做活动吸引流量吗？这些预算都是为了让你的币有交易量有活跃度- 可是ho，很多项目方可不是这么想的，他们就觉得这是交易所换着一个花样来跟我收钱而已

一方觉得，我这个钱可是花在你身上的啊，我又不用；
另一方觉得我这个项目需不需要营销难道我不知道吗？还需要你来安排？而且你说是不是每个项目都需要营销费用？你看看meme… 上线之后有营销吗？

交易所有平台币要赋能，有用户要照顾，出事了还要扛风险，保险金亏了要赔钱… 都是商业机构，收点营销费用合情合理

项目方呢？上币是为了赚钱，现在反而搭进去这么多，几百万的营销/流动性，到最后都是亏着出来，成本都不够cover，那你说上来干嘛？所以这也导致收割的方式越来越“创新”（参靠鄙人的合约镰刀系列）

这就陷入了一个三输的境地- 项目方赚不到钱；交易所也赚不到钱；用户被割

也许是时候重新审视这种模式了

交易所的本意是想帮项目方花大预算造势；
项目方收获流量，流动性和价格（大家想一下19-22年的ieo，launchpad/pool）

所以项目方才前赴后继的花钱，撒币；用户才乐此不彼参与.

但这毕竟是ieo时代的黄金坑，这一套的打法在当时确实非常有效，但此一时彼一时，这套打法的边际收益越来越低了，甚至都是负数了

这是时代的演进，也是行业的印记，都是我们的来时路

stock perp，rwa都来了，新的上币模式还远吗？"
1998229671050461355,Tue Dec 09 03:14:13 +0000 2025,52,16351,0.341,否,"如果我们用福建生意人的眼光重新审视 2025 年的币圈，会看到这样一幅图景：

这群人（项目方+VC）原本宣称要在乌克兰（高风险新区）建房子（Web3 生态），其实他们根本不在乎房子能不能住人。他们真正做的是：

1. 先在那块地上插个牌子，以此为理由印了一堆“砖头票”（Token）。

2. 找来华尔街的大佬（VC机构）站台，说这砖头票以后能换黄金。

3. 找来一堆群演（工作室）来售楼处连夜排队，制造火爆场面（刷数据）

4. 找来几个大点的台子（交易所），交点保护费（上币费+空投），再开个专场（合约交易）

5. 找来村里的大喇叭（KOL）喊话，说砖头票要涨价了。

6. 最后，利用合约机制把想做空砖头票的人打爆，趁机把手里的废纸（Token）换成了真金白银。

ps：细心的人会看到这与原po有啥区别
pps：不是我们不会，而是老灯真下不去这个手。。。"
2014008831664153019,Wed Jan 21 16:14:58 +0000 2026,38,26397,0.339,否,"真的是笑死我啦～ 大家真的以为上币 #meme 是家家酒吗？就是上币组看着领导的面子上的吗？！

come on，这里面都是一组组数据、指标和模型构建出来的体系和框架。

不论审美如何，但是论上币，是否能盈利这个事情，交易所还是专业的。

我坐在电脑前vibe coding都能捣鼓出一个数据模型，你觉得binance是慈善机构吗？okx都是吃干饭的吗？bybit不会看数据吗？

很多时候，拜托不要想当然把你看不懂的东西 = 他人的阴谋论，很多时候很多散户压根儿就撑不到阴谋集团出手的那一刻，自己就歇菜了

回归第一性原理，这就是数学，这就是原理 - 只是你自己下手之前不去研究，或者就是不想承认自己菜而已

我猜有人还会说，你写的这篇文章我看不懂。。你要嘛不看，不然就是看不懂，那为什么还要下去送人头？

图盗得 @heyibinance 的贴文"
1930295802062352709,Wed Jun 04 16:09:17 +0000 2025,88,47765,0.337,否,"我看了一下人心惶惶的各位，我还是说一嘴新加坡的《Guidelines on Licensing for Digital Token Service Providers》 (DTSP) ，其实这个法案早在2022年的时候就出台了，也是一直拖到2025年6月30日才“正式实施”

进入正题前，免责声明：我这个只是概览而已，不为以下的言论负法律责任，请麻烦咨询专业的律师

大家主要关心的几个点：

1. In or From Singapore
不论你是否服务新家坡用户，也不论是否在新加坡设立实体，也可能被认定为“在新加坡或从新加坡提供服务”，因而纳入监管：
a.核心开发/运营团队位于新加坡；
b.服务器或托管系统设在新加坡；
c.营销活动明确面向新加坡客户；
d. 接收来自新加坡用户的资金或资金

换句话说只要在新加坡或向新加坡用户提供DTSP范围的服务都需要申请牌照

2. 适用服务范围（Covered Digital Token Services）
简单来说只要是跟“交易”相关的都不行
a. 发行或安排发行数字代币（Issuance or Arranging Issuance） - 为他人创建或发行数字代币，包括 IDO、Launchpad、代币生成事件（TGE）等。

b. 数字代币托管服务（Custody Services）
持有或控制客户的数字代币，包括冷钱包和热钱包服务。
向客户提供安全存取其资产的接口或系统。

c. 经纪、撮合与交易安排服务（Brokerage / Matching / Exchange Services）
运营中心化或去中心化的订单簿、交易撮合服务（包括 OTC、DEX Aggregator）。
表现形式：提供交易平台界面（UI/UX）协助买卖双方达成交易。

d. 转移或支付服务（Transfer Services）
协助客户转移代币（即作为中介参与交易或跨链桥转账）。

包括支付网关、桥接协议、钱包提供的“代客转账”功能。

e. 验证和治理服务（Validation / Governance Participation）
代表客户参与节点验证（例如以客户名义 staking）、运行 validator 节点、或者参与链上治理投票。
涉及从 staking 或治理中收取收益或报酬的行为。

d. 支持托管的技术服务（Technology Enabling Custody）
提供托管服务所需的基础设施或技术支持（如 MPC 钱包服务商、密钥托管、托管 API 开发商）。
尽管不直接控制资产，但技术在资产控制过程中发挥关键作用也算在内。

3.不需要牌照的服务

a. 纯技术咨询（Pure Advisory / Consultancy）
例如：项目设计、代币经济模型咨询、法律结构建议、产品设计指导等；

只要你不参与实际托管资产、代为发行或执行交易，就不会被视为 DTSP；

MAS 指出，仅提供“建议、顾问服务”不构成受监管活动。

b. 营销推广（Marketing / Publicity Services）
包括社群管理、广告投放、品牌设计等；

即使你帮助一个 Web3 项目在新加坡做市场推广，只要你不涉及资产流通、交易撮合或代币管理，一般情况下是不涉及监管的；

但如果你直接代客户安排代币销售/分发或转移，则可能触发监管义务。

免责声明：我不为以上的言论负法律责任，请麻烦咨询律师

最后，港府也先别半场开香槟，我猜大概率会有反转，至少技术支持的服务商这里应该会放宽一些"
2100397585609748632,Thu Sep 17 01:33:02 +0000 2026,0,0,0.316,否,"不同的视角看待不同角度的“上币费”（不谈什么腐败/undertable/中间人）

我感觉就有点类似之前西贝的预制菜风波… 角度和定义的不同

对于西贝来说，提前卤好的牛肉，冷冻的西兰花是前置处理，不是预制菜；但对大众来说，只要不是当场做的就是预制菜

其实两边都有道理的，但就是没办法调和

对于交易所来说，合同里确实没有上币费这一明目；

但对项目方来说不管明细是什么…营销费用，空投，管理费用，流动性，抵押金bla bla bla 只要是从我口袋出去的（尤其交易所还规定币的floor price限制，所以发出去的币还得买回来，就是费用），所以对项目方来说这其实就是上币费 

这个是基本没办法调和的角度问题 - 技术/合规上，确实没有上币费这一栏，但你上币难道不做活动吸引流量吗？这些预算都是为了让你的币有交易量有活跃度- 可是ho，很多项目方可不是这么想的，他们就觉得这是交易所换着一个花样来跟我收钱而已

一方觉得，我这个钱可是花在你身上的啊，我又不用；
另一方觉得我这个项目需不需要营销难道我不知道吗？还需要你来安排？而且你说是不是每个项目都需要营销费用？你看看meme… 上线之后有营销吗？

交易所有平台币要赋能，有用户要照顾，出事了还要扛风险，保险金亏了要赔钱… 都是商业机构，收点营销费用合情合理

项目方呢？上币是为了赚钱，现在反而搭进去这么多，几百万的营销/流动性，到最后都是亏着出来，成本都不够cover，那你说上来干嘛？所以这也导致收割的方式越来越“创新”（参靠鄙人的合约镰刀系列）

这就陷入了一个三输的境地- 项目方赚不到钱；交易所也赚不到钱；用户被割

也许是时候重新审视这种模式了

交易所的本意是想帮项目方花大预算造势；
项目方收获流量，流动性和价格（大家想一下19-22年的ieo，launchpad/pool）

所以项目方才前赴后继的花钱，撒币；用户才乐此不彼参与.

但这毕竟是ieo时代的黄金坑，这一套的打法在当时确实非常有效，但此一时彼一时，这套打法的边际收益越来越低了，甚至都是负数了

这是时代的演进，也是行业的印记，都是我们的来时路

stock perp，rwa都来了，新的上币模式还远吗？"
2100108575087772054,Wed Sep 16 06:24:37 +0000 2026,11,4087,0.316,否,"很多事情其实都是慢慢演进过来的

比如现在的KOL round，就是2017/18年那会儿从advisor 的份额演化过来的产物

当时候ico方兴，行业还在早期，谁都不认识谁，但是都要融资… 除了whitapaper外，那你要怎么增加大家对你的信任感.. 不外乎就是找人站站台 - 保不齐就有人认识，就参与公募了

当然还有一个作用就是- 有人站台，咨询了xxx，代表你至少懂了xxx，就代表你比只有白皮书的人还多了一步，这个时候的advisor一般都是专业人士，律师/技术大拿/教授/vc等等

随着时间推移，大家都不太care advisor- 顾问具体的作用（技术/合规的作用）更在乎募资作用 aka 能帮助融多少钱，这个时期的advisor就是名人/明星/项目创始人/vc

再后来ct盛行，加上crypto vc多如牛毛.. 融资反而不是最难的，难的是上所，而上所又需要ct上的声量，所以advisor的作用换成了ct上的大v（之前是付费推广）

之后上币政策收紧，high fdv low float之风开始，advisor的份额成为了封控对象，既不能一开盘就解锁；而且大v的影响力下降（数量太多了）但是呢？项目方又不想花钱找他们推广，又为了规避交易所规定advisor份额必须锁仓的限制（不这样的话 kol不参与） 想出来了kol round

即kol付费参与打新，属于投资人之列，可以tge当天解锁份额

但是好景不长，这个东西在随后以合约操盘为主的市场环境下又变了，为了更好地控制筹码结构，kol round的份额也需要锁仓了…"
