Tweet ID,发布时间,点赞数,转发数,回复数,浏览量,含金量评分,是否长文研报,推文正文
2046590522152599766,Tue Apr 21 14:02:58 +0000 2026,124,31,12,21757,9.8,否,《从项目方出货浅谈如何正确抉择来赋予山寨币价值》本文需要阅读时间10分钟/50分钟。 我来给昨天的问题正确解答： 如果你观察当时的BTC的K线，你可以得出结论：市场严重过热，极大概率是519之后的次顶（得不出这个结论也不重要）。你最重要的是知道，自己的K线也挺不住了。 在此情况下，作为项目方老板的你面临的其实是熊市降临前如何抉择。 首先要明确的是：你的第一要务是切换成USDT本位。把所有你的币，尽可能的换成USDT。 项目方在熊市来临前的第一要务是赚钱，第二要务是活下来。第三要务是重复第一要务。  如果直接砸盘，其实并非最优解。最优解是抓紧高位横盘时间OTC。 所以本题的最精简答案来自@LeotheHorseman  的解答。如图所示。 然后才是配合营销或者自然流量，从盘面缓慢出货，直到OTC完成。 这里其实还有一些细小的可行方案，比如延迟VC解锁（本质是增加时间窗口），质押（降低盘面卖出侧流动性），都是可行的。 本题目考察的核心点是：你对项目方、散户、VC三者生态关系的了解程度，以及项目方一些常见手段的实际原理。 如果你平时不沉下心思考，是不会得出这些看似简单，实则化繁为简的答案的。  在此基础上，我们进入衍生困难模式，以下内容不适合散户阅读。不适合散户阅读。没有完整经过一轮牛市的散户请不要试着理解，有害无利，谢谢合作。  我们探讨的核心是：项目方的币到底值不值钱？！为什么要在熊市来临前/VC解锁前尽可能的抛出币。 首先请试着理解如下话语： 真正成功的项目方，是把自己的筹码尽可能多的，合理的散发给不同的参与者（不同的生态层级）  OK，我们回到问题本身来： vc的解锁，本质上是长时间，不可逆转的抛压。 所以，你现在疯狂的otc，等于在vc解锁的时间内，消耗了更多的抛压。 回到21年10月的K线，你作为项目方老大，你会知道要跌到哪里吗？ 其实不知道。 但你知道的是一旦解锁，币一定会跌。跌了就要洗盘。洗盘就要时间。  现在假设你有两种选项：1，就解锁36%给VC 2，我现在在这个10月横盘的位置，出去OTC卖10%，盘面砸10%，加上解锁36%，一共砸56%  价格会在什么位置跌停？这个问题我们会放在过几天的RAVE流动性分析里进行讲解。 总之，你在池子里砸出去的筹码越多，他一定跌的更深一点。 关键是从时间角度来说：你一次洗盘，洗了更多的筹码。  只要你散播筹码出去，想再次拉升，就一定要洗盘。1你发了36%，你可能接回来20%，2你发了56%，你可能接回来30% 有一些剩下的筹码永远也不会回来了，变成了沉默筹码/沉寂筹码/死筹码。 这也是为什么22年XRP熊市的底部比20年牛市起点上涨了20% 这段话里还有一个知识点：如果你有丰富的项目经验或者MM经验，你最后会发现，12两个选项，最终跌幅的相对偏差不大，可能也就多跌10%。 原因我们不做赘述，分析起来很麻烦，也不符合我们的题目。  现在，恭喜你，用你在暴跌前/VC解锁前OTC的钱和砸盘的钱，熬过了这个熊市。牛市来了。 让我们继续这个问题的衍生！ 你要拉盘了！ 正常情况下，第二个牛市的高点，会低于第一个牛市。原因简单，不做赘述。 我们假设此时的拉盘分为两种情况： A：拉盘不超过原高度（大多数山寨币的两个牛市的情况） 那对比方案1和2，2中你砸的更多，跌的更多，你拉起盘来越轻松。 因为散户关注的其实是相对涨幅。你从0.001拉10倍和你从0.1拉十倍，在散户眼里是一样的，但是你花的钱可是天上地下。 此时假设你不超过原高度原来的价格，那你反过来看，你之前多OTC20%，是不是就是高点？？？？？？？？？？？？？？？？？？？？所以你当时是不是应该疯狂OTC？？？？？？？?？？？？？选择方案2？  B：盘超过原来的高度（参照XRP，一轮牛市高于一轮） 那对比方案1和2，2中你砸的更多，跌的更多，你拉起盘来越轻松。 因为散户关注的其实是相对涨幅。你从0.001拉10倍和你从0.1拉十倍，在散户眼里是一样的，但是你花的钱可是天上地下。 没错，这句话又出现了一遍。 相比方案1，你要配资更多，你拉到前高时候，假设熊市相比前高价格跌90%，你想拉回来，涨幅是900%。是绝对高位了，这个位置从做市角度，你是不可能一次性拉到这个位置的，必然吃中途抛压，而且前高位置你百分百要停下来，等这个位置的抛压化解后再拉盘。如果拉不过去，就是双顶。 总之这个位置出货没问题。 那么你是不是等于又回到了这个位置出货？那你在1和2方案里选2有什么问题吗？  所以最关键的几个点是： 1，洗筹时间固定。一旦出货就必须有洗筹，有时间成本。多出货有利于节约时间成本。 2，以后的价格不一定回来，除非你花更多的钱。 3，由2可知，现在应该多赚钱， 4，由2可知，拉不回来的话，现在比起未来就是高位，更要出。 5，散户吃的是相对涨幅。跌更深，相对涨幅越高。  问题完结。除非你能解决VC抛压，不然对项目方而言，在暴跌之前，应该使用一切手段出货。  让我们把话题回到那句话，请再次理解：真正成功的项目方，是把自己的筹码尽可能多的，合理的散发给不同的参与者（不同的生态层级）  你是否注意到我们忽略了一个问题：项目方的筹码，价值几何？ 其实答案我已经给了，就是上面那句话。 你的筹码在面对不可回避的暴跌时，一文不值。那时候U才值钱。 只有你正确的把筹码散发给了不同的参与者，市场才会出现你的代币的公允价格。你手里剩下来的代币，才真正值钱。 他还有一种说法，叫货币的本质是一般等价物。我刚刚其实演示给你看的是，从实操上，山寨币是如何从空气变成一般等价物的。  很神奇吧，金融。
1974771550927913430,Sun Oct 05 09:40:01 +0000 2025,474,120,99,139111,9.3,否,"项目方必看：《如何识别主动做市商/操盘手/MM》 这次去了一趟kbw，遇见了不少项目方老板和交易所的朋友，所有人都告诉我一件事：5个项目方能遇见十个说自己是做市商的人！！ 我和加密韦陀在SUI生态大会的时候，直接遇见一个年轻人吹他给币安ALPHA三分之一的项目做市。连我的学生都遇见一个说自己是做市商的，随便问了两句就发现根本不会。 所有的老伙计都叫我回来赶快写个文章，我自己在韩国脸上都挂不住了，都不好意思说自己的职业了。 我是真没有想到，有一天，主动做市商这个职业还能被批量冒充！ 今天就写点干货，给项目方说说，到底如何识别主动做市商。  一，首先，做市商分三种，主动做市商，被动做市商，链上做市商。这三者有天壤之别。关于主动做市商的职责，请阅读下方文章。这是全网唯一一篇介绍主动做市商职责的文章。  二，今年有太多骗子的核心原因，其实是两个点，1是项目方对MM一窍不通，处于一个完全被随便忽悠的状态。2是市场上开始出现各种做市商的神话，比如MYX等。导致部分项目方产生焦虑，开始加大对做市商的依靠。  三，那市场上的骗子做市商都是哪里来的呢？撇开枪十七这种老骗子不谈，这一轮的假做市商多为年轻AGENCY转型。他们的历程一般是：先从事给KOL们的广告分发，从项目方做营销撒给KOL的钱里赚差价。再之后从事交易所资源对接，用N手资源帮项目方上各种交易所，骗上币费或者抽中介费。最后直接一步到位，忽悠项目方说自己是MM，赚取项目方TGE的流动性。他们的本质是利用信息差的二道贩子。  四，综上所述，我们可以得知项目方由于自己的焦虑，以及营销/上所资源层面的匮乏，容易被二道贩子钻空子。我们下面将会讲述一些识别真假做市商的要点：  1，币圈的主动做市商，最早只有TokenMania、FBG 为主的极少数几家公司，以及极少数从传统金融转型过来的人。那几家出来的人也支撑了币圈做市商的半壁江山。如果你遇见了自称主观做市商的人，可以直接调查主操盘手出身于哪家公司。  2，这个世界上的所有主动做市商/操盘手（以下简称为MM），都只有三种诞生路径： 第一是师父教徒弟，也就是师徒制。这一门技艺至少在中国都是师徒制的，我拜师的时候，是恭恭敬敬给师父磕头敬茶的。  第二是公司制，一般是公司接到项目后，由师徒制诞生的主操盘手，带几个辅操盘手一起做市。久而久之聪明的辅操盘手也会了部分市值技能，出来单干。公司制里面是会穿插师徒制的，主操盘手一般会选几个能干的辅操正式收徒。  第三种是野生的，这种一般是交易员或者某些小庄家，在不断操作项目之后，积累了大量的经验，开始悟出做市的诀窍。  3，决定MM水平高低的其实是做项目的数量，以及项目的流动性大小。你可以简单的理解成，做过的项目越大越多，这个MM也越厉害。所以2里面正常情况下，师徒制的水平高于公司制又高于野生的。  3.5，2和3里其实有个特殊情况，顶级的量化机构里面，是会诞生高水平的主动做市商的，但是概率很低很低，这和量化机构的业务逻辑有关。  4， 又由3可以得知，不要相信年轻MM。老骥伏枥，志在千里！交易员并不是越老越厉害，但MM一定是越老越厉害！所以不妨问问你的MM，到底经过了几轮牛熊，做过了哪些项目。  5，当你问MM他们做了哪些项目的时候，一些人会回答：“由于保密协议的事情我们不方便说”。或者直接大吹牛逼“币安ALPHA三分之一的项目是我们做的”。 其实一般只要不是割太狠了小项目，大家都愿意说。我自己从零开始做MM公司，第一件事就是接大项目，我们管这个叫“集章”。每一个做过的项目，每一条K线，都是MM的荣誉勋章。所以，直接问他做过什么项目是最好的，然后去问项目方老板做交叉验证。  6，那么一些匿名项目或者链上要怎么办呢？答案是查他丫的做市工具。牛逼的MM，所有的工具都是自己研发的，而且一定有一些偏门的工具。我用外面的，人家做工具的留后门怎么办！久经沙场的MM必定会用赚到的钱去强化自己的各种做市工具，因为他们能从做市的细节中获得新诉求。 所以，项目方还可以问问MM公司的技术团队有哪些人。直接和技术人员、产品经理聊一聊。保证一聊就干碎一群骗子。  7，项目方还可以要求详细合同，包括费用解构、做市策略、退出条款等。真做市商视合同为底线。你可以直接调查签合同的公司。  8，真MM靠绩效吃饭，而非一次性收费或者月费。  9，项目方可以询问做市策略。如果你遇见的MM给你的策略永远是砸盘后拉盘，这只能暴露他的无知。真做市商是“资金总管”，管筹码分布而非单纯高抛低吸。做市商的全分类和职能，请务必参考我的那篇文章！！  10，进一步的，你可以问问市场热点项目的操盘方法，或者合约的相关知识。但考虑到绝大多数项目方自己也不懂，或者出去问一圈得到的解答也是鬼扯，我们不建议用这种方法。没错，有N个人来问我某热点项目的做法，我同时得知了他们问骗子们这个问题时，骗子的回复，所以才给出这个建议。  11，你还可以考察MM的交易水平。我们制定做市计划的时候会充分考虑大盘的情况。如果大盘要大跌，我不可能疯狂拉盘。一个MM可以不是顶级交易员，但是他大盘至少要看的准，是个普通交易员。所以很多骗子MM，你查查他交易BTC的水平就完事了。但请注意，一般MM不可能有时间去做交易喊单社区之类的玩意。  12, MM的最终形态，是庄家。庄家不止有MM，他是一个完善、复杂、精妙的体系。庄家会洞察市场上所有可能的热点，精通各种渠道，深度了解流动性的各种运用手段。庄是一种类似三体人思维一样的共通思维，庄家能洞察到另一个庄家的行为。所以如果你的MM本身就是庄家集团出来的，那么他的战斗力一定更高。  从这个角度出发，项目方不妨问问那些自称MM的人，有没有自己孵化过项目。他全方位比你厉害，他的生态位比你高，他真的是庄，你才值得把项目托付给他。如果他就是个普通MM，那你就多问他专业技能和考察这人是否靠谱。如果这个人自己一个项目没孵化过没做过，我建议你谨慎。  13，假做市商常借币不还、配合项目方“抢跑”砸盘，或用伪造数据假装自己在做市。  14，项目方可以问问MM，你的项目达到某个目标，至少需要多少做市资金。然后多去问问几家。相信我，能精准估算做市资金，是操盘手非常重要的一个能力。而且，问这个问题，是对项目方是否决定要MM配资时有利的。这是一个结合了商业和技术本身，百试百灵的问题。  15，如果项目方你实在不会，行业里靠谱的其实就那么几个！但是大MM，会挑项目。你项目不好或者穷或者控盘不好，他们没有那么多精力在你项目身上的。所以还是建议项目方精心挑选自己深度合作的MM，这是项目成败最关键的几个节点之一。能找到一个伴随你的MM，他能在任何情况下给你解开市场这道题。你几乎就摸到了成功。  16，由11点和15出发，我还是建议项目方懂一些基础的二级知识和做市知识的。但这些知识过于晦涩难懂，我建议是回归投资逻辑，把事情简化一下：项目方找MM就是找核心合伙人。所以你可以考察他的为人和专业技术。  17，请不要以为MM一定天天穿个西装像个精英一样。也不要觉得他们话多或者活泼就不是MM。我师兄天天穿着人字拖，我做市的师父是个活泼的酒蒙子老头，我还认识好几个沉迷APEX/DOTA，网上疯狂聊个不停，线下三棍子打不出一句话的死宅。 但是大家是有共性的，所有的MM都是精益求精的匠人。他们喜欢思考和挑战，能从战胜市场中获得满足。他们对项目方生气的点一定是：项目方不尊重做市这门技术。  18，MM具有的另一个共性是极强的逻辑思维能力，他们能直接戳破事情的本质，化繁为简，取重避轻。  19，MM一般根本没有上币渠道。由17可知，他们一般是公司的“后台”，负责最终落地执行。这样的人怎么可能去对接一堆交易所的上币渠道？？？ 一般主动做市和渠道都有的，几乎就是坐庄集团。项目方和坐庄集团聊的时候非常简单，你会发现对面深如大海，投资孵化实操的项目都非常多，他们不用炫耀自己的战绩，都非常谦虚。  20，插一句题外话，很多说自己能帮你上韩所，能上币安的“MM”或者AGENCY机构，他们都是N道贩子。一个交易所，怎么会有那么多对外的渠道，他们的LISTING是不干活儿还是天天想吃回扣不怕死啊？  这个市场上真正靠谱的人很少。尊贵的项目方朋友，请多想想事情的底层运作逻辑！怎么会有一个年轻的，天天在外跑会的MM还能掌控大量上所渠道还做过一大堆项目？他的一天难道是48个小时？  21，目前市场上大量充斥着骗项目方TGE的自称“MM”的人，我已经至少知道2个死鬼和我聊完天后，出去骗项目方说自己是“MM”的。这些话说出来写出来就不怕你们出去玩这套。做市是个技术活！想吃这碗饭没有捷径可走，只有不断的做市做项目。  21，请项目方，在TGE之前至少1个月就选好自己的主动做市商，有一些东西是需要事前准备的。ALPHA上面至少有60%的项目是没有正经主动做市商的。  22，最终切记！请项目方，千万不要出去问了一圈打听了一圈之后，觉得“我上我也行”。有些大聪明项目方打着做市合作的幌子，去找MM套做市知识，甚至是套做市策略，觉得自己上自己也OK。还有人觉得TGE很赚钱不就是出货嘛所以自己上也没啥问题。  我的好朋友交易员LY说过一句话，我深表赞同。在二级市场相关的领域里，  “只有事教人，没有人教人！”  你找做市商，找的是一个合作伙伴，找的是一个保驾护航的人，他能在本就风云变幻的市场里，让你充分的面对“变数”！  主动做市商/操盘手的艺术，就是在变幻的市场大海里，制定航道和目标，帮助项目方的船面对名为“变数”的天气，操控流动性的洋流，抵达成功的彼岸。  点赞评论转发此文章，抽一个幸运宝贝儿，从“我请客吃饭”，“一个财富密码”，“一个问题”里面三选一。"
1825541124775403638,Mon Aug 19 14:31:35 +0000 2024,100,10,42,34872,9.3,否,我的这个号，达到万粉，几乎全都是用“面向有一定币圈知识”的人群，用硬干货堆出来的。我本来可以在铭文的时候轻松万粉，我是真正的铭文战神，但当时我忙着带各路老板搞铭文，天天昏天黑地。加上我师父和我干妈当时在推特上高强度分享，我也就没发什么。 我这个人，在币圈这么久，几乎实名上网，也几乎没什么恶名，没人说我割过韭菜或者做过坏事。 我一直感激当年，在我是菜逼的时候，照顾我的那些大佬。所以我也很乐于照顾新人。 但最近的确觉得，1是新人不好带了。新人这块，该出人头地的人，他一定出人头地。该当韭菜挨刀的，几乎也不可逆转。2是太多傻b.的kol把币圈弄得乌烟瘴气了。 我过去说过，我不会去怼那些喊单的kol，做付费群的kol，还有什么带单老师。币圈有个七万粉的kol，一堆社区。是我大学同学。我几乎不联系。大家不是一个生态的人。 我认认真真帮项目方帮vc解决事情。他们认认真真帮币圈拉新人进圈。大家都在认认真真把币圈做大。 凉兮虽然完蛋了，但是圈外很多人都知道他的暴富神话。那些什么喊单老师，带单kol，都是这个生态必不可少的一环。 但前两天那档子破事，什么男女对立都开始挑起来了。微博那套拿来币圈用，还一堆人去围观。 艹，这事儿发生在17年，所有人只会骂他一句傻B。大家都急着赚钱搞钱呢，谁有空管你。 当kol就老老实实当kol，别当出优越感。居然还有人敢吹自己一个月当kol，一条商单好几万。已经目中无人了，觉得自己是个人物了。 今年真是币圈群魔乱舞的一年。 先是出了跳梁小丑枪十七个人人喊打的丢人玩意。又出了一堆赚点小钱沾沾自喜的kol。  我只有一个敌人。 谁给我把币圈发展的路走窄了，谁就是我的敌人。  最后，我看见了小耳朵那篇文章。 我只想和散户朋友们说: 币圈在当今世界，是唯一一个饱含希望的地方。  你们抱怨，抱怨vc币，抱怨不拉盘，甚至抱怨说币圈老前辈把钱赚了不干事儿。 是，今年是没有大家想的那么好。但绝对不差。你赚不到钱，会不会是你自己的问题？你在泥沼中挣扎，会不会我们曾经也挣扎过？ 18年的冬天，可难受极了。我们这些币圈老不死的都没放弃行业。币圈的熊市，不仅能洗筹，还能把行业的投机者洗出去。 我的前辈们，在没人瞧得起币圈的时候，用自己的认知化剑，无比狂热的信仰btc，觉得这就是未来，天天去布道。难道他们配不上暴富的筹赏？  当kol的，多抬头望望大佬，低调赚你分内的钱，努力在圈子里向上走。 当散户的，当多思考多尝试，别整天把推特当微博用。你是来赚钱的，时间是最珍贵的筹码。  谁把币圈弄得乌烟瘴气。我就要出来一棍子敲他头上。
2014993622031344095,Sat Jan 24 09:28:10 +0000 2026,93,9,11,10571,8.7,否,玩了@coolish 和 @CryptoPainter  推荐的Insider trading《内幕交易》 我在最后一周天天拉1.5倍起步，过关要求3200美金，我打了个33715美金。 这游戏还是很有意思的，把K线涨跌和特殊事件，结合了ROUGELIKE，分成涨和跌两种牌，以及不同的牌种类。需要合理安排牌序，来完成目标。 我到觉得这个游戏不是庄家模拟器，因为庄家实际操盘过程中的一些麻烦，并没有完全提现出来。他真的很像名字：内幕交易。 你知道一些内幕，但是不多，你比韭菜强一点，但也只能猜测庄家的衣角。 我严正声明：我们做市的比这个难多啦哈哈哈。 这个游戏最有意思的一点，其实是把市场涨跌和随机事件给安排到牌里。你的牌里如果花了太多的拉盘牌，之后出现下跌牌的概率就会变大。这其实就是拉盘之后，抛压变大。 如果你把上涨和下跌牌，连续排列，就会触发连击！上涨和下跌的幅度就会更大，这其实是暗示了趋势出现时，连续的单边趋势会放大人们的情绪！造成更大的波动。 牌库里还有各种黑天鹅牌，以及宏观市场的随机事件。  我作为一个半吊子的桌游设计师，一直想有空的时候设计一款自己的，和交易有关的游戏，我很清楚其中的设计难度。不论怎么说，这都是我目前玩到的非常好的交易游戏了。 我向大家再推荐一款桌游——《并购ACQUIRE》。同样是金融模仿领域游戏的巅峰作品。
1866160159363637561,Mon Dec 09 16:37:08 +0000 2024,58,6,7,15415,8.7,否,其实前几天和某VC聊天的时候，我说该跌了，原因是时间维度到了。 越是老道的交易员，越会注意时间维度，而不仅仅是代表价格涨跌的空间维度。 说个粗俗一点的，大盘上涨就好像男人勃起，他充血勃起时间是有限制的，哪怕你给他再多的利好刺激，吃再多的伟哥，该软的时候还是得软，该跌的时候还是得跌。  核心原因是，信息的传导是有时间间隔的，玩家入场的次序是固定的，是有极限的，所以回调一定会随着时间维度发生。  比如庄家集体拉盘，场内的核心玩家2天后跟上，又一到两周，拉到某个高度横盘后，山寨开始大涨，场内的普通玩家再进入购买。一个月过去了，场内的普通玩家赚钱了，开始有破圈效应，场外的聪明玩家进入。 一个月后再次拉涨后，场外的聪明玩家和场内的普通玩家都赚钱了，再次有破圈效应，场外大量的玩家再次涌入。 你可以把每一波上涨，从底部到顶部拉一个“斐波那契回撤”。斐波那契回撤可以有效的看出，聪明人的筹码，普通玩家的筹码，傻子的筹码都在什么地方。  再等两天吧，看月中回调。其实仔细观察就会发现，山寨已经不太行了，BTC真的是在硬撑。  PS：还有一种极其小概率的可能性，我也说一下： 这里有大量的场外资金OTC买BTC，也有不少场内获利盘离场。这里极低概率是类似20年12月末那样的高位换手区间，然后开启一个BTC长牛剧情，就是每年10%涨幅，连续涨个十年那种。概率极低，不是没有。
2046236391185756452,Mon Apr 20 14:35:47 +0000 2026,54,0,34,45652,8.2,否,有奖提问： 假设你是某项目的老板。 你现在身处2021年10月，币价如图。 下面，假设你会在11月15日迎来VC解锁，解锁分18个月，一共解锁36%，每个月2%。 此时你控盘90%，流通10%。已知你无资金拉盘。 你的90%代币，除了36%在11月15日给VC开始解锁2%，别的全都可以随便你花，无锁仓。 现在你自己看着K线，然后面对此情况，你应该做出什么正确的选择。 注意考虑实际情况。你要是上来说一句：我砸完90%，那你要考虑被VC砍死的风险。 本题为项目方实际运作考题。如果你打算做项目，或者你是项目方，请思考并回答此题。 如果你是散户，你看着办，我不多说。  回答的最好的人可以我请他吃饭，必定兑现。 熊市里面，是时候逼你自己思考了。
2062899169438880092,Fri Jun 05 14:07:43 +0000 2026,52,9,30,15695,8.2,否,"《关于ZEC的一点专业性调查和思考》 1，ZEC并没有使用高控盘后的合约拉盘手法。而是靠营销带来的项目叙事层面的共识，导致币价的上涨。其合约在正常范围内。 2，ZEC的筹码集中度低，也不适合采用合约控盘。 3，ZEC在亚洲区范围内没有找过主动做市商合作。不存在你们口中恶意割韭菜的“庄” 4，回到项目本身，项目在高位有不正常出货行为。我们无法确定是否是项目方。  因为他的BUG是极其少见的项目代币增发，在我漫长的从业生涯里，这也是第4次看见。这直接导致了我们无法正确识别是否是项目方砸盘。  5，对于ZEC这样基本面不错的大项目方，保持项目稳定长久的活着，能赚到的钱是远大于他直接二级交易砸盘赚到的钱的。 所以从盈亏比上，项目方除非出现极其特殊的情况，不然不是不可能在这个时候自己砸盘的。  6，要砸早在流动性好的时候砸了。如果项目方缺钱，ZEC这么大体量，在西方基本面这么好的项目，完全融得到让自己撑到下一个牛市的活命钱。下个牛市再砸不好吗？  基于我做项目多年的实操经验和主观做市商角度的做市经验来看：  ZEC项目方发现了这个漏洞，并且批量这个漏洞，开始主动修复此BUG。这一块请参考链上捉虫专家慢雾的@evilcos  的文章和看法。 这里存在两个实际可能的情况：  1，项目方中的某个人，一般是技术人员，利用了这个BUG，乘着修复之前，早就偷偷摸摸动手增发了。是项目方内部的蛀虫砸了盘。  2，项目方的BUG早就被外人发现，他一直偷偷摸摸在出货。可以参考我引用的，在24年5月的这篇MM回忆录里的事情。这个人意识到此BUG即将被修复，选择抢先动手。  值得注意的点是，ZEC的BUG发酵的时间！ 先是ZEC修复BUG披露，然后是ZEC盘面出现放量砸盘。正常情况下我们可以识别是否是项目方出货，但基于他的BUG特殊，我们无法识别。只能说是这个蛀虫动的手。 然后不正常的盘面，引起了交易员猎手的注意。@anorth_chen  @AchenYcL 为代表的交易员进行了做空。 随后盘面进一步下跌，引起大户注意，大家意识到是BUG后，开始恐慌抛售。  注意，在397价格时，有疑似项目方的大户进场护盘，试图用合约开多进行价格企稳，但他还是低估了连锁的抛压。最后不得不开空对冲，加速了下跌。感谢团队的订单专家@catlina2B 的实时侦查。  我们有理由揣测，ZEC修复BUG的行为，诱发了蛀虫的砸盘，砸盘加速了信息发酵，加剧了下跌。在关键位置项目方或者大户试图护盘，但失败了。 在无法识别筹码来源的情况下，只能从行为来分析可能性。再进一步的细节分析，可能需要交易所内部的朋友提供数据支持了，我也无能为力。  具体结果请等待项目方官方的后续披露和交易所的调查报告。 从目前我们可以看出的蛛丝马迹来分析，ZEC项目方本身作恶的概率不大。 而且修复BUG的披露情况非常专业，值得各大项目方学习。  最后写个有意思的事情。某群里流传着一个名叫勋勋的人的聊天记录，说什么委员长做空ZEC赚了180W美金。图我发在评论区哈。  这个手法是常见的，骗散户的手法。 因为@AchenYcL 真的实盘空在了山顶上，还提前埋伏，在群里喊了很多人上车。 他的空单在下跌过程中被交易所减仓了。ADL。 一对比就可以知道，勋勋的图，太假了。下次P走心一点。收益都算不对。没空成功过大代币吧。 所以请所有散户牢记，币圈的各种合约收益，实拍照片，都是可能作假的。你想判断一个人到底有没有本事，请尽量看他的开单点位图。极少有交易员秀出开单点位图和持仓的双重证明。 然后你再去看他推特上的言行是否始终如一，多看他推特多思考一些。 真正靠谱的交易员就那么一小撮，别的嘛，KOL,KOL~  祝大家都赚钱。"
1883735889001775334,Mon Jan 27 04:36:48 +0000 2025,50,5,12,15103,8.0,否,来了80多个简历和简介，我应该都一一回复了。如果没回的请私聊我一下。 劝回去30多个朋友，都很诚恳的和你们聊了。  看大家的币圈经历，真的是很有意思的事情，你会发现，我们当年犯得那些经典错误，现在市场里的人也在犯。 比如17倍浮盈加仓，多个全仓多单里有一个被打爆，引起连环清算。 比如没有想明白MEME的投资逻辑，导致过度重仓。 比如矿场主和长持党，账户疯狂做过山车，一波牛市没赚钱。 以后要是不忙了，我抽空把一些经典错误都给大家写写，并且分析给大家听。  立贴为证！免得鸽了。
2076950348821082246,Tue Jul 14 08:42:05 +0000 2026,45,3,15,7462,7.7,否,二级小知识:不同市场做顶的时间不同。 比如btc一般是一个月。 越成熟的市场做顶的时间越长，比如美股。 如果拿韩国韭菜当风向标，并且考虑信息的滞后性。 韩股这次的顶也是一个月。 还记得最经典的那篇韩国黄金年代的文章么？昨天出了好几个调侃这篇文章的文章，并且获得共鸣，在各个平台广泛传播。两者差距正好一个月。 可以对着k线图，去看k线上涨和这种信息滞后的时间差距。 多研究这种，不仅有助于你理解传播学。 也能助于你理解韭菜。 真正的大顶到来时，什么都会骗你，韭菜的情绪不会。 但韭菜的情绪是不可量化指标。这就要求你对“韭菜”本身有所深入理解。 扯远了，我之前在trump的时候写过一篇时间纬度的研究，大家可以自行翻阅。那瓶文章研究trump是为了研究世界范围内的信息传播速度，有助于你更好的拿住全球范围的突然共识资产。 多研究时间纬度，其实是决定交易员是否优秀的标准之一。 会买的是徒弟，会卖的是师父，会给你解套的是亲爹。 会看指标的是徒弟，会看空间的是普通人，会看时间维度的是老手。 很多交易者不知道研究什么，不妨多在时间纬度上画画线，鼓捣鼓捣，多点奇思妙想。 时间是最伟大的力量，它永远站在庄家一侧
2008029679752732923,Mon Jan 05 04:15:57 +0000 2026,23,1,6,6460,7.1,否,先是在一个月前就帮项目方动了手。 再是提前一周买了现货。 前几天在医院里半夜爬起来给项目方操作，顺便喊学生建仓。 前两天晚上直接开币安广场直播连上涨原理都说了。 随便买点啥都赚钱吧？ 我都快累死了，生孩子，管项目，做自己的账户，还要管学生。 这几天在家要休息的时候看书写教案了 一天天没底的事儿，累。 为什么别人家的A9都天天吃喝玩乐，就我一个好似农奴一样天天忙啊？？？？？？？？？？？
