Tweet ID,发布时间,点赞数,转发数,回复数,浏览量,含金量评分,是否长文研报,推文正文
1978455245308240172,Wed Oct 15 13:37:43 +0000 2025,165,27,26,34270,9.8,否,《关于市场是怎么逐步麻痹你的》 我懒，本文来自于我在群里的聊天记录，我就不整理了，贴在这里。年轻的交易员们可以看看。 1，小级别上，是怎么麻痹你的： 前几个月的时候，大家习惯性做空。开盘就做空山寨币更是屡试不爽。 以MYX为代表的币，爆掉了所有的空军赌狗，调动了大家开合约的热情，同时让大家不再无脑做空，甚至不敢轻易做空，而是思维转向多军。 同时，市场里大量高估值项目批量出现。收割市场流动性的同时，让KOL出去喊单，再次FOMO散户。 最后，资金流向MEME，产生了批量让散户焦虑的MEME币，散户完全倒向贪婪一侧。 很轻松的几个关键点，就改变了散户的习惯。  2，大级别上，是怎么麻痹你的： 已经很久没有一次跌20% 之前我们做的时候，都是把20%-25%当做一次标准下跌。23年后，变成最大是15%，一般是10%。最近一年5%的快速下跌，山寨都会大幅回调。 考虑到新人都是从23铭文那波之后来的，这帮新人甚至没有见过20%下跌  这里，是币圈。大波动是这个市场的特质。  长时间没有大幅下跌，市场非常非常松懈。 后进场的这些年轻做市商，无论被动还是主动。太年轻了。华尔街资金入场后，进来了太多顶着大厂光辉头衔，拿着高学历，拿着互联网厂的工作经验，来币圈想打江山，他们给市场提供了很多新的流动性，但是， 他们缺乏对市场最基本的敬畏。 从23年下半年至今，两年的时间，降低波动率用来麻痹一代人，从而带来了这次的大洗牌。  最后，我说点有意思的。 好多人说：啊啊啊币安拔网线，我们无法交易。 这事儿我们从18年，一直经历至今，这是这个市场的特色，我不想大段解释这个事情的原因。 我就说一句：为什么不想办法，去应对这种情况？这种情况并非无解。 我再退后一步问一句：为什么你没有考虑BTC的大波动？是经验不足，还是你全心在狗日的山寨币上？ 我再退十步，问一句： BTC最后的日线，各种指标究极背离，你哪怕是做长线，都应该止盈暂时离场。做短线的更应该开空，4H和1H线给足了做空机会。 你为什么没有做？  不要给你的失败找理由。多去分析自己的应对措施。多想想自己什么举动看似有道理，实际上是错的。多想想自己什么无意识的举动根本就是错的。  散户总是爱给自己的失败找理由。
1870156553917239535,Fri Dec 20 17:17:22 +0000 2024,417,102,39,161680,9.3,否,写的东西太多了，换一个置顶贴。 23-24年上半年的总结贴。（原来的置顶贴）https://t.co/4ewSvRfowI  近半年的干货文章： 给新人的干货 https://t.co/e5PwOpOnAh    关于MEME的超硬干货： https://t.co/vIGYbcjdcs  币圈顶级认知： https://t.co/04Ic0QcjOk  合格的交易员是啥样的： https://t.co/Y1kIv0HhCC  泰国会议的小记录： https://t.co/v0kyItSvO6  写在美国大选前夕的杂谈： https://t.co/OSmzJ5C6Hu  全网唯一讨论MEME本质的Z级MEME模因论： https://t.co/6mPJAVj4GG  无聊的二级记录： 挚爱XRP：https://t.co/wDrYOmWzkw  做市商和K线的简单关系：https://t.co/MJEfn7g7aR 爆杀市场的纪念：https://t.co/cldIA0q0xh 交易的太多了不写了。以后也少写。  SPACE就不放链接了。最后还是转发那篇文章：《一个臭炒币的K线回忆》
2040848090752794929,Sun Apr 05 17:44:36 +0000 2026,148,12,22,31913,8.8,否,来，我来系统性的回复一下比特肥怼的这个人的交易方法。带你们从交易系统的角度终结这个问题。（本文大概需要你15分钟阅读，不适合交易小白阅读。）  监控订单簿中的大额挂单，然后据此自己进行交易，本质上就是经典的订单簿分析（Order Book Trading / Level 2 / 深度交易），在我们币圈，尤其是BTC/USDT、ETH/USDT等永续合约或现货里非常常见。  很多专业交易者和量化团队都在用，包括这个叫水博乱乱的人分享的那个例子：他用图表（带蓝箭头标记的关键位置）来反驳大额挂单纯属噪音的说法，强调结合数据处理和经验后仍有参考价值。  我仔细看了那个X帖子和回复，我是知道相关交易策略（订单簿热图、足迹图、spoofing案例等）的实战情况的。  就我的交易经验和知识来看：订单簿分析是一种有实战价值的辅助工具，但绝不是稳定盈利的独立策略，更不是新手能轻松复制的“躺赢”方法。它只能作为辅助。 这玩意能给你额外的信息优势，但市场永远是信息不对称+博弈的，过度依赖注定吃亏。 没错，我是知道有人用这个玩意并且奉为圭臬，然后在2021年就输掉半条裤子的。 而且我认为我知道的那个人水平更高。  在币圈，订单簿分析作为辅助，大概有以下的优点： 1：实时观察供需关系，帮助判断翻转：  大额挂单（比如几百张BTC的买墙或卖墙）能直观反映大户/机构的意图。价格接近这些订单墙时，容易出现反弹或突破。比特肥引用的铁子里，那个人图片标记的蓝箭头标记的位置，就是典型案例——结合K线和热图，能提前预判短期翻转。  2：捕捉鲸鱼动向：  在BTC这种高流动性但仍受大单影响的市场，大额挂单有时就是鲸鱼大户信号。他的评论区也有人说了，单纯这样看是不准确的。我和使用这种方式的成熟交易员沟通过，他们会搭配多种辅助指标去一起观看，比如足迹图，成交量热图等等，这块我研究不深，不深入讲解。 以订单簿分析为中心，然后各种指标为辅助，就能验证挂单是否“真实”，是否真的有实际成交意愿，不是挂上去忽悠你的。  但请注意，这种方式只在很短的时间维度里有效，能帮你避开假突破。  3：便宜，便宜，便宜 这玩意其实成本低，工具也很成熟，菜鸟玩起来容易上手。我见过拿这个玩意组合一套我2里面说的策略，卖给培训过的散户，让散户人力盯盘，给散户虚假参与感，让散户觉得自己是“交易员”的，哈哈哈哈哈哈哈！  但一码归一码。现在交易所（Binance、Bybit等）API或TradingView、专用软件都能实时显示订单簿深度，几乎零成本。专业玩家还会做数据处理（如统计挂单模式、历史命中率），进一步提升参考性。 对了，和小资金散户比，大资金玩家用这个能更好地管理滑点和流动性。  缺点也显而易见：  4：最致命的风险来自Spoofing，假单诱导  大户或高频算法最爱挂巨额假单，挂上去又秒撤，制造假的支撑/阻力来诱导散户。  判断真假只能靠经验+事后足迹图（看是否有真实成交），但实时操作时你永远慢半拍。100条大单里可能只有1-2条有价值，其余全是噪音——这点比特肥说的完全没错。  顺便一提，我知道有高手，是可以狙击这些玩订单簿的人的。不要小瞧了天下英雄啊！  5：信息不够完整  真正的高手，很多大单是冰山单或OTC场外交易，订单簿上看不到真实意图。我非常确定的和大家说，是有大户是愚蠢的。 一个人有多少钱在币圈，和他会不会交易，是完全两码事。他可以在别的地方，他的专业领域，比如房地产里赚钱，但是他只要来币圈，那不好意思这里是我们的地盘。 我见过很多这样的人，他们往往后知后觉，在交易时往往挂这种巨大真单在订单簿上，手法极其粗糙愚蠢。  相比聪明的你们，也知道订单簿分析流派为什么有时候能成功了吧？没错，他们绝大多数时候，捕捉到的是这样的大户的信号。  6：不太建议散户和新手使用 交易所本身有延迟，散户的监控速度远不如机构的高频系统。  所以我在3里面说了，玩这玩意的交易员，有时候会把自己的系统和策略包装好，让很多人去订和判断。  这东西需要较为快的反应、低延迟环境、专业工具。手动看单容易情绪化，导致反向操作。很多散户就是看大单“觉得要涨”冲进去，结果被反向收割。  7：交易系统有结构性缺陷 价格一旦被操纵比如闪崩或拉盘，挂单瞬间失效，你自己追单反而被套。 这个不能算作缺点吧，毕竟大多数交易系统都有这样的问题。他这个还算是止损比较好止损的，只是一旦被狙击或者遇见极端情况，容易被套。 这是大多数交易系统的通病，我随口提一嘴，塞在这里。  我的总结建议是： 这种方式值得学，但别当成主策略。它最适合有经验的短线/日内交易者，作为价格行为+成交量的补充。像帖子里那样，用蓝箭头标记关键位置、结合足迹图验证，是正确用法。  crypto市场本来就充满噪音和操纵，真正赚钱的永远是纪律+风险管理+持续迭代，而不是盯着订单簿“等信号”。  至于比特肥发的这个图里面的那些挂大单，我不做评论，我只讨论订单簿分析这个技术。  就事论事而言。比特肥在帖子里展现的交易水平是远强于水博乱乱的。 水博乱乱的这个东西………………我在总结建议里已经说的很委婉了。  妈的半夜写这种技术帖子太费劲了，没什么人看，写的还贼累，害我还翻了我以前的笔记本。 祝各位现在还在场子里的人，交易顺利。
1844835703630491842,Fri Oct 11 20:21:21 +0000 2024,76,24,19,16544,8.5,否,这是年末系统性更新《Z级币圈理论》的第一篇，本来是写一个自我介绍，或者写做市商的，但这个特殊的节点，我决定还是从交易聊起 本文将会包含： 1，从九月中至今日的实盘交易复盘，以及变数应对 2，浅谈交易者成就大小的决定性因素 3，BTC山寨币现阶段的真实情况和未来展望 4，交易者之“死” 1和2发在上篇，3和4发在下篇 转发和评论本文章的朋友，将会抽取三位幸运用户。第一名将会获得我请客吃饭的机会，第二名得到一次电话咨询或者帮忙看K线的机会，第三名获得DND的幸运骰子一套。 本文共计5080字，阅读时间约15分钟
1985981442820862415,Wed Nov 05 08:04:08 +0000 2025,61,12,7,14865,8.2,否,我两晚没好好睡觉，不想花时间了，只好把我刚刚接着PAULWEI的推文，写在群里的聊天记录喂AI，反正是总结了我自己和PAULWEI关于金字塔的使用感悟，你们凑合着看：  金字塔挂单：交易中的“被动做市”智慧 在交易世界中，许多人将金字塔挂单（Pyramid Order）误解为马丁格尔或网格策略，但其实它更像是一个精炼版的被动做市商逻辑。 作为散户，使用金字塔挂单，能让你在某种程度上“借力”做市商的生态位，实现更稳健的仓位管理。 下面，我们来科普一下这个策略的核心原理，以及它如何帮助交易者优化赔率、降低风险，甚至在判断失误时仍能盈利。  什么是金字塔挂单？ 金字塔挂单是一种渐进式建仓方法：越低的价格，挂单量越大，形成一个“金字塔”形状。如果全部成交，平均成本价就是这个金字塔的“重心”。 这不同于简单买入，而是借鉴被动做市商（Market Maker）的思路——他们在某个价位以下买入、以上卖出，追求“错付赔率”（即价格越偏离基准，越划算）。 与做市商和庄家的相似性：被动做市商是市场生态的顶级玩家，他们不预测方向，只提供流动性。 有些做市商会“只卖不买”，这在某些事件（如1011爆仓）中暴露风险。 作为交易者，使用金字塔时，你就像小型做市商：在低价区挂买单，捕捉下跌的“针尖”机会，然后在反弹高点卖出，实现完美闭环。 核心逻辑：无论散户、做市商还是庄家，金字塔都围绕“错付赔率”展开。 下跌时，越低越是买入机会；反弹时，越高越是卖出良机。重心压在下跌低点与反弹高点之间，确保模糊判断下也能盈利。  如何在错误判断中逆转盈利？ 顶尖交易者用金字塔实现“看错也能赚”： 想象你看好一只股票，设置金字塔买入：高价小量、低价大量。 如果股价下跌，全部成交，你的均价在重心位置。 后来，新信息显示公司有问题，你在均价上方卖出——即使最初看好错了，你仍盈利。 这全靠仓位管理：没一上来全仓，而是渐进建仓，优化了下行风险（Downside）和上行潜力（Upside）。 更极端：卖出后，股价大涨，你“错了两次”（主观否定自己 + 客观走势反转），但仍赚了！ 这在波动大的股票中特别实用，适用于短线或长线。  心理优势：避开“恐惧考验” 金字塔不只优化赔率，还提升心态。 全仓买入后，价格跌破成本，你易焦虑（像德扑中的“Tilt”或王者荣耀逆风崩盘）。 但金字塔让低价成交变成“惊喜”：你挂在“不可能”的低位，却买到便宜货，瞬间建立心理优势。 巴菲特说“他人恐惧我贪婪”，但实现这点不是靠超强定力，而是用仓位管理避免恐惧——不让自己全仓亏损、无弹可补。  金字塔挂单让散户模拟做市商逻辑，捕捉错付赔率，在不确定市场中脱颖而出。记住，它不是赌博，而是科学仓位管理。  OK，GROK总结完了。大家凑合着看吧。需要详细的操作我之后再讲。 这个叫赵总，就是个卖课的，天上地下，订单流第一。 井底之蛙不知世界之大！
1980458907538760127,Tue Oct 21 02:19:33 +0000 2025,128,6,36,53076,8.1,否,这种属于必定亏损的群。 原因非常简单。当群员数目多到一定程度的时候，很多低流动性的山寨币根本无法承载整个群的资金，就会变成群员互相割。链上的垃圾流动性更是如此。 除非他每年就抓那几次MEME流动性最好的时候，还能抓到最火的那几个，不然必定群员互相割。 有这本事你还要开群？？？？？ 所以这种群发展到最后，很多情况就是群主割群员。 极少有带单群真的赚钱就是这个原因。
1907007208313040954,Tue Apr 01 09:48:43 +0000 2025,73,18,57,15470,8.0,否,第四届“鹿鱼”社区闭幕。 线下来了整整70人给我教室坐满了是真没想到，明年真要搞个度假山庄了。 今年是最成功的一年。所有的交易课放到了线上，线下高强度答疑和拉认知。通过和学生们的交流，也知道了现在币圈用户的一些困境，过几天有空写文章吧，没空就鸽了。 线下见到了dex群的老群友，见到了眼里有光的币圈运营，见到了独自打狗a8的金狗猎手，见到了形形色色的人。他们让我觉得，持续输出干货，是有意义的。慢就是快。 我没有什么想说的，感谢各位的信任，两天半的高强度答疑我差点没抗住，好在还是坚持了下来。 祝你们在币圈的流动性大河里，都能赚到属于自己的钱。 毕竟几人真得鹿，不知终日梦为鱼！ 我们明年见！
2045512144758989025,Sat Apr 18 14:37:53 +0000 2026,36,1,9,15716,7.8,否,分享一件开心的事情。我的朋友应该是这次币安人生第一大获利者。 他刚刚向我公布了他的胜利，以及盈利金额。在这个流动性不好的市场里，这个金额已经非常夸张了。 他觉得我之前在下跌的时候，给了一些有用的建议，帮助他拿住了币安人生。  非常惭愧。我只是普通分享了一下自己的看法。他能埋伏两个月，一直等到币安人生的大涨，更多的是他的坚毅。如果币安人生再跌一些，可能就是另一个故事了。 我非常认真的告诉了他币安人生下面的走势看法，以及给了他几点实用建议。 我相信他肯定会采纳。 最后我向他要10U的币安人生，沾沾他的运气。因为我前一阵子，一直有点霉运。 他给我打了188.88888888个币安人生。 有心了，谢谢你。  这是我这个月最开心的事情！我激动的把他分享给了我的几个大佬朋友，也分享到了群里。 这个事情给我的启示只有两点：1，以后散户问我问题，要么就不回答，要回答就要尽量叮嘱清楚。要对提问的人负责。 2，多分享。当他人因为你的分享，获得成功时，真的比自己赚钱还要开心。  恭喜你，我的朋友！你才是今天最大的赢家。
2066152227928932623,Sun Jun 14 13:34:13 +0000 2026,40,2,37,20870,7.7,否,我有一阵子没有听散户聊天了。今天机缘巧合，在和妈妈吃烧烤的时候，背后坐着3个年轻人。 应该两个是杭州阿里的，另一个是在上海上班，同学聚会。 这三人都是韭菜。先发表了一通对美股的看法，然后其中一位说自己在港股梭哈输掉了40W人民币。 有一位说：BTC现在6W点了，应该买点BTC。 另一位黄衣服的年轻人，开始大说特说：web3都是骗子，不要买。某行业领袖发了一个币叫XXX，然后他喊单拉盘，过了一会儿又说要慢慢建设，币价大涨后大跌。1011的时候交易所带头割韭菜。 WEB3都是骗子，他以前的老板也想发币，找个宏大叙事，配合交易所和做市商割韭菜。  我在背后，听着韭菜的话，不是个滋味。 一个圈外的，正经互联网公司的年轻人，是这么评价我们行业的。 可见各位“KOL”，都TMD做了什么好事儿！
1860749582764007869,Sun Nov 24 18:17:26 +0000 2024,84,14,14,29630,7.5,否,不是这个逻辑。首先WINTERMUTE是流动性提供类型的做市商。 就算是主动做市商，一般也不会刻意的去考虑散户是怎么想的，而是坚决执行自己的做市计划。 很多经典逼筹形态，其实已经蕴含了让散户觉得：“狗庄在针对我”的力量。所以绝大多数情况下，是主动做市商推进自己的策略时，这些经典策略生效，让散户追高或者割肉。 也可以说，只要能让散户追高或者割肉，达成最终做市目标的策略，就是有效策略。这些有效策略里，最有效最常见的，就变成了经典策略。 这些经典策略，在大流动性的市场里，从交易员的角度来看，就形成了各种经典形态。 K线是市场综合博弈结果的体现。
