类型,ID/标题,发布日期,字数/点赞,浏览量/文章ID,详细内容摘要
万字研报,熊市中项目方自救指南——如何利用永续合约机制创造流动性,Sun May 03,7785 字,2050582990816960512,本文旨在告诉所有项目方，不是只有高控（控筹96%+）拉盘才能吸引和带来流动性，认真的builder只要能利用好机制的惯性，闯出自己的加密熊市之路。交易不是为了刷分？为了那点空投？而是因为有利可图才做的。有人用筹码结构（控筹码）、有人碰瓷叙事、有人找VC站台、有人找MM，而本文告诉你： 用机制 加密圈...
万字研报,机制的重力与对等武装：归还做空权，才是山寨牛市的起点（精简版）,Thu Apr 23,3067 字,2043548405994323968,金融市场有一条残忍却极其优美的真理：人们总以为繁荣是由光芒万丈的叙事点燃的，但实际上，所有的飞升，都源于机制的重塑。 在这个充斥着荒诞与狂热的加密世界里，几千个山寨币生生灭灭。我们听过无数个改变世界的故事，却总是不可避免地滑向一地鸡毛的深渊。为什么？因为叙事千千万，再好的叙事也只是海市蜃楼的投影；而...
万字研报,机制的奇点，牛市的奇点：卖空权才是激发下一轮山寨牛市的拼图,Wed Apr 15,9633 字,2043911212132687872,"金融市场三百年，有一条被反复验证的规律：牛市从来不是被某个叙事点燃的，而是被交易机制的升级点燃的。不管是ICO、永续合约、AMM、DeFi、NFT.... 都是机制带动博弈，博弈让资金流入循环。是机制升级带来繁荣。 回头看每一次大行情的起点，你会发现它们的共同点不是""出现了一个好故事""，而是""市场参..."
万字研报,新币上所策略揭秘：为什么“低流通、高控筹“的现货+合约组合成为了新的猫山王,Tue Oct 07,6138 字,1975461150088437765,在现货流动性不足的市场环境下，做市商只能将目光放在交易量日益增长的永续合约市场。为此，各方绞尽脑汁打通现货——合约的路径，从机制上将这两者的流动性和盈亏判定规则有机的结合在一起，并最终催生出新的代币经济学模型和社区期望管理模型，打造出一出“妖币”多空双杀大戏。 所谓的“妖币”是一系列特定市场条件的汇...
万字研报,资金费率的永续合约市场——爷爷如何用明年才结果的猫山王榴莲，支付今年的停车费,Mon Sep 15,4957 字,1967502073492058112,"Boros为永续合约资金费率——创建了一个资本高效的链上衍生品市场。通过将链外交易所的资金费率“代币化”为可交易的“收益单位”（Yield Units, YU），实质上构建了一个功能上类似于传统金融中利率互换（Interest Rate Swaps, IRS）的市场——为猫山王榴莲的果农们实现了一颗..."
万字研报,算法演技：如何帮助爷爷在不卖出榴莲树的前提下，卖出明年才结果的猫山王榴莲？,Thu Aug 14,8940 字,1955479901223477248,将DeFi收益量化、集中化、交易化 —— 一个资产，让你赌n次；就好比把一棵猫山王榴莲树，拆分成“树本身”(PT)和“未来所有的猫山王榴莲”(YT)并分开买卖。 在Pendle出现之前，DeFi的收益率普遍是浮动的，受市场情绪、协议活动和宏观经济因素影响而剧烈波动，这为寻求稳定回报的投资者和需要对冲...
实盘推文,2058867514088812772,Mon May 25,点赞 8,浏览 10564,一刷推，都在说 $sive  涨爆了…  真的是叙事打开了？要双上市？才不是，人家的AI相关pe到了230x…  今天这轮暴涨我盲猜是因为逼空，有点类似 gamestop当年（不过这次不是期权，而是现货卖空） 有博主说是2sigma开的大仓位，我没去查证，但即使不是它，也是其他人  如果要类比币圈的资产， $myx $coai $rave 那可太多了… 你可以理解就是“机制”造成的 ，空头燃料  长期不好说（我也不懂技术原理）但短期就是博弈之源（多空较量）驱动的，到哪儿都一样  这不就到了我们的舒适区啦？ 🤣🤣 这玩意儿有了资金费率只会更high  @Binance @okx @bitget @MEXC - 别看了啊，赶紧的
实盘推文,2068560935158161435,Sun Jun 21,点赞 19,浏览 3937,又到了榴莲季节，今年的猫山王榴莲大丰收（尤其是文东高山区）  各位路过路过新加坡和马来西亚的，欢迎品尝，价格应该是covid之后最便宜的（指的是猫山王，其他的品种基本没什么变化）  为什么会这样呢？因为猫山王产量过剩 事情要说回到covid之后，猫山王榴莲获准出口到中国大陆，所以好多人在covid之后看到这个商机，扎堆嫁接猫山王种（新树猫山王），而今年呢？ 刚好到了成熟期，万树齐开  所以造就了只有猫山王榴莲价格下降的奇景  这个时候吃老树猫山王就很爽了，因为整体价格下来了，连带老树价格也下来了  此情此景- 就要吃点好的  怎么看老树呢？ 刺相对来说没这么扎手 果柄比较粗，有点沙沙感 plus 果肉有点“黑青色”的 -恭喜你 口感苦甜绵密（拉丝的基本就呵呵呵了） 有点类似吃冰淇淋的感觉 最后：产地请认准彭亨劳勿 Pahang Raub （20年以上）  风险提示 吃老树猫山王有一个后遗症： 就是吃了老树以后，你就回不去了🤣
实盘推文,1913791489500696942,Sun Apr 20,点赞 19,浏览 5316,"推上有好多不同类型的交易博主，每个人都有自己的三板斧，门道和擅长的领域，  看k线趋势的 @Paris13Jeanne @CryptosLaowai  , 有看机制的 @thecryptoskanda , 有看宏观的 @phyrexni  @CryptoHayes , 有看链上的 @cishanjia @wolfyxbt , 也有玄学的 @kunlunstar   看事件驱动型的 @dotyyds1234 @brc20niubi  看市场情绪和市场情报的 @Elizabethofyou 等等 - 反正各式各样的都有，唯一的共同点就是深耕  我从17年就跟交易所打交道（亚洲/欧洲/美国/拉美，离岸/合规，白/黑/黄种人），自己也做项目，所以对交易所的公告和项目方发的信息比较敏感，加上喜欢看一下历史类的书籍，就逐步形成了“事件驱动型”的交易体系  比如昨晚动静比较大的 $voxel, 在4月10日的时候就出现在binance 的delisting投票里，当时市值只有不到10m，然后昨晚看到binance出的一个关于调整资金费率的公告（从8-》4-〉2），24h的费率达到24%，而且voxel当时的市值不到15m，我就知道机会来了，睡前做了一波多仓就跑了  今早看到趋势还在上涨，估计是要庄家要集体扎空大家，所以就开了个多仓，还能吃费率，吃了个早餐回来发现果然涨了不少。  我不是要说自己有多厉害，交易有多牛，事实上我也是小韭菜一名；只是想说一个事情，就是只要找到自己擅长的领域去深耕，知道自己赚的是什么钱（我这种就是短时的信息差），找到适合自己的交易方式，不影响生活，睡的了觉。  昨天热议的abcde，我个人是感觉不是他们做错了什么，就是单纯的没找到适合自己属性的投资模式而已，只要不下牌桌，还有担当，一切都好说。  p/s：发稿前已经平仓，无利益相关。"
实盘推文,2023061744038694940,Sun Feb 15,点赞 20,浏览 6992,考考大家，你们知道近20年来中文农历新年歌曲的大都产自哪里吗？  a，中国大陆 b，台湾 c，马来西亚 d，加拿大 e，印尼  等灯登邓～  很多人可能以为是台湾，毕竟那里发片的产业比较成熟，但是其实：  答案是c，马来西亚 - 各位是不是没想到～  近两年来，每年产出近100+首“新年歌”（贺岁歌曲） —— 出猫山王之外，被尊称为地表最强新年歌产地  就是这么一个只有700万华人人口的国家，居然每年产出这么多首新年歌曲+mv ，你说真的是大家都喜欢听新年歌？别傻了孩子，华商是最抠的。。。  其实答案就在时间点+商业模式上 - 因为贺岁歌曲是马来西亚本土华人艺人最容易找到“赞助的”（所谓的要就不开张，开张吃一年）  恰好企业的老板是华人、恰好年尾（农历新年在年头）还有剩余的市场预算没花完、恰好新年歌的门槛低（成本不高，没什么技术含量）、恰好华人在新年期间最舍得花钱、恰好马来西亚的商场都需要更换歌单、恰好老板们出去庆功宴、赞助会的时候需要有个排场....   兜兜转转，就是各种凑巧 —— 这个跟listing一样，就是有政策，有风口，有标准，有商务，有叙事，有收入等等 - 就是这么凑在一起，你说换了一个时间来，还行不行？换一个人来，还能不能？  对不起，很多时候就是没赶巧 - 岁岁年年花相似，年年岁岁人不同，很多时候，错过了就是一眼万年  昨天的船票登不了今天的船；今天播下的种子也未必长成后天的鲜花，不变的是：鲜肉终会变成腊肉  不把listing当成大满贯和目的地才是唯一解  最后分享一个，我觉得今年最有新意的马来西亚新年歌，来自namewee黄明志的《马来西亚的新年》  https://t.co/slhjNo9ToO  看看大家能听出用了多少种语言吗？ 🤣  当我们在说中文，你确定你的中文和我说的是一样的吗？
实盘推文,2050933116500656331,Sun May 03,点赞 16,浏览 5918,用 @thecryptoskanda 的话，救市就是救庄  项目方自救，做自己的庄  这篇文只是序幕，你说 $rave $coai $myx 的基本面好得可以几十亿市值吗？能造血到这个程度？  机制使然而已  他们能，为什么你不能？
实盘推文,2098980907504083307,Sun Sep 13,点赞 38,浏览 39813,重要的事情说两次 不要碰 ethereum:0x6033f7f88332b8db6ad452b7c6d5bb643990ae3f  不要碰 ethereum:0x6033f7f88332b8db6ad452b7c6d5bb643990ae3f   这个币现在是疯狂前的自救 https://x.com/agintender/status/2068186852637700170
实盘推文,1981556578768855457,Fri Oct 24,点赞 99,浏览 14991,建议大家都把这篇文章和之前写的pendle的长文（ https://t.co/jyatyBv4l8） 和 循环贷策略（ https://t.co/u87ZX2ATZY） 都看一下  要不然接下来我写的跨产品联动逻辑（又称3P策略 😂） Poly- Perp - Pendle ，你们会完全找不着北
实盘推文,2089918265049157814,Wed Aug 19,点赞 6,浏览 4195,那些在perp上做空 $unitree 宇树的朋友们… 你们真的还好吗？！  尤其在trade xyz上开仓的…  就这个流动性和资金费率吃一壶都算少的  可以看空但不做空的
实盘推文,2082804518388154378,Thu Jul 30,点赞 2,浏览 2527,@Michael_Liu93 赞成的，爸爸们不减capex，不影响基本面，大家还都要买买买  另，开源模型这个趋势还会有新增的capex，目前大家还没聊到  不过韩国这个救市措施，要是真的是禁掉卖空真的是有点无语了。。它们关闭用户的融资渠道都好过这个
实盘推文,2095349445710029220,Thu Sep 03,点赞 16,浏览 11347,各位来新加坡吃榴莲的时候，千万不要配酒一起食用啊….   还吃的是什么炭烤猫山王…   什么东西啊…. 你们的良心不会疼嘛…
