推文ID,发布日期,点赞数,浏览量,综合评分,是否长文,推文正文
2049351879470301551,Wed Apr 29 04:55:37 +0000 2026,40,19729,0.585,否,"别急着说 0.01% 是错的  
前几天看到了一个关于 haibo总@yhaiyang关于永续合约资金费率算法的讨论  

加密交易所是一个竞争极度充分的市场——上百家所同质化产品,用户切换零成本。一个明显错误的参数,在这样的环境里活不了十年。但，它活了十年，并且还好好的 

有没有可能是数学上它可能是不太合理的，但是随着市场演进，整个交易规则开始围绕着这个“不合理”的模型建构，以至于后来就变成合理的

至于为什么合理，因为这个参数在做一件没人讲清楚但所有人都依赖的事。那就是【流动性】  

敲黑板！！流动性从来不是免费的。它有价格,而且这个价格由某一方在“默默”地支付。 （从雇佣兵资本、mm token loan到token incentive，每一步都是）

每一个有深度机构流动性的金融市场,都有一个结构性 carry 在补贴做市方:美股是 securities lending(证券借出收益),外汇是利率差驱动的 carry trade,Eurodollar 是 LIBOR-OIS spread。新兴市场货币的真正流动性提供方,是 carry traders,不是商业用户。数据证明，套利者只会让市场更加有效率。  

这不是 bug,是市场定价机制运作所必需的。 

加密永续的 0.01%,就是这个市场的结构性 carry。它的标签上明明白白写着:这是流动性的价格。  

想想做 ATOM 永续做市商需要承担什么:70%+ 年化波动率,链上现货深度极薄,staking 锁仓 21 天,生态尾部风险。要让一个机构愿意常态部署 $5M+ 库存,他需要的回报绝对不是 5%——是 25% 起。 （这也是1011其中一个为什么 $atom 直接击穿如此彻底的原因）  

那 21% 的""多头超额支付"",不是给套利者白送的 alpha,是付给做市方的酬劳。  这是 0.01% 最反直觉的功能:它在液性高的标的上是过度收税,在液性低的标的上是流动性补贴。一个单参数,做了一个从零设计的市场需要多参数才能完成的工作。 

不信?假设 Binance 明天把它调到零，你猜猜会发生什么？

散户多头每年节省的 funding 不到 $5K(按一笔 $10K 杠杆仓位算)。但因为长尾标的盘口枯竭、滑点翻倍、爆仓提前——一年损失超过 $20K。 

历史多次证明：""减税""反而让被减税方更穷。 

被""过度收税""的散户多头损失最大,因为他们最依赖永续合约提供的""任何标的都能 50 倍开多/开空""这个隐性公共品——而这个公共品的资金来源,正是他们以为自己在被多收的那 10.95%。 

我们可以说它在形式上是错的，但是得出的结论确实是对的，或者说符合市场规律的 

流动性的标签从来都贴在那里,只是大部分人没有低头去看。  

至于你如果没看懂资金费率是个啥，下面的长文拿走不谢

🤣 看的人多的话，我周末给大家写一个长文来分析一下"
1999750896599867554,Sat Dec 13 07:59:01 +0000 2025,81,24752,0.503,否,"为什么说 @HyperliquidX 推出 Portfolio margin （PM)功能是个重大的升级和迭代

我就不写长文了，直接写成7个知识点

1. 背景：机构交易员的刚需：如何做到资金效率最大化
如果一个基金在 Binance 持有 1 亿美元的 BTC 现货，并在合约市场做空 1 亿美元的 BTC 进行套保，在组合保证金模式下，交易所识别出其净风险极低，可能只需要几百万美元的保证金即可维持该组合。

而在 DeFi 中，由于缺乏这种机制，同样的策略需要数千万美元的抵押品，导致链上套利的ROE显著低于CEX。这就是所谓的“链上资本效率折价”。

Hyperliquid 的组合保证金Portfolio Margin 功能，将 DeFi 的Permissionless与 CEX 的Capital Efficiency融合在一起

2. 现货与合约的深度融合
Hyperliquid 将其底层架构允许现货资产直接作为合约抵押品。在大多数 DeFi 协议中，现货交易和合约交易往往发生在不同的流动性池或甚至不同的 L2 网络上，状态无法互通。

Hyperliquid 基于其定制的 L1 链，将 Clearinghouse逻辑直接写入链共识层。这意味着：

a 用户持有的 HYPE 或 HIP-1 标准代币，可以直接被风险引擎识别。

b 当用户做空 HYPE-USD 永续合约时，系统会自动检测到用户钱包中的 HYPE 现货，判定为“兑现对冲”（Covered Short），从而大幅降低保证金要求 。

3, 自动化Portfolio内的借贷与收益
相当于 PM 账户内嵌了一个“借贷市场”。

供给侧：如果 PM 账户中有闲置的资产（例如用户存入了 BTC 但只开了一倍杠杆），系统会将这些资产视为“可借贷库存”提供给市场 。

需求侧：其他用户如果需要进行杠杆现货交易（例如做空现货），会自动借入这些资产。

收益：借贷产生的利息将直接分配给 PM 账户持有人。

这一机制将 Hyperliquid 从单纯的交易场所转变为一个具备生息能力的资产管理平台。对于持有大量现货的大户而言，具有很大的吸引力：他们可以在持有资产待涨的同时+进行套利（比如资金费率）获得借贷利息，实现单个系统内的一鱼多吃

4. 对套利（Arbitrageurs）：释放资金枷锁
这是 PM 功能最大的受益群体，也是市场流动性的主要提供者。

场景：期现套利（Cash and Carry）
旧模式：假设资金费率为年化 20%。交易员持有 $100,000 的 BTC 现货，需要在合约账户存入 $100,000 USDC 才能安全地开设 $100,000 的空单进行套利。总资金占用 $200,000，收益率被分母稀释了一半。

PM 模式：交易员存入 $100,000 BTC 现货。系统识别出 BTC 现货与 BTC 空单的对冲关系。交易员可能只需额外锁定极少量的资金（甚至由 BTC 现货本身的折算价值覆盖）即可开设空单。总资金占用接近 $100,000，资金效率提升 100%，收益率翻倍。

结果：这将吸引大量寻求“低风险高收益”的机构资金进入 Hyperliquid，因为这里的套利效率将与 Binance 持平，但没有中心化托管风险 。

5. 对做市商（MM）：库存管理的革命
做市商需要在现货和合约市场同时提供双边报价。库存风险是MM头疼的地方之一。

旧模式：做市商在现货市场接了买单，变成了多头。为了避险，他需要去合约市场做空。如果没有 PM，他需要从现货账户提币、兑换成稳定币、转入合约账户、开空单。这个过程繁琐且资金分散。

PM 模式：现货成交的瞬间，该资产立即成为账户的有效抵押品。做市商可以直接在合约端开空单进行对冲，且因为风险对冲，保证金占用极低。

结果：做市商敢于提供更窄的Spread和更厚的深度Depth，因为对冲成本大幅降低。

6. 硬币的另一面
在 PM 模式下，用户的杠杆倍数可能极高。一旦市场出现极端黑天鹅（例如现货价格暴跌导致流动性枯竭，而合约价格尚未反应），基差瞬间脱锚，可能导致连环强平。 

HLP Vault 充当了系统的最终对手方和清算兜底者 。如果 PM 账户发生大规模穿仓，亏损将由 HLP 承担。这要求 HLP 必须有足够的深度来吸收极端波动。如果 HLP 规模增长跟不上 PM 带来的杠杆规模增长，系统的安全性将受到挑战。

7. 其他dex跟了有意义吗？
其他的perp dex也做PM? （可能目前也就aster做了，才有点意义吧？） 

现阶段可能还是看看就好，看看就好 🤣"
2017260075019374655,Fri Jan 30 15:34:15 +0000 2026,32,6909,0.463,否,"我居然遇到跟你一样的问题，有小伙伴问我为什么之前不是一直帮币安说话的，怎么今天反过来说币安在1011的时候有问题？

🤣😂😂我都要笑晕了。。我一直觉得是有问题的啊，只是不是像市面上大家说的什么恶意当机，插针，抽走流动性，故意清算大家的仓位等等这种阴谋论，他们的问题主要是在比如风控监测不到位（就这个流动性还给人家质押这么多币来开仓），清算算法，质押算法的设计、忽略了双重变量、僵尸单子未及时撤销等等

反正从我的角度，币安在1011存在主观故意的概率太小了，根本不makes sense

至于为啥我这么说？因为我是项目方，同时我自己也在币安交易

我太知道币安在极端情况下是会“压榨”项目方来护用户的周全的，对，你没看错，就是这么毫无人性（当前这个版本的项目方是真的很难的） - 当有大额充值的时候，交易所会来问这是咋回事？你的mm能接得住吗？不够的话，赶紧打钱

所以我倾向于从机制上找原因 -就像是一把刀，平时看着好好的，结果地震一来，这把刀就划伤人了，那你总不能说是这把刀蓄谋已久了吧？🤣

就比如你问我Hyperliquid插针，我也是从这个角度出发去看哪个环节出了问题的 （看过我合约算法镰刀系列的老粉都应该知道）

币安确实要负一定的责任，但是他罪不至死吧～ 这种级别的崩塌谁来都一样，说句不好听的，上了法庭，辩护律师也会说成是“这只是币安没做好，但不是犯错了”

Benson提到了一个点，就是作为“抽水机构”，币安也对每个项目“抽水”来充实BNB holder，这对项目方来说无疑是雪上加霜的（fyi，所有的离所都是这样，数量多少的问题，相较之下韩所和cb基本可以忽略不计）

作为一个项目方来说，我确实很反感，尤其是那些靠着融资撑起估值的新项目，因为估值高，所以给出去的%少，或者meme，直接就能上了，凭啥？！上了之后，表现还不如我们，凭啥不能给草根builder一个机会？

但我后来一想，要是他们不这么做，他们又要如何赋能 $bnb ? 难道要像SBF一样挪用资金去炒币，然后再反哺给FTX用户吗？  两者的经营理念是不一样的，一个是托管，一个是银行

而且从币安的角度，看的项目多了，估计都一个样 - 矮子堆里拔将军，索性就赋能 bnb好了 （从这个角度，binance没亏欠bnb holder）

说到底，币安是一家商业机构，出了安全、流动性、服务，我们老希望他能做得更多，但是却没办法给他创造更高的收益，如果是你，你会怎么办？

说句题外话，为啥英语CT（到现在）还有人崇尚SBF，就是因为他敢于“对抗”，朝圈外对抗，朝政治对抗（这点Brian确实可以），crypto的底色就是要对抗旧的机制，coinbase为啥能扛起大旗，因为他们真敢干（虽然是因为利益相关），告sec，告doj 

中文/东方普遍还是崇尚“融合”，最好能以平和、渐近、不冲突的方式介入，但是革命/对抗就是敢起冲突

比起什么拿10b 买btc ，对于我这种老灯来说，为行业尝试争取前进的可能才更让人肃然起敬

直接去告美国/英国政府释放xx，或者资助xx组织推动xx法案

带领行业对抗旧约，这个才是中本村夫希望看到的吧～ 

以上"
1943608092685643924,Fri Jul 11 09:47:34 +0000 2025,75,21794,0.463,否,"我猜90%合约交易员都不知道自己的仓位是怎么被“破产清算的”？甚至不知道为什么有时候清算之后还会返钱？

各位可以盲猜一下，为什么各大交易所dex/cex都要疯狂推合约交易？

或者大家是否会觉得奇怪为什么各大交易所推出的“保险基金”都越滚越大？

难道赚的是手续费？客损（😂）？返点

其实，是破产仓位的清算费用及其差额

我这里就不深入说为什么会触发强制平仓（强平）维持保证金（MMR）等术语和条件了（各大平台都有点差异），直接上机制差异：

1. Binance采用面向市场的清算模型 (Market-Facing Liquidation Model) （因为流动性更好）
用户的头寸被清算引擎转化为市价单在订单簿上执行。这意味着用户直接承担清算过程中的市场滑点风险。保险基金主要用于弥补穿仓损失，并可能在极端情况下通过“优化订单价格”来辅助清算，以维持市场稳定。

你可能会问“优化订单价格”是什么鬼？
在市场流动性不足，保险基金可能会被用来补贴成交价格，（比破产价格更优），鼓励其他交易员来交易。Binance的保险基金是一个补充型的资金池，而不是一个执行清算的场所

2.Bybit，Bitget，甚至Hyperliquid）采用系统性吸收的清算模型 (Systemic Absorption Liquidation Model)。

强平条件触发后，用户的头寸被清算引擎接管，并以“破产价格”进行内部结算。这意味着用户的最大损失在理论上被锁定，无需承担后续的市场滑点风险。（听起来还不错哈 🤣）

清算引擎持有了这个被内部化的头寸，并承担了必须在真实市场上将其平仓的任务。如果引擎平仓的实际价格劣于它与用户结算的破产价格，差额由保险基金来弥补。反之，如果成交价更优，则盈余部分注入保险基金 。

聪明的你，是不是注意到了“破产价格”就是保险基金的盈亏来源 - 而这个破产价格来自哪里呢？

是的，就是我之前帖子说到过的指数价格、标记价格的算法以及MMR维持保证金的额度(ps：MMR 要求越低，越容易被清算、破产价格越差）

所以为什么有些平台在指数价格的计算上可以容忍+/- 2%，甚至到5%；甚至不以场内价格做计算，就是因为场外和场内价格是有“差价“的，这样就有“利润”

有时候不是破产清算后，用户看到自己还有剩余价值还沾沾自喜，觉得平台大气... 殊不知只是因为平台“赚的太多”，不太好意思而已....

我之前一直强调的“交易不是一个环节，是一个体系”，它们是一环扣一环的，是不是在这个瞬间具像化了！！ 是不是amazing

最后，ADL的触发
当保险基金耗尽之后就会触发ADL （自动减仓，社会化仓位）这里面的坑也不少 🤣，值得一提的是，Bitget有个比较神奇的规定，就是当保险基金从峰值下降30%的时候也会触发ADL （而不是耗尽），所以这可能也可以稍微解释一下Bitget近期ADL频发的现象。

最后，合约交易的算法是一套环环相扣的棋盘（这里不得不赞一下 @Bybit_Official 的UTA账户体系，这特么复杂，建议给设计师加个鸡腿），每一步都是几个亿美金的教训。

最后想看细节长文的小伙伴们，多点赞支持一下，超过100点赞的，我周末加班写一个出来 🤣"
2047912408124141835,Sat Apr 25 05:35:41 +0000 2026,94,40160,0.461,否,"今天说一个政治不正确的话

最近有好几个妖币横行 $rave ，市场上有好多传闻，什么交易所与做市商勾结，资金费率被武器化 ，合约机制是收割散户的帮凶等等….

我甚至还在香港大会听到某议员提议要调查交易所的…. 

其实不管是资金费率，标记价格，本质上都是工具；就好像水果刀🔪，你切水果的时候就是工具，你拿来伤人的时候就是武器

这些妖币的操纵本质上就不是合约机制的锅，罪为祸首其实是畸形的high fdv low float低流通的数据盘

是代币结构导致的，合约机制就是运行规则 - 给你流通盘0.1%，谁来操做都一样

如果你认真看这篇文，你就会知道交易所比谁都更怕这种妖币，也花了多少钱精力和时间一步步走成这部爆仓血泪史

其实有些交易所本可以赚更多的"
2051133643498901917,Mon May 04 02:55:43 +0000 2026,67,17020,0.459,否,"已知mm一般不会裸多裸空（除非识别到是smart/dumb money）而永续合约对冲逻辑有两个
1.   开空仓，持有现货
2.  开多仓，卖掉现货

这个机制能让你：
1. 抵押自己的token借出u去开空仓
2. 抵押U去借token卖出，并在合约开多仓

把最基本的流动性撑起来，让套利/mm看到有利可图的机会

这篇文的立足点就是让项目方自己吸引外部“mm”的活儿，自己创造利息差资金费率差，进而让交易员来铺合约的流动性，自己做自己的“庄” - 有基础的流动性转起来

咱们不要想着靠这个事情发家致富，这个规模不会很大，但这个是流动性的基础 

为什么这个事情可能可以成？
因为altcoin的盘口原来就薄，容易击穿；资金费率动辄年化几百%的apy；资金费率和贷款利息差

这三个因素相互作用下，会是一个非常有意思的角斗场

铺单子的人或许在合约输了，但是现货赚了，反之亦然；资金费率或许大出血，但是贷款利率赚大发了

机制差带动套利机会，套利机会带来博弈空间，博弈空间创造流动性

而你只需要做那个给市场“第一推”的人"
1977410669894045996,Sun Oct 12 16:26:56 +0000 2025,25,8999,0.423,否,"我也看了推上的分析文章，也看了 @binance 早些时间发的关于bnsol和wbeth的公告，我是觉得比较难做到定点狙击

因为条件有点严苛
1. 要mm/套利同时都不在线 - bnsol和wbeth如果脱锚，那就是个一眼捡钱的机会，那得有多少机器人冲进去

2. 为什么明面orderbook流动性就这么点（几十m），因为系统限制大额交易，你要有n个可以无限taker的账号

3. 如果是瞄准清算仓位，那你要知道大户的仓位情况 

4. 你在交易所定点狙击还想走？！赚的到，还要能走得掉

所以我更倾向于是：
宏观冲击 → 市场避险情绪 → USDe循环借贷头寸平仓 → USDe脱锚 → 链上循环贷款清算 → 做市商抵押品价值暴跌与被动杠杆飙升 → 做市商统一账户被清算 → 做市商撤出市场流动性 → 山寨币现货市场崩盘。

有人看到市场情绪带崩的山寨币，然后伺机而动，一蹴而就造成的"
1904762500408893948,Wed Mar 26 05:09:03 +0000 2025,3,4065,0.398,否,"首先，还是要澄清一下，我都是猜测/个人看法，+听的小道消息的个人分析，如有雷同，纯属巧合。  
1.相较于以前，现在大家对于上币的观点发生了重大改变，以前的上币是起点；现在的上币是终点 - 这也不能怪他们，因为好多vc也快到了赎回期限，压力也好大的，（很多时候不只是项目方的问题）加上市场流动性紧缩和新币的预期一直下降，所以只能借助“新上币流动性”的窗口套现，这是压力，也是无奈 （mm的做市资金也是有成本的，此处心疼gsr两秒）   
2.项目方和做市商肯定是不敢公开闹的，如果你还想在里面交易和上币的话 - 没有交易所会让一个满城风雨的项目/mm在自己的交易所活动（尤其你还想去cb和upbit的话）而且现货也不是收益大头，犯不着....  
 3.别的交易所也有类似的情况，为什么不披露呢 - 因为他们自己就是做市商啊 🤣 （尤其是合约） 
 4. 紧接3，除了舆论压力之外，最直观的就是亏钱了呗。。。。。  
5. 再说一个观点，大动作一般都跟人事变化有关  
6.吃瓜真的是人性啊 娱乐至死嚒..."
1971842755413660152,Sat Sep 27 07:42:02 +0000 2025,67,36330,0.381,否,"现在 $aster 的热度稍微降了一点，可以稍微说一点关于正资金费率的玩法

图是 $aster 在各个交易所的年化资金费率，人话就是你做多的话，按年需要给空方交多少钱的意思

这张图最有意思的是，各家cex之间的费率可以差个2x - 这明显就是一个可以套利的机会，那为啥还会出现这个情况（就是合约价格 > 现货价格）？是道德的沦丧？还是勇气的缺失？ ）））不是啦。。。

1.先说原理，一般来说基于对冲的原则，mm是不会裸多/空的，说人话就是mm会持有/卖出一定的现货，才会在合约市场开对应的仓位

2. 资金费率为正，理论来说就是看多的人更多，所以合约的价格 > 现货的价格； 在多方给空方交钱的情况，mm需要扮演空方收取资金费，而为了对冲风险，mm需要去购买相应的现货来对冲 

3. 这个时候好玩的就来了，因为各式各样的理由（cz喊单，看好perpdex whatever），越来越多的人进来开多仓，而mm为了持续开空仓赚这个资金费率就会去买现货对冲

4. 然后散户看到价格一直涨，就fomo一直开多仓，然后mm看到你们这么疯狂，也一直买现货开空仓，oi就真～水涨船高了。

项目方 @Aster_DEX 也是喜闻乐见这种情况

5. 为什么不直接买现货，这个分几个阶段说：
初期，因为一开始买不到，你还记得aster最开始就是单机币嘛？ 大家要参与就是买apx或者开合约
中期，现货的流动性比合约的流动性要好 （现货的流动盘很少）而且好多人都囤着不卖
现在，加上perpdex 的叙事 + 杠杆的作用+价格相对稳定 （有说刷量的刺激，但我觉得影响不大） - 索性就在合约市场里面玩耍

6. 至于什么时候，或者说什么情况下会崩，请听下回分解啦 🤣🤣 

））我先发给订阅号"
2066163287624917269,Sun Jun 14 14:18:09 +0000 2026,15,8054,0.379,否,"无利益相关
关闭充提之后，就会发生不同所之间的价差，更不要说合约了（因为没办法转账套利扳平）

这点以前在韩所upbit/bithumb关闭充提之后其实是频繁发生的，因为野庄可以通过交易所的钱包地址和orderbook的数量来反推自己在这个战场要面对的“盘”

这个时候的对手盘就是清晰可控的（provided 交易所不能去印币）- 加上散户是越涨越买，就可以在高位慢慢出货获益

久而久之，就形成了“肌肉记忆”，关闭充提=要搞事

现在回到 $h 这个标的就更好玩了- 因为有合约+大部分不受控制的筹码在链上，因为关闭充提，用户没办法在链上买，cex卖（盘子变轻了n多）

关键还是合约指数价格的权重大部分是cex和合约自引用，就形成了不care链上一直往上抬的局面，然后不明所以的小伙伴跟着进来

是不是一定是项目方？野庄？mm？不知道

啥时候结束？或者说进入下一阶段的我博弈？这个情况跟我之前说的下架币叙事有点类似- 就是等到充提开放或者调整指数价格的权重

无论如何，这件事对于操盘方来说，最大的挑战是如何把钱从cex提出来"
