推文ID,发布时间,JEV评级,JEV得分,点赞量,转推量,浏览量,推文正文,原推链接
1721211723473154549,2023-11-05 17:03:48,S,75,989,224,297031,"还有一个 简单实用活的久赚的猛的仓位小策略 ，我500u小号赚十几万美金就这么控制着来的，从不犯规。大牛市必须上杠杆，但是：
1.小资金现货6成，杠杆4成（5/10倍杠杆）资金500-5万美金适用。
2.大一点资金：现货8成，杠杆2成（5/10倍杠杆）资金5-10万u适用
3.大资金：现货9成，杠杆0.5-1成（5/10杠杆） 资金10万以上适用

同时，杠杆赚钱涨幅10%建议减一半杠杆，再往上看情况持有或者清仓，给现货留更大的亏损空间。

这是我平时每天都在用的，我自己同时操作着八九个账户，每个资金量都大不相同，仓位杠杆方法策略配比上也会有些差别，很受用，也对我帮助很大。

这样能保证高收益的同时，又能让自己永远不下牌桌。

另外赚钱记得提现，生活上有债务的赚钱的时候立马还掉，至少赚的30%资金提现。永远不知道你哪一天上头或者遇到黑天鹅失去所有，不赚钱套现再失去的时候就成镜中月水中花，甚至有债务还会把你逼向绝境。

如果觉得值得收藏，或者对你有帮助，希望能帮老表点赞加个标签🤚😀
总结不易。",https://x.com/xiaomustock/status/1721211723473154549
1842520286379569230,2024-10-05 11:00:43,S,71,1557,489,651216,"分享俩条usdt换成港币或者美金入港股美股的路径。
1.适合无海外永居的大多数人。
usdt提到kraken Pro交易所，
注册比较简单，直接大陆护照+大陆手机号就可以注册。

如果需求比较急，在交易所内盘口换成欧元EUR。然后快速提现到港卡，时间不到一个小时即可到账，然后就可以在银行提现去富途或者盈透证券交易所。
推荐在盈透进行欧元兑换美元或者港币，基本上跟汇率0差价。这时候就可以干港股美股了。
每天额度10万美金，工作日可提现，周末不可以。
2.有海外永居。
usdt提到hashkey，（注册hashkey需要海外永居+海外手机号+地址证明）
手机号弄esim卡，海外永居据说泰国精英卡也行，地址证明嘛这个就简单了）
据hashkey的人说，目前hashkey出来的钱没有封过银行卡。

以上都需要港卡或者新加坡银行卡也行。港卡办理比较简单，网上一大堆教程，可以打飞滴直接去香港办，也可以存50万到国内汇丰银行直接拿香港汇丰银行卡。
香港办的话提前弄一个水电单子作为地址证明。",https://x.com/xiaomustock/status/1842520286379569230
1771935385096269824,2024-03-24 16:21:31,S,67,378,106,95056,"如何从概率学上管理仓位配比，确保收益率。

首先要确保的是自己的交易策略是否胜率在50%以上。
如果回顾自己历史的交易过程，不管金额多少基本上10次比如6次以上都是赚的。
第一点，那么接下来就需要每次把自己的投注金额确定好，比如对同一策略发现的交易机会每次祖传5万u或者每次祖传50万u。这样策略的胜率会直接决定你盈利，而不是随机投注，这样就不会发生9次投1万美金的时候赚20%，一次投10万美金的时候亏20%，最后整体核算居然亏的。

第二，对同一策略产的交易机会，在交易中执行的止损比例也要严格统一，比如统一在15%亏损的情况下割肉止损。不同策略可以制定不同的割肉止损位置和不通的获利止盈位置。

第三，很关键的一点是，策略的止盈点比例要比止损点比例要高，比如赚20%止盈，亏5%止损。这样才会在概率的赚大钱亏小钱。

第四最后一点，对已产生盈利未达到止盈点目标价的情况，至少或尽量要保证自己在成本线上方止盈出局，进一步压缩减小亏损的概率。

码字不容易，点个赞如果对您有帮助可以加个书签。",https://x.com/xiaomustock/status/1771935385096269824
1739523589873770971,2023-12-26 05:48:37,S,66,328,51,155555,"每次买卖我都如履薄冰，因为买错了我也会亏很多，努力提高胜率。
对每种交易机会，如果能说服自己买入，那自己心中要有一个打分。如果10分是梭哈的话
什么机会打8分？
什么机会打5分？
什么机会打1分？
根据自己心中的评判标准，进行仓位配比，和持有时间的规划，买入前制定好自己该买多少，拿多久，什么情况减仓，什么情况加仓，什么情况清仓。
虽可能不是非常明确，但得心里有个大致的谱。
需要搭配什么手法，利益最大化？

做不到所有交易机会都参与，但是最热的必须参与一下，感受市场。同时得多关注对未发生临近发生的机会关注，提前做好准备参与，比如bake的ido新币？币安的新币nfp？未上交易所的闪电nostr？未开市场的cook？dego的比特币游戏？每次大饼砸盘链上铭文龙头和基建抄底？

对已然发生的规律归纳，对未发生的用规律预判，并用资金付出实际行动，再根据自己获得的结果优化，根据市场节奏调整，提升遇到类似未发生机会交易的胜率。",https://x.com/xiaomustock/status/1739523589873770971
1798029072771211697,2024-06-04 16:28:31,S,64,113,8,113276,"白天的时候有一个思考。
群里当时发符文狗dog市值快超过ordi了，涨到了0.00907。
看到这句话我立刻去翻了一下ordi的价格，46刀。
当时想：如果dog市值超过ordi，那么就相当于跑在最前面的奥运会冠军的奖金还没有亚军高，这合理吗？如果dog市值是合理的，那么ordi肯定低估了。

但是被ordi折磨过很多次，前些天我其实所有账户的资金全部梭哈了ordi，41.8均价买的ordi，买完就给我跌到40以下，因为仓位太重了，肉疼，心态也不是很正常，一气之下割肉了，39点几，割完结果就是最低点ordi这几天一直拉盘再没下去。
因为这个经历，所以白天的时候没有去操作ordi，只是脑海里推演了一下。
晚上看见涨到52了内心其实还是还有些后悔没有去买。

不过想到接下来的pizza，正在涨的ordi，已经涨了的dog，那么作为btc涨幅放大器的btc最强二层ckb我觉得回调的位置看又安全又放心，性价比更高，所以晚上就买了ckb。

btc二层一个有前景的方向叫utxo同构。虽然发展磕磕绊绊，但是依然是我觉得最有可能的方向。这个方向的代表协议叫rgb++，是ckb的人在开发。然后rgb++这个协议，用的就是ckb作为存储。能解决btc二层存钱的“自由提取---即及时2层项目方没了，这个钱还能提出来“",https://x.com/xiaomustock/status/1798029072771211697
1805815938274763181,2024-06-26 04:10:44,S,62,1560,541,706786,"这是巴菲特1998年的一次演讲。案例举了高智商汇聚的长期资本在十几天内崩溃。
当你富有以后你关心的不应该是下一次再暴富，而是保证自己不穷回去的前提下用部分自己盈利。我这俩年相较以前最大的变化应该是把资金分散了克制自己的冲动，以前干啥觉得好都喜欢一把梭，大赚过最后都梭没了。很值得耐心看一遍。",https://x.com/xiaomustock/status/1805815938274763181
2062455820273516914,2026-06-04 08:46:00,A,59,774,30,136615,"在资本市场活的久不久，
有时候不在于看的准不准，
而是自己的仓位管理。
今年三月份我差点跌没了，
极度看好存储，
带杠杆梭哈了ewy和2x海力士。
当时跌的账户我都不敢看了，
天天打游戏麻痹自己。
如果那会海力士再多十几个点可能我账户都得没了。
如果没杠杆的话，那会应该很轻松，没那么痛苦。
😂不过好在熬过来了。
以后绝不这样干了。",https://x.com/xiaomustock/status/2062455820273516914
2056056181894905899,2026-05-17 16:56:08,A,56,312,32,100019,"比起账户亏损，错失时代才是普通人最大的风险。
你爸妈错失2000年的房地产和互联网导致你家族如今的贫困，
你的持续观望导致错失如今的AI革命，
会导致你下一代下下代永远生活在社会底层，
这个时段不能梭哈赚取财富，那么等AI站起来的时候所有普通人只能沦为毫无用处的人体电池，你连劳动的资格都没了，更别提赚取财富。
也很可能是人类文明里最后一次属于碳基生物机会。",https://x.com/xiaomustock/status/2056056181894905899
1751068639393153382,2024-01-27 02:24:31,A,55,125,12,61007,"新币波动大交易机会更大，拉长时间虽然都是垃圾，但是把人聚一起能炒就完事了。也别迷恋这些新币，每个月都批量生产几个。
本质上这些币都没啥区别，就是套的外壳吹的故事不一样，纯炒，没信仰，都是空气。
新币相对于老币我更敢买，因为高的波动性如果买错了及时止损换个位置买入可能立马能回来。也正因于此，所以需要更多的时间关注新币的价格，因为基本上没啥规律可言，暴涨暴跌。我这种炒波段的，能暴涨暴跌再好不过了。
不过还是局限在ok和币安，其他地方的新币我基本上不搞，或者比例很小。",https://x.com/xiaomustock/status/1751068639393153382
1968502249988223407,2025-09-18 02:28:04,A,53,632,120,450903,"大a的期权是真爽呐.
更新一下对大a期权的玩法认知.
大a暴跌尤其是科创板和创业板大幅暴跌，
直接梭哈干个当月虚值2档的看多期权.
小成本高额回报.
月初大a科创板暴跌的时候花了一百万买了科创板50的看多期权，成本0.0248，
如果全捏住今天5倍了就，不过撸个三四百万也挺爽. https://t.co/MDKnDquwcd",https://x.com/xiaomustock/status/1968502249988223407
