类型,ID/标题,发布日期,字数/点赞,浏览量/含金量,详细内容/长文摘要
万字研报,bStocks 的 B 面：不做更好的 Nasdaq，用 Perp 走出一条定价权之路,Fri Aug 14,15391 字,2088217094961979392,鲁迅曾说过：不做更好，只做不同。如果最终目标是要拿下标的的定价权，那就不要去 Nasdaq 最强的地方硬碰硬，而是把战场搬到自己最擅长的 Perp、24/7、杠杆、链上库存和去中心化的野生/正规MM。 用Perp 拿下价格高地，用 bStocks 承接库存与纠错 ——拿下定价权。 1848 年，Chicago Board of Trade （CBOT）成立的...
万字研报,没有收盘钟以后，ICE 为什么需要 OKX？,Tue Jun 23,7080 字,2069357769480925184,如果7×24小时的全天候市场中爆发极端黑天鹅事件，比如说周六发生第三次世界大战，传统的法币结算银行处于周末关闭状态，做市商和机构即便手里有美元，也无法通过银行系统将法币划转进清算所补充保证金，你认为那些华尔街银行，会愿意为 OKXICE 体系内可能的爆仓风险提供互保兜底吗？ ICE 究竟打算用什么样的清算架构，来填补周末两天的法币流动性真空？ Crypto ...
实战推文,2095160045747216806,Wed Sep 02,点赞 59,评分 9.6,我这篇文是把bitget关于休市期间的stock perp的index/oracle/mark price公式重新拆了一遍。。   你自己下去看过文档的都知道这是有非常费功夫的事，倒不是有多复杂，而是因为bitget的公式不是集中在一个wiki，而是tm散落在各个不同的地方，甚至还出现上下文/日期前后表述不统一的情况，我还要自己去验证。。。。  这篇文算是对 @bitget stock perp休市算法的详解，不发在x，除了是因为要先给substack的朋友们过过瘾之外，就是太硬核了，不太适合x上的流量 🤣  随便发几个片段/截图给大家瞅瞅，你就知道了有多难了。。一般人没有AI辅助，根本就是在看天书。。  对于普通人来说，其实意义不是很大，但是对于业者/量化/mm/产品/运营，甚至交易所/协议的高管来说，这篇文就很有价值了，别的不说，你至少知道周末的stock perp价格是怎么来的？ 甚至进一步，你都能说出 @bitget 与 @binance 的算法的区别和影响。  我敢说，甚至连 @bitget 内部的员工都未必看过这么详细的说明拆解文档，你们有些人甚至可能都不知道是怎么一回事，这篇文收你们50u，实在是太便宜了。。。  传送门：https://t.co/WMAeeYWUh7   ps：如果你刚好是写合规材料的小伙伴，自行修改文字和脚注，你stock perp的Trading & Market Operations Manual 就有了。。
实战推文,1978422730404888744,Wed Oct 15,点赞 36,评分 7.5,作为一个上了n个交易所的老灯，上所就是一个流动性渠道+广告效应，这么多年下来都是这个作用（跟ipo效应有点类似）  你信不信你跟人家说你是上了bn项目，比起你跟别人说你在做下一代去中心化AI量子纠缠胜肽酵素协议更吸引市场关注？  商场上没有贵不贵，只有值不值，都是利益权衡；你的议价能力取决于你的溢价能力和供需关系，我反正不信哪个交易所敢收wlfi的上币费/活动费/押金/流动性锁仓？  只要是非标产品，就有议价空间，就会看“实力”下菜；既然是下菜，那就有的选，你要吃大排档还是米其林，任君选择  cj搞这么一出可能获得流量+上币机会，这个咱不知道，也不评价，但是谈着谈着就把别人得罪了，这也是醉了  我要是其他所也怕他啊，一个转身就把聊天记录公诸于众 - 与其说是机灵，正义，不如说这是商业sense或者礼仪的问题（我是老灯，怪我古板）  是的，区块链的新世界急需各路豪杰英雄撑起，但是对抗世界的方式有这么多种，就没有更好的对抗方式吗？  上币真不是pvp的游戏啊
实战推文,1985929106446565462,Wed Nov 05,点赞 161,评分 6.4,我真的喊破喉咙了 别参与  不管是 $mmt 的套保局，还是今天涨势喜人的 $aia  1. 标记价格很大程度上取决于现货价格  2. 现货流通不大就容易被人狠狠控制 3.要涨要跌，就看哪个方向的利益更足  方向一致，就会拥挤交易 - 拥挤交易就有血腥味，有血腥味就有鲨鱼  如果你觉得你不是那条鲨鱼，那你就想想自己是不是里面的小鱼
实战推文,2059631626976657587,Wed May 27,点赞 10,评分 7.7,为啥hbm内存的股票涨得这么疯狂？！  逻辑是： nvidia的芯片需求供不应求 -> 芯片的内存供不应求 -> 短期内找不到替代供应商，换句话说nvidia能卖多少芯片，取决于供应商给不给力  从下图可以看出，hbm内存占了芯片cogs的大头，而且都可替代性差（这点也可看出台积电tsmc的统治力和克制） - 市场price in nvidia的芯片溢价的同时也price in内存的需求和溢价  事实上也是如此，你去看hynix的profit margin，达到了惊人88%（一年前的profit margin只有31%）  然后有意思的是，从绝对供应量来看sk hynix占的大头，但是在高端芯片，hynix与micron的份额差不了太多  至于为什么sk hynix的forward pe比micron低了一个档次，下个帖文接着聊
实战推文,2064696906266431697,Wed Jun 10,点赞 7,评分 5.8,不要只看供应链，还要看到定价权的链条  如果按照CP如何整合上下游产业链的思路，下一步尚未被人们充分定价的其实不在供应链上，而是分发权  CP的经验是要把每一个环节的“增值部分”算出来  定价权才是真·长期·护城河  就跟Binance为什么是宇宙第一所一样，卖什么不重要，能让增值多少才是关键
实战推文,1930148326495924655,Wed Jun 04,点赞 7,评分 7.4,向上社交只是表象，卡bug才是真相  只要在上升期的产业/行业/人，总会有几个“bug”的  只要卡bug卡的好，多的可以实现阶级跃升，少的可以得到好多时代红利  举个例子，想靠裸考高考上清华北大确实难度很大，但是你换个身份就简单了好多；比如考公很难，你换个岳父就简单很多了；再比如之前上币条件苛刻，你换个链或者换个交易对，这事情就很简单很多了  很多时候很多事情，能力和素质只是准入门槛，更多的是timing（时机）  卡bug就是从这个人/事/物从开始到成熟过程中的信息差和结构差中寻找时间/空间的套利机会  什么向上社交，预期管理的技巧和胆识根本不是关键，主要看时机  你在已经成熟的体系里向上社交就是事倍功半，你现在去蹭cz和一姐，估计理都不理你，但是你要是在刚他们刚活跃的时候去蹭/互动，那么估计就有戏，你在他们已经被伤害过/妥协过/经历后才去，边际效用已经大大递减了，他们已经祛魅了  企业的大额期权只给早期员工是一个道理，除了是画饼，因为老板自己也不懂会干成啥样，因为不成熟，所以接纳程度高  历史也说了，起义之后的第一场胜仗的饼是最大最香  细细品尝每一个bug，它们可能都是一个个改变格局的feature哦  Be a 潮汕人 卡准每一个bug
实战推文,2077224021452804519,Wed Jul 15,点赞 7,评分 6.6,额。。各位观众，这个7/29的消息没这么乐观，不要冲进去套利啊  这个adr赎回的关键在存托方（应该是citibank，还是谁来着），但肯定不在韩国这里  即使开通了，也有诸多限制和磨损的  不信，你看看隔壁的 $TSM - 长期台股和adr的溢价在15%左右的
实战推文,1942778249232421074,Wed Jul 09,点赞 3,评分 8.6,不知道会不糊觉得奇怪，为什么在市场剧烈波动的时候 @okx 的永续合约的资金费率的波动性会大于 @binance ？  明明大家的计算公式是一样的？难道是 @okx 想吃客损？@binance 想割韭菜？ 🤣   别傻了，孩子.... 真的是底层的算法导致的  其中一个原因就是采样的频率  OKX：更频繁采样 + 高权重即时波动 OKX 的资金费率是基于实时溢价（Premium）+ 利率差动态计算；  其“溢价”计算采用了更高频采样（每秒钟），并放大短期波动的权重；  举例：一旦某个时间点多头在挂单簿上“抢位置”，拉高了买一价，OKX 会立刻反馈到 funding rate 上。  结果：即使平均价格相同，但短期买盘压力较强，OKX 会判定多头“更激进”，从而提高正funding rate（多头付费）。  Binance：更稳定的溢价采样方式 Binance 会参考更长时间段的均值，调节不那么灵敏；通常基于每 4/8 小时一次（时间加权平均）、较稳定的指数价格与标记价格的偏离；  Binance是每5分钟采样一次。   它对 极端订单簿偏离的灵敏度低，目标是压平小幅波动带来的 funding rate 偏移。  结果：Binance 的资金费率更“温和”，不容易被突发买单推高。  就是这种细小的差异： 每秒采样 vs 每5分钟采样， 造成了这种差异  算法是不是很amazing！ 🤣   当然这只是其中一部分的原因，详细的原因见https://t.co/vOoRVrsC5y
实战推文,1940410496940937553,Wed Jul 02,点赞 20,评分 8.2,美股上链”，不是你拥有了股票，而是你拥有了对股票的“某种想象力”。机会在于玩法，坑在于误解  有小伙伴问我，这几天“币股”概念很火啊，不管是美股上链，还是上市公司买币，怎么没看我蹭一波....  怎么说呢，作为了一个老登，19/20年的时候见过太多了这种STO模式，tokenize xxx （不夸张的说，我还看过榴莲/香蕉/红酒 etc，真的很好笑🤣）  从技术的角度，有几种形式： 1. 合成资产（Synthetic Assets） 比如由协议（如Synthetix、Mirror）创建的“sTSLA”，它是追踪特斯拉股价的衍生品，本身不代表实际股权。  2. 代币化托管资产（Tokenized Stocks） 有公司实际购买并托管真实股票，然后在链上发行1:1映射的代币，比如以前的FTX就有这种“tokenized stock”。  3.链上反射券商数据（Oracle流） 仅提供价格参考或模拟交易，不代表实际所有权  这波炒的是2，但是没有人告诉你2有一堆问题吧，从税务/股权/分红/拆股操作这些都是小事，你连交易方式都有一堆限制。  说一个冷知识吧，机构在交易美股的时候，是不能随便撤单的，要不然会被归类为欺骗交易 （spoofing）；还有就是不要以为这里深度浅，你可以把它拉到天上去.... 不要以为代币化之后这个事情就不算美股了哈....  币圈的玩法可行不通  要注意哪些坑？ 1. 本质并不代表股权 多数“美股上链资产”没有投票权、分红权，你不是真正的股东。就算有人托管了“真实股票”，你也得信他没跑路。  2. Oracle与价格操控风险 现在没有机构mm入场，资产依赖预言机，容易被操纵。为什么mm没有进场呢？因为监管啊，它们现在还进不来crypto....  缺乏监管市场的“真实价格保障”。  3. 链上流动性稀薄 许多项目上线后无人交易，可能沦为“实验品“  另外针对那些还未IPO公司的股票，比如 openai，spacex的链上股票 —— 这些彩是天坑啊，想看的人多的话，我单开一个thread写
实战推文,2044379635836924074,Wed Apr 15,点赞 47,评分 6.0,想要做 $rave 的跨所套利的  看看这篇文吧，尤其是第四和第五节  你会感谢我
实战推文,2041686504179921284,Wed Apr 08,点赞 9,评分 5.4,@dotyyds1234 无比认同：套利这玩意，认知足够就是提款，认知不够就是送钱。   套利里面的每个细节都是魔鬼
实战推文,1967956733076312234,Tue Sep 16,点赞 10,评分 5.8,其实从“预言机”的角度来说，合约交易（高控盘币种）与预测市场真的很相近  😂 同频共振了  啥时候做一个预测市场的合约交易，整一个资金费率出来 😂
实战推文,2097182170179895554,Tue Sep 08,点赞 20,评分 8.5,又给substack上新了：Nasdaq关门以后，谁来报价：Stock Perp、Oracle和一场24/7的股票定价战争（三） ，是这个stock perp oracle系列的终章  这一期给大家讲： @binance @okx @Bybit_Official @bitget @tradexyz @MEXC @Gate 这7家交易所在休市期间的stock perp价格算法是如传导的？共振的？  不同的算法和交易所都适用什么交易策略？有什么风险？各位量化交易员如何应用算法的差异做对应的交易策略等等  内容也是非常的干涩，建议阅读前先准备好纸笔和咖啡  https://t.co/4DJUNT9lmf
